# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
AL627309.3	lincRNA	-1.000000	-1.000000	91.654021	100.000000	91.672975
AP006222.2	lincRNA	-1.000000	-1.000000	27.346939	74.344569	55.185801
AC114498.1	lincRNA	-1.000000	-1.000000	0.788644	24.146813	21.983640
AL731661.1	lincRNA	-1.000000	-1.000000	62.360248	50.120192	56.139279
WBP1LP6	pseudogene	-1.000000	-1.000000	0.945626	-1.000000	0.945626
OR4F21	protein coding	19.637462	-1.000000	19.637462	-1.000000	19.637462
AC092192.1	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CICP18	pseudogene	-1.000000	-1.000000	5.652174	20.168742	16.816005
AL669831.1	pseudogene	-1.000000	-1.000000	0.000000	13.436347	11.798817
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	18.537023	14.801555
AL645608.6	lincRNA	-1.000000	-1.000000	0.000000	3.187518	3.084190
PERM1	protein coding	0.000000	-1.000000	0.000000	55.188166	31.633416
AGRN	protein coding	0.000000	-1.000000	0.000000	1.269450	0.887689
AL390719.1	pseudogene	-1.000000	-1.000000	0.000000	4.807821	3.712897
C1orf159	protein coding	0.000000	-1.000000	0.000000	1.371019	1.128962
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	18.121425	13.952828
C1QTNF12	protein coding	0.000000	-1.000000	0.000000	33.161866	20.535145
SCNN1D	protein coding	1.217694	-1.000000	1.217694	18.308882	13.435374
INTS11	protein coding	0.000000	-1.000000	0.000000	14.221861	5.328867
TMEM88B	protein coding	0.000000	-1.000000	0.000000	67.275056	58.135030
ATAD3A	protein coding	0.000000	-1.000000	0.000000	0.218978	0.186476
TMEM240	protein coding	0.000000	-1.000000	0.000000	3.647733	2.394800
MIB2	protein coding	0.000000	-1.000000	0.000000	1.157742	0.473840
MMP23B	protein coding	53.312160	-1.000000	53.312160	7.502800	40.103326
CDK11B	protein coding	4.377195	-1.000000	4.377195	5.218259	5.087173
SLC35E2B	protein coding	0.000000	-1.000000	0.000000	0.237894	0.175710
MMP23A	pseudogene	-1.000000	-1.000000	68.923328	75.244300	71.032609
AL031282.2	lincRNA	-1.000000	-1.000000	2.392531	4.160645	3.900160
CFAP74	protein coding	0.124271	-1.000000	0.124271	2.080106	1.832900
PRKCZ	protein coding	0.000000	-1.000000	0.000000	0.113613	0.107111
FAAP20	protein coding	0.000000	-1.000000	0.000000	1.826659	1.160562
SKI	protein coding	1.500910	-1.000000	1.500910	0.365363	0.456250
MORN1	protein coding	0.000000	-1.000000	0.000000	1.865343	1.578783
RER1	protein coding	0.000000	-1.000000	0.000000	5.144578	3.052617
PLCH2	protein coding	1.093099	-1.000000	1.093099	1.870543	1.766985
MMEL1	protein coding	0.000000	-1.000000	0.000000	0.740029	0.672519
TTC34	protein coding	1.713378	-1.000000	1.713378	10.817158	10.459408
AC242022.2	lincRNA	-1.000000	-1.000000	0.000000	0.000000	13.458492
PRDM16	protein coding	0.000000	-1.000000	0.000000	0.463238	0.454995
ARHGEF16	protein coding	0.000000	-1.000000	0.000000	11.411951	9.294872
MEGF6	protein coding	0.000000	-1.000000	0.000000	1.104169	1.025540
WRAP73	protein coding	0.000000	-1.000000	0.000000	1.827934	1.188400
TP73	protein coding	0.000000	-1.000000	0.000000	0.300083	0.276305
C1orf174	protein coding	8.297242	-1.000000	8.297242	0.000000	3.259312
AL805961.1	lincRNA	-1.000000	-1.000000	0.000000	17.848037	5.165289
AJAP1	protein coding	0.000000	-1.000000	0.000000	0.097929	0.089049
NPHP4	protein coding	0.000000	-1.000000	0.000000	1.298140	1.167929
KCNAB2	protein coding	0.000000	-1.000000	0.000000	0.661716	0.557543
ACOT7	protein coding	0.000000	-1.000000	0.000000	0.017461	0.016907
CAMTA1	protein coding	0.000000	-1.000000	0.000000	0.284792	0.281936
SLC45A1	protein coding	0.000000	-1.000000	0.000000	0.288481	0.257808
SLC2A5	protein coding	0.000000	-1.000000	0.000000	0.072133	0.063236
CLSTN1	protein coding	0.000000	-1.000000	0.000000	0.329061	0.310947
CASZ1	protein coding	0.000000	-1.000000	0.000000	0.090034	0.083663
DISP3	protein coding	0.000000	-1.000000	0.000000	0.087603	0.078619
PLOD1	protein coding	0.000000	-1.000000	0.000000	1.105126	0.962911
PRAMEF10	protein coding	0.000000	-1.000000	0.000000	2.883117	2.065501
PRAMEF7	protein coding	33.354715	-1.000000	33.354715	29.475309	31.593695
RNU6-1072P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PRAMEF29P	pseudogene	-1.000000	-1.000000	40.158172	0.000000	21.855571
PRAMEF6	protein coding	0.000000	0.000000	0.000000	1.066740	0.857614
PRAMEF26	protein coding	12.728249	-1.000000	12.728249	0.000000	3.357892
PRAMEF36P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF34P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF31P	pseudogene	-1.000000	-1.000000	8.686131	0.000000	4.266762
PRAMEF32P	pseudogene	-1.000000	-1.000000	53.608247	25.857003	40.038314
PRAMEF8	protein coding	15.578947	3.131115	12.293388	24.285066	18.676009
PRAMEF33	protein coding	0.000000	-1.000000	0.000000	5.219424	3.744411
LRRC38	protein coding	0.000000	-1.000000	0.000000	0.160030	0.151146
KAZN	protein coding	0.000000	-1.000000	0.000000	0.018380	0.018172
FHAD1	protein coding	0.000000	-1.000000	0.000000	0.049786	0.045630
CASP9	protein coding	0.759301	-1.000000	0.759301	0.538906	0.571429
CROCCP3	pseudogene	-1.000000	-1.000000	0.000000	0.674347	0.528252
AL355149.1	pseudogene	-1.000000	-1.000000	58.910329	39.685198	44.065167
BX284668.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF1	protein coding	37.645479	-1.000000	37.645479	42.521921	42.059088
