# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	24.740484	47.766749	32.047244
WASH7P	pseudogene	-1.000000	-1.000000	14.148148	52.533295	49.116445
MIR1302-2HG	lincRNA	-1.000000	-1.000000	50.294118	42.429907	47.588424
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR4F5	protein coding	0.917431	22.249389	14.252961	4.282897	8.514434
ENSG00000238009	lincRNA	-1.000000	-1.000000	4.026846	8.495688	8.121005
CICP27	pseudogene	-1.000000	-1.000000	12.175282	-1.000000	12.175282
ENSG00000268903	pseudogene	-1.000000	-1.000000	4.111406	-1.000000	4.111406
ENSG00000239906	lincRNA	-1.000000	-1.000000	26.708075	0.000000	15.664845
ENSG00000241860	lincRNA	-1.000000	-1.000000	94.138661	76.016915	80.245770
ENSG00000241599	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
WASH9P	pseudogene	-1.000000	-1.000000	17.406877	21.095704	20.590543
ENSG00000228463	pseudogene	-1.000000	-1.000000	28.201386	14.239161	15.366786
ENSG00000286448	lincRNA	-1.000000	-1.000000	13.061224	0.000000	5.333333
ENSG00000236601	lincRNA	-1.000000	-1.000000	100.000000	82.576627	85.225851
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	99.838449	100.000000	99.857398
ENSG00000235146	lincRNA	-1.000000	-1.000000	15.772871	3.197540	4.314330
MTND2P28	pseudogene	-1.000000	-1.000000	15.819751	-1.000000	15.819751
OR4F16	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	3.300733	64.705882	11.099253
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	7.330224	5.695199
ENSG00000272438	lincRNA	-1.000000	-1.000000	0.000000	4.058562	3.931072
SAMD11	protein coding	0.000000	0.000000	0.000000	4.838424	3.965718
KLHL17	protein coding	0.000000	0.000000	0.000000	5.722071	2.862707
PERM1	protein coding	0.000000	0.000000	0.000000	35.574645	17.358000
AGRN	protein coding	0.000000	0.000000	0.000000	1.206970	0.938941
ENSG00000217801	pseudogene	-1.000000	-1.000000	0.000000	5.619740	4.075300
C1orf159	protein coding	0.000000	0.000000	0.000000	1.362745	1.207191
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	16.918819	13.027419
C1QTNF12	protein coding	0.000000	0.000000	0.000000	16.821274	12.722170
SCNN1D	protein coding	1.968662	0.000000	1.217694	7.728894	5.468817
INTS11	protein coding	0.000000	0.000000	0.000000	7.218201	5.327431
TMEM88B	protein coding	0.000000	3.671072	3.109453	1.797945	2.760036
ATAD3A	protein coding	0.000000	0.000000	0.000000	0.218718	0.190916
TMEM240	protein coding	0.000000	0.000000	0.000000	4.273059	2.805337
MIB2	protein coding	0.000000	0.000000	0.000000	1.455038	1.062636
MMP23B	protein coding	38.110964	0.000000	36.107635	24.636058	25.709677
CDK11B	protein coding	0.000000	0.000000	0.000000	2.044536	1.744650
SLC35E2B	protein coding	0.000000	0.000000	0.000000	0.240000	0.189383
