region_id	chrom	length
1 #chrom 0
2 chr1 74016
3 chr1 2280323
4 chr1 28
5 chr1 2712
6 chr1 1007
7 chr1 144
8 chr1 81
9 chr1 6484
10 chr1 471608
11 chr2 78612
12 chr2 430835
13 chr2 13987
14 chr2 32
15 chr2 7736
16 chr3 41
17 chr3 11652
18 chr3 42623
19 chr3 3501
20 chr3 3241
21 chr3 302506
22 chr3 136
23 chr3 22
24 chr3 1249
25 chr3 151
26 chr3 192
27 chr3 5759
28 chr3 4778
29 chr3 1136
30 chr3 126
31 chr3 336
32 chr3 442
33 chr3 384
34 chr3 561
35 chr3 394
36 chr3 1716
37 chr3 7262
38 chr3 917
39 chr3 130
40 chr3 142920
41 chr3 40
42 chr3 331
43 chr3 7409
44 chr3 1099
45 chr3 119
46 chr3 88
47 chr3 30
48 chr3 3489
49 chr3 1381
50 chr3 4382
51 chr3 65209
52 chr3 285
53 chr3 487
54 chr3 1005
55 chr3 66
56 chr3 9499
57 chr3 6907
58 chr3 215
59 chr3 1227
60 chr3 506
61 chr3 409600
62 chr3 24
63 chr3 61891
64 chr3 1568
65 chr3 653
66 chr3 79
67 chr3 736
68 chr3 2575
69 chr3 7023
70 chr3 17030
71 chr3 1085
72 chr3 158
73 chr3 113
74 chr3 137
75 chr3 1783
76 chr3 130
77 chr3 141
78 chr3 48
79 chr3 1327
80 chr3 622
81 chr3 753
82 chr3 622
83 chr3 15622
84 chr3 5037
85 chr3 25
86 chr3 49
87 chr3 278700
88 chr3 102566
89 chr3 176910
90 chr4 71128
91 chr4 253
92 chr4 3247
93 chr4 27219
94 chr4 253
95 chr4 139
96 chr4 50567
97 chr4 280
98 chr4 47901
99 chr4 59027
100 chr4 2114
101 chr4 631
102 chr4 527
103 chr4 300
104 chr4 144040
105 chr4 123
106 chr4 68598
107 chr4 108208
108 chr4 74
109 chr4 1793
110 chr4 13179
111 chr4 812
112 chr4 4799
113 chr4 144
114 chr4 298
115 chr4 2852
116 chr4 4942
117 chr4 6996
118 chr4 12960
119 chr4 768
120 chr4 276
121 chr4 50
122 chr4 636
123 chr4 424169
124 chr4 11414
125 chr4 2291
126 chr4 2790
127 chr4 1875
128 chr4 183
129 chr4 184
130 chr4 447
131 chr4 384
132 chr4 772
133 chr4 850
134 chr4 2217
135 chr4 920
136 chr4 1168
137 chr4 2111
138 chr4 2402
139 chr4 679
140 chr4 1196
141 chr4 124
142 chr4 220
143 chr4 330
144 chr4 884
145 chr4 469
146 chr4 38
147 chr4 1821
148 chr5 659
149 chr5 530
150 chr5 150569
151 chr5 223
152 chr5 73
153 chr5 11373
154 chr5 430
155 chr5 52
156 chr5 484
157 chr5 3374
158 chr5 285
159 chr5 47
160 chr5 559
161 chr5 65
162 chr5 275
163 chr5 63
164 chr5 385
165 chr5 5215
166 chr5 32
167 chr5 20418
168 chr5 95
169 chr5 1040
170 chr5 24390
171 chr5 42139
172 chr5 246
173 chr5 137
174 chr5 7209
175 chr5 519
176 chr5 787
177 chr5 38
178 chr6 1571
179 chr6 166
180 chr6 1117
181 chr6 710187
182 chr6 1114
183 chr6 1142
184 chr6 111
185 chr6 54599
186 chr6 671
187 chr6 40
188 chr6 9494
189 chr6 289
190 chr6 62
191 chr6 533
192 chr6 808
193 chr6 228511
194 chr7 7512
195 chr7 79
196 chr7 63218
197 chr7 83280
198 chr7 400275
199 chr7 752700
200 chr7 741594
201 chr7 577223
202 chr7 724
203 chr7 10072
204 chr7 6107
205 chr7 14644
206 chr7 31
207 chr7 296
208 chr7 737
209 chr7 533
210 chr7 252
211 chr8 190339
212 chr8 967561
213 chr8 148174
214 chr8 155740
215 chr8 363380
216 chr8 12913
217 chr9 615317
218 chr9 631
219 chr9 28
220 chr9 1042
221 chr9 103
222 chr9 1343
223 chr9 375
224 chr9 413
225 chr9 10014
226 chr10 425
227 chr10 93
228 chr10 12403
229 chr10 59351
230 chr10 420
231 chr10 1716
232 chr10 2094
233 chr10 3444
234 chr10 27
235 chr10 353
236 chr10 174
237 chr10 17635
238 chr10 517
239 chr10 422
240 chr10 986
241 chr10 468
242 chr10 584
243 chr10 39
244 chr10 1053
245 chr10 18908
246 chr10 1685
247 chr10 162
248 chr10 119
249 chr10 71
250 chr10 1196
251 chr10 62
252 chr10 22910
253 chr10 39565
254 chr10 1671
255 chr10 36279
256 chr10 205053
257 chr10 493411
258 chr11 626
259 chr11 16112
260 chr11 501888
261 chr11 322977
262 chr11 182816
263 chr11 240204
264 chr11 847692
265 chr11 314826
266 chr11 453150
267 chr11 350441
268 chr12 1217
269 chr12 488
270 chr12 5947
271 chr12 614
272 chr12 2098
273 chr12 758509
274 chr12 21582
275 chr12 838
276 chr12 92
277 chr12 963
278 chr12 133040
279 chr12 43
280 chr12 195
281 chr12 475
282 chr12 409
283 chr12 538
284 chr12 251
285 chr12 129
286 chr12 105
287 chr12 1587
288 chr12 249822
289 chr12 170107
290 chr12 250453
291 chr12 282
292 chr12 829
293 chr12 1575
294 chr12 40
295 chr12 64
296 chr12 80
297 chr12 1654
298 chr12 240
299 chr12 5623
300 chr12 327
301 chr12 1117
302 chr12 528
303 chr12 4663
304 chr12 37424
305 chr12 106384
306 chr12 17706
307 chr12 168998
308 chr12 218409
309 chr13 2319
310 chr13 2727
311 chr13 7881
312 chr13 24
313 chr13 167
314 chr13 201
315 chr13 168
316 chr13 1583
317 chr13 36615
318 chr13 1038
319 chr13 790528
320 chr14 337560
321 chr14 679638
322 chr14 81
323 chr14 67
324 chr14 424
325 chr14 244
326 chr14 863
327 chr14 68
328 chr14 5446
329 chr14 237
330 chr14 79
331 chr14 115
332 chr14 188
333 chr14 108
334 chr14 90
335 chr14 110095
336 chr14 158248
337 chr14 144238
338 chr14 150662
339 chr14 135
340 chr14 114
341 chr14 41
342 chr14 45
343 chr14 268
344 chr14 460
345 chr14 119
346 chr15 232029
347 chr15 5022
348 chr15 8191
349 chr15 453048
350 chr15 416058
351 chr15 102
352 chr15 535
353 chr15 4984
354 chr15 25
355 chr15 871
356 chr15 98468
357 chr15 15164
358 chr15 53308
359 chr15 3563
360 chr15 225016
361 chr15 536
362 chr15 1031
363 chr15 6942
364 chr15 189
365 chr15 1009
366 chr15 6974
367 chr15 408
368 chr15 182
369 chr15 3082
370 chr15 33
371 chr15 102
372 chr15 733
373 chr15 457
374 chr15 28
375 chr15 7553
376 chr15 1618
377 chr15 421
378 chr15 92
379 chr15 714
380 chr15 431
381 chr15 12377
382 chr15 14310
383 chr15 1837
384 chr15 3785
385 chr15 512
386 chr15 5887
387 chr15 1145
388 chr15 24425
389 chr16 150
390 chr16 248510
391 chr16 666
392 chr16 1665
393 chr16 393912
394 chr16 66
395 chr16 674
396 chr16 853
397 chr16 156
398 chr16 57036
399 chr16 1588
400 chr16 265536
401 chr16 46095
402 chr16 746396
403 chr16 1578
404 chr16 52426
405 chr16 51
406 chr16 49
407 chr16 95
408 chr16 63
409 chr16 156
410 chr16 10131
411 chr16 515
412 chr16 275
413 chr16 44589
414 chr16 582
415 chr16 86
416 chr16 1610
417 chr16 1648
418 chr16 68120
419 chr16 4590
420 chr16 5261
421 chr16 8338
422 chr16 3307
423 chr16 305434
424 chr17 380925
425 chr17 15164
426 chr17 232
427 chr17 13874
428 chr17 38
429 chr17 82
430 chr17 299655
431 chr17 191
432 chr17 261
433 chr17 31850
434 chr17 349
435 chr17 6190
436 chr17 20330
437 chr17 338
438 chr17 309
439 chr17 1531
440 chr17 13292
441 chr17 23749
442 chr17 646
443 chr17 334
444 chr17 3062
445 chr17 20950
446 chr17 9541
447 chr17 981
448 chr17 78052
449 chr18 5736
450 chr18 81031
451 chr18 137802
452 chr18 192908
453 chr18 184330
454 chr18 4537
455 chr18 328490
456 chr18 104810
457 chr18 871149
458 chr18 153
459 chr18 248
460 chr18 506
461 chr18 113
462 chr18 17674
463 chr18 35021
464 chr18 122146
465 chr18 6905
466 chr18 649
467 chr18 54206
468 chr18 60012
469 chr18 29557
470 chr18 2786
471 chr18 875
472 chr18 2877
473 chr18 3340
474 chr18 13888
475 chr18 16798
476 chr18 89653
477 chr18 136
478 chr18 16368
479 chr18 8931
480 chr18 644
481 chr18 513
482 chr18 95
483 chr18 5167
484 chr18 254
485 chr18 62485
486 chr18 206394
487 chr18 559
488 chr18 95
489 chr18 13412
490 chr18 172140
491 chr18 120448
492 chr18 867
493 chr18 230
494 chr18 234346
495 chr18 3210
496 chr18 298
497 chr18 95591
498 chr18 217
499 chr18 1820
500 chr18 306014
