# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
AL627309.3	lincRNA	-1.000000	-1.000000	99.848255	100.000000	99.848600
AP006222.2	lincRNA	-1.000000	-1.000000	40.816327	67.602996	56.683306
AC114498.1	lincRNA	-1.000000	-1.000000	24.447950	40.437862	38.957055
AL731661.1	lincRNA	-1.000000	-1.000000	47.826087	4.927885	26.023213
WBP1LP6	pseudogene	-1.000000	-1.000000	93.144208	-1.000000	93.144208
OR4F21	protein coding	48.338369	-1.000000	48.338369	-1.000000	48.338369
AC092192.1	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CICP18	pseudogene	-1.000000	-1.000000	29.431438	35.727200	34.273135
CICP3	pseudogene	-1.000000	-1.000000	27.450980	10.924370	25.347594
AL669831.1	pseudogene	-1.000000	-1.000000	14.849946	28.454583	26.796543
AC093752.3	lincRNA	-1.000000	-1.000000	1.220866	-1.000000	1.220866
AC093392.2	pseudogene	-1.000000	-1.000000	74.404762	-1.000000	74.404762
AC093392.2	pseudogene	-1.000000	-1.000000	48.214286	-1.000000	48.214286
AL669831.2	lincRNA	-1.000000	-1.000000	0.000000	4.494382	2.597403
ATAD3B	protein coding	0.000000	-1.000000	0.000000	0.404727	0.286085
ATAD3A	protein coding	0.688005	-1.000000	0.688005	0.391032	0.435111
MMP23B	protein coding	64.972777	-1.000000	64.972777	7.502800	48.401679
CDK11B	protein coding	5.079708	-1.000000	5.079708	6.270890	6.085235
FO704657.1	lincRNA	-1.000000	-1.000000	0.000000	3.822099	3.356729
SLC35E2B	protein coding	1.253276	-1.000000	1.253276	0.000000	0.327595
MMP23A	pseudogene	-1.000000	-1.000000	90.293638	63.843648	81.467391
AL031282.2	lincRNA	-1.000000	-1.000000	2.392531	4.355570	4.066369
PRAMEF10	protein coding	0.000000	-1.000000	0.000000	7.766234	5.563826
PRAMEF7	protein coding	20.718409	-1.000000	20.718409	16.049383	18.598949
PRAMEF29P	pseudogene	-1.000000	-1.000000	47.363796	0.000000	25.777140
PRAMEF26	protein coding	8.861439	-1.000000	8.861439	0.000000	2.337773
PRAMEF36P	pseudogene	-1.000000	-1.000000	99.655410	100.000000	99.821301
