# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	24.798155	47.766749	32.086614
WASH7P	pseudogene	-1.000000	-1.000000	11.111111	50.832368	47.296584
MIR1302-2HG	lincRNA	-1.000000	-1.000000	50.196078	42.429907	47.524116
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR4F5	protein coding	0.917431	22.127139	14.176538	4.282897	8.481998
ENSG00000238009	lincRNA	-1.000000	-1.000000	4.026846	8.426897	8.057981
CICP27	pseudogene	-1.000000	-1.000000	12.227762	-1.000000	12.227762
ENSG00000239906	lincRNA	-1.000000	-1.000000	26.708075	0.000000	15.664845
ENSG00000241860	lincRNA	-1.000000	-1.000000	92.617094	70.390656	75.577374
ENSG00000241599	lincRNA	-1.000000	-1.000000	82.017544	100.000000	92.400371
WASH9P	pseudogene	-1.000000	-1.000000	17.191977	21.857240	21.218364
ENSG00000228463	pseudogene	-1.000000	-1.000000	27.824395	14.073552	15.184105
ENSG00000286448	lincRNA	-1.000000	-1.000000	12.108844	0.000000	4.944444
ENSG00000236601	lincRNA	-1.000000	-1.000000	100.000000	82.658581	85.295344
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	83.925687	100.000000	85.811052
ENSG00000235146	lincRNA	-1.000000	-1.000000	15.772871	3.412759	4.510436
MTND2P28	pseudogene	-1.000000	-1.000000	19.846596	-1.000000	19.846596
OR4F16	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	3.300733	64.145658	11.028104
PERM1	protein coding	0.000000	0.000000	0.000000	1.125592	0.549212
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	3.357934	2.585595
SCNN1D	protein coding	0.000000	0.000000	0.000000	0.739860	0.483050
MMP23B	protein coding	39.299868	0.000000	37.234043	24.412094	26.225806
CDK11B	protein coding	0.000000	0.000000	0.000000	2.098729	1.790894
MMP23A	pseudogene	-1.000000	-1.000000	35.334646	38.470874	36.739130
CDK11A	protein coding	1.075269	0.000000	0.716846	3.220533	2.807353
PLCH2	protein coding	97.663551	82.110092	94.398074	67.379504	69.495424
ENSG00000224387	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000229393	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
PANK4	protein coding	100.000000	100.000000	100.000000	98.235943	98.493909
HES5	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000272449	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
TNFRSF14-AS1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
TNFRSF14	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000225931	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000228037	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000289610	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PRXL2B	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
MMEL1	protein coding	93.418803	65.055762	88.116748	85.647738	85.815419
MMEL1-AS1	lincRNA	-1.000000	-1.000000	48.118280	26.847826	28.800592
TTC34	protein coding	60.771605	60.057281	60.354801	55.793103	56.008549
ENSG00000285945	lincRNA	-1.000000	-1.000000	100.000000	100.000000	99.489244
