# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
WASH7P	pseudogene	-1.000000	-1.000000	0.000000	1.252171	1.140709
ENSG00000241860	lincRNA	-1.000000	-1.000000	1.270177	4.627467	3.844016
ENSG00000241599	lincRNA	-1.000000	-1.000000	15.570175	0.000000	6.580167
ENSG00000228463	pseudogene	-1.000000	-1.000000	0.000000	0.133556	0.122769
CICP7	pseudogene	-1.000000	-1.000000	17.124394	0.000000	15.115865
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	7.286505	5.661232
ENSG00000272438	lincRNA	-1.000000	-1.000000	0.000000	4.040030	3.913122
SAMD11	protein coding	0.000000	0.000000	0.000000	4.838424	3.965718
KLHL17	protein coding	0.000000	0.000000	0.000000	5.722071	2.862707
PERM1	protein coding	0.000000	0.000000	0.000000	35.545024	17.343547
AGRN	protein coding	0.000000	0.000000	0.000000	1.206970	0.938941
ENSG00000217801	pseudogene	-1.000000	-1.000000	0.000000	5.605477	4.064957
C1orf159	protein coding	0.000000	0.000000	0.000000	1.330065	1.178242
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	13.450185	10.356585
C1QTNF12	protein coding	0.000000	0.000000	0.000000	16.697588	12.628625
SCNN1D	protein coding	1.968662	0.000000	1.217694	4.809090	3.562495
INTS11	protein coding	0.000000	0.000000	0.000000	7.156153	5.281636
TMEM88B	protein coding	0.000000	3.487518	2.953980	0.000000	2.166971
ATAD3A	protein coding	0.000000	0.000000	0.000000	0.218718	0.190916
TMEM240	protein coding	0.000000	0.000000	0.000000	4.247004	2.788231
MIB2	protein coding	0.000000	0.000000	0.000000	1.265251	0.924031
SLC35E2B	protein coding	0.000000	0.000000	0.000000	0.240000	0.189383
CFAP74	protein coding	0.263692	0.000000	0.232850	0.555679	0.533669
PRKCZ	protein coding	0.000000	0.000000	0.000000	0.909995	0.874178
FAAP20	protein coding	0.000000	0.000000	0.000000	0.000000	1.206695
SKI	protein coding	0.000000	3.517330	2.252549	0.158286	0.313820
PLCH2	protein coding	0.000000	0.000000	0.000000	0.852404	0.785650
MMEL1	protein coding	0.000000	0.000000	0.000000	0.724069	0.674894
MMEL1-AS1	lincRNA	-1.000000	-1.000000	0.000000	5.108696	4.639684
TTC34	protein coding	0.000000	3.569068	2.082530	0.073919	0.168785
PRDM16	protein coding	0.000000	0.000000	0.000000	0.107081	0.104479
ARHGEF16	protein coding	0.000000	0.000000	0.000000	0.943686	0.812916
MEGF6	protein coding	0.000000	0.000000	0.000000	0.476042	0.445948
ENSG00000284703	lincRNA	-1.000000	-1.000000	0.000000	8.356861	2.246850
ENSG00000289893	lincRNA	-1.000000	-1.000000	0.000000	0.294985	0.283502
NPHP4	protein coding	0.000000	0.000000	0.000000	0.027302	0.026222
KCNAB2	protein coding	0.000000	0.000000	0.000000	0.463879	0.418987
ACOT7	protein coding	0.000000	0.000000	0.000000	0.052096	0.050966
CAMTA1	protein coding	0.000000	0.000000	0.000000	0.014593	0.014427
CLSTN1	protein coding	0.000000	0.000000	0.000000	0.184980	0.175682
PLOD1	protein coding	0.000000	0.000000	0.000000	1.074468	0.977427
PRAMEF5	protein coding	0.000000	1.182033	0.269687	0.000000	0.054130
KAZN	protein coding	0.000000	0.000000	0.000000	0.011197	0.011100
CASP9	protein coding	0.000000	1.386667	1.017812	0.715850	0.759061
ENSG00000282143	lincRNA	-1.000000	-1.000000	0.000000	1.627836	1.503053
CROCC	protein coding	0.000000	0.000000	0.000000	0.000000	0.009455
ARHGEF10L	protein coding	0.000000	0.000000	0.000000	0.097822	0.094831
VWA5B1	protein coding	0.000000	0.000000	0.000000	0.565745	0.488032
EIF4G3	protein coding	0.000000	0.000000	0.000000	0.050357	0.049058
ECE1	protein coding	0.000000	0.000000	0.000000	0.153220	0.145724
NBPF2P	pseudogene	-1.000000	-1.000000	0.000000	0.932140	0.748055
ALPL	protein coding	0.000000	0.000000	0.000000	0.126697	0.121716
LDLRAD2	protein coding	0.000000	0.000000	0.000000	0.402459	0.277778
LUZP1	protein coding	0.000000	0.000000	0.000000	0.038037	0.034123
GRHL3	protein coding	0.000000	0.000000	0.000000	0.022388	0.021828
ENSG00000284699	lincRNA	-1.000000	-1.000000	0.000000	0.177710	0.165328
CLIC4	protein coding	0.000000	0.000000	0.000000	0.721819	0.690324
RSRP1	protein coding	0.000000	0.000000	0.000000	0.034390	0.033346
RHD	protein coding	1.955990	0.000000	1.047806	0.000000	0.055123
FAM110D	protein coding	0.000000	6.357215	4.503217	0.000000	2.580381
CNKSR1	protein coding	0.000000	0.000000	0.000000	1.769078	1.362903
RPS6KA1	protein coding	0.000000	0.000000	0.000000	0.125126	0.114869
WDTC1	protein coding	0.000000	0.000000	0.000000	0.046177	0.043241
EPB41	protein coding	0.000000	0.000000	0.000000	0.023967	0.022751
MATN1	protein coding	0.000000	0.000000	0.000000	2.889492	1.990575
MATN1-AS1	lincRNA	-1.000000	-1.000000	4.076560	0.000000	1.970443
SDC3	protein coding	0.000000	0.000000	0.000000	0.288432	0.239234
PUM1	protein coding	0.000000	0.000000	0.000000	0.143899	0.137562
SPOCD1	protein coding	0.000000	0.000000	0.000000	0.207449	0.171875
LCK	protein coding	0.000000	0.000000	0.000000	0.723696	0.670084
YARS1	protein coding	0.000000	0.000000	0.000000	0.171384	0.158901
A3GALT2	protein coding	0.000000	-1.000000	0.000000	3.809166	3.537538
ENSG00000225313	lincRNA	-1.000000	-1.000000	0.000000	1.338331	1.210111
PHC2	protein coding	0.000000	0.000000	0.000000	0.265996	0.254020
THRAP3	protein coding	0.000000	0.000000	0.000000	0.116605	0.109978
ENSG00000223944	lincRNA	-1.000000	-1.000000	0.000000	0.048449	0.047552
ZC3H12A-DT	lincRNA	-1.000000	-1.000000	0.000000	0.223264	0.217008
RLF	protein coding	0.000000	0.000000	0.000000	0.039562	0.036462
HIVEP3	protein coding	0.000000	0.000000	0.000000	0.008505	0.006420
FOXJ3	protein coding	0.000000	0.000000	0.000000	0.141692	0.135561
RAD54L	protein coding	0.000000	0.000000	0.000000	0.000000	0.452856
FAAH	protein coding	0.000000	0.000000	0.000000	1.624064	1.454099
CYP4Z2P	pseudogene	-1.000000	-1.000000	0.000000	0.113015	0.109867
TRABD2B	protein coding	0.000000	0.000000	0.000000	0.106395	0.103016
RAB3B	protein coding	0.000000	0.000000	0.000000	0.343029	0.290051
ENSG00000234810	lincRNA	-1.000000	-1.000000	0.000000	0.053770	0.053155
LINC01753	lincRNA	-1.000000	-1.000000	0.000000	1.081232	1.055247
DAB1	protein coding	0.000000	0.000000	0.000000	0.016289	0.074164
PATJ	protein coding	0.000000	0.000000	0.000000	0.023458	0.022925
DOCK7	protein coding	0.000000	0.000000	0.000000	0.110518	0.105516
CACHD1	protein coding	0.000000	0.000000	0.000000	0.087798	0.085229
JAK1	protein coding	0.000000	0.000000	0.000000	0.045648	0.044344
ZRANB2-DT	lincRNA	-1.000000	-1.000000	0.000000	0.021586	0.020800
FPGT-TNNI3K	protein coding	0.000000	0.000000	0.000000	0.035373	0.034377
