region_id	chrom	length
1 #chrom 0
2 chr1 72586
3 chr1 44735
4 chr1 35615
5 chr1 61412
6 chr1 30
7 chr1 18535
8 chr1 8451
9 chr1 49
10 chr1 22036
11 chr1 39715
12 chr1 210
13 chr1 416
14 chr1 144
15 chr1 31
16 chr1 9455
17 chr1 5619
18 chr1 100
19 chr1 84
20 chr1 24161
21 chr1 110462
22 chr1 26
23 chr1 85
24 chr1 59804
25 chr1 45
26 chr1 7168
27 chr1 64
28 chr1 631
29 chr1 1016
30 chr1 1709
31 chr1 823
32 chr1 114
33 chr1 4526
34 chr1 105273
35 chr1 6200
36 chr1 37612
37 chr1 103
38 chr1 27
39 chr1 142660
40 chr1 8449
41 chr1 1435
42 chr1 136
43 chr1 40
44 chr1 614
45 chr1 5935
46 chr1 153
47 chr1 507
48 chr1 2594
49 chr1 303
50 chr1 85
51 chr1 16380
52 chr1 149982
53 chr1 4572
54 chr1 113
55 chr1 4032
56 chr1 78211
57 chr1 37
58 chr1 43
59 chr1 245
60 chr1 44
61 chr1 34
62 chr1 29
63 chr1 104
64 chr1 4651
65 chr1 25
66 chr1 31
67 chr1 21431
68 chr1 4191
69 chr1 40
70 chr1 195
71 chr1 11342
72 chr1 19313
73 chr1 5989
74 chr1 116
75 chr1 4957
76 chr1 13352
77 chr1 55
78 chr1 6871
79 chr1 926
80 chr1 6304
81 chr1 123
82 chr1 7976
83 chr1 39
84 chr1 56
85 chr1 24942
86 chr1 12675
87 chr1 57592
88 chr1 66795
89 chr1 401
90 chr1 59
91 chr1 77
92 chr1 42604
93 chr1 1020
94 chr1 76599
95 chr1 63
96 chr1 5498
97 chr1 13338
98 chr1 29260
99 chr1 36
100 chr1 50
101 chr1 47
102 chr1 137
103 chr1 43
104 chr1 65732
105 chr1 643
106 chr1 22269
107 chr1 3451
108 chr1 41011
109 chr1 164
110 chr1 17260
111 chr1 209
112 chr1 108
113 chr1 786
114 chr1 28
115 chr1 50304
116 chr1 252
117 chr1 9773
118 chr1 28
119 chr1 266
120 chr1 75
121 chr1 822
122 chr1 668
123 chr1 105
124 chr1 547
125 chr1 177
126 chr1 500
127 chr1 18088
128 chr1 17867
129 chr1 811
130 chr1 1174
131 chr1 52
132 chr1 134
133 chr1 85
134 chr1 290
135 chr1 240
136 chr1 315
137 chr1 35
138 chr1 1981
139 chr1 23
140 chr1 351
141 chr1 126
142 chr1 1893
143 chr1 4953
144 chr1 502
145 chr1 15356
146 chr1 55
147 chr1 62
148 chr1 22564
149 chr1 77753
150 chr1 154
151 chr1 294
152 chr1 8663
153 chr1 14104
154 chr1 42008
155 chr1 37262
156 chr1 24480
157 chr1 94
158 chr1 21
159 chr1 311022
160 chr1 401
161 chr1 5955
162 chr1 2619
163 chr1 58015
164 chr1 485
165 chr1 16564
166 chr1 125
167 chr1 37013
168 chr1 1784
169 chr1 21
170 chr1 624
