# This table shows the intersection of dark by MAPQ regions by a gene annotation gff3, showing where dark by MAPQ regions fall within gene body elements
# chrom : Chromosome of dark by MAPQ region
# region_start : start position of dark by MAPQ region within gene-body element
# region_end : end position of dark by MAPQ region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by MAPQ region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by MAPQ reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr13	8780383	8780415	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8780756	8780828	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8781065	8781104	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8781334	8781375	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8781448	8781515	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8781893	8781923	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8781959	8782004	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8782068	8782097	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8782187	8782213	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8782284	8782361	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8782496	8782520	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8782705	8782781	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8782819	8782891	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8782941	8783001	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8783063	8783103	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8783128	8783167	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8783276	8783341	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8783407	8783468	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8783526	8783622	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8783687	8783797	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8783825	8783852	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8783930	8783958	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8783986	8784011	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8784034	8784200	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8784393	8784419	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8784634	8784704	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8784733	8784756	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8784887	8785173	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8785202	8785451	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8785521	8785774	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8785825	8785931	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8785974	8786095	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8786133	8786294	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8786323	8786388	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8786435	8786558	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8786611	8786786	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8786814	8786890	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8786937	8787162	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8787234	8787267	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8787299	8787334	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8787419	8787620	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8787666	8787739	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8787765	8787840	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8787872	8788010	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8788046	8788070	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8788100	8788213	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8788248	8788831	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8788870	8788941	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8788967	8789105	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8789137	8789210	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8789232	8789295	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8789353	8789434	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8789474	8789526	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8789569	8790464	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8790533	8791282	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8791319	8791367	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8791414	8791502	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8791541	8791754	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8791863	8792418	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8792447	8793763	RNA45S1_exon_1	exon	rRNA	chr13	8780383	8793763
chr13	8837482	8838252	RNA45S1_exon_1	exon	rRNA	chr13	8827353	8840733
chr13	8838273	8838736	RNA45S1_exon_1	exon	rRNA	chr13	8827353	8840733
chr13	8838764	8840733	RNA45S1_exon_1	exon	rRNA	chr13	8827353	8840733
chr13	8827353	8837457	RNA45S1_exon_1	exon	rRNA	chr13	8827353	8840733
chr13	8874323	8887703	RNA45S1_exon_1	exon	rRNA	chr13	8874323	8887703
chr13	8921293	8934673	RNA45S1_exon_1	exon	rRNA	chr13	8921293	8934673
chr13	8968263	8981643	RNA45S1_exon_1	exon	rRNA	chr13	8968263	8981643
chr13	9015233	9028613	RNA45S1_exon_1	exon	rRNA	chr13	9015233	9028613
chr13	9062203	9075583	RNA45S1_exon_1	exon	rRNA	chr13	9062203	9075583
