# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
WASH7P	pseudogene	-1.000000	-1.000000	0.000000	0.837634	0.725248
RP11-34P13.13	other	-1.000000	-1.000000	0.000000	2.443308	1.976041
RP11-34P13.9	lincRNA	-1.000000	-1.000000	9.649123	0.000000	4.077850
CICP7	pseudogene	-1.000000	-1.000000	14.297254	0.000000	12.620321
RP4-669L17.1	pseudogene	-1.000000	-1.000000	5.729167	-1.000000	5.729167
RP5-857K21.1	lincRNA	-1.000000	-1.000000	3.448276	0.000000	1.176948
RP11-206L10.1	pseudogene	-1.000000	-1.000000	4.615385	0.000000	2.974948
RP11-206L10.3	lincRNA	-1.000000	-1.000000	1.358304	0.000000	0.804584
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	7.286505	5.661232
RP11-54O7.16	lincRNA	-1.000000	-1.000000	0.000000	4.040030	3.913122
SAMD11	protein coding	0.000000	0.000000	0.000000	4.835567	4.158416
KLHL17	protein coding	0.000000	0.000000	0.000000	5.722071	2.866615
C1orf170	protein coding	0.000000	0.000000	0.000000	30.998703	17.273779
AGRN	protein coding	0.000000	0.000000	0.000000	1.181736	0.939071
RP11-465B22.3	pseudogene	-1.000000	-1.000000	0.000000	5.274460	4.084814
C1orf159	protein coding	0.000000	0.000000	0.000000	1.333858	1.178242
RP11-465B22.5	lincRNA	-1.000000	-1.000000	0.000000	13.450185	10.356585
FAM132A	protein coding	0.000000	0.000000	0.000000	16.697588	12.628625
SCNN1D	protein coding	1.968662	0.000000	1.217694	5.297926	3.881653
CPSF3L	protein coding	0.000000	0.000000	0.000000	6.886614	5.287655
ATAD3A	protein coding	0.000000	0.000000	0.000000	0.218718	0.190806
TMEM240	protein coding	0.000000	0.000000	0.000000	3.599823	3.087706
MIB2	protein coding	0.000000	0.000000	0.000000	1.265251	0.921356
SLC35E2B	protein coding	0.000000	0.000000	0.000000	0.253175	0.201742
C1orf222	protein coding	0.333847	0.000000	0.317926	0.548236	0.533708
PRKCZ	protein coding	0.000000	0.000000	0.000000	0.908453	0.873078
C1orf86	protein coding	0.000000	0.000000	0.000000	0.000000	1.206823
SKI	protein coding	0.000000	4.000000	2.441197	0.156967	0.314404
PLCH2	protein coding	0.000000	0.000000	0.000000	0.854152	0.785669
MMEL1	protein coding	0.000000	0.000000	0.000000	0.724069	0.674481
TTC34	protein coding	0.000000	0.000000	0.000000	0.142452	0.139855
PRDM16	protein coding	0.000000	0.000000	0.000000	0.103198	0.100689
ARHGEF16	protein coding	0.000000	0.000000	0.000000	0.943686	0.805636
