# This table shows the intersection of dark regions by a gene annotation gff3, showing where dark regions fall within gene body elements
# chrom : Chromosome of dark region
# region_start : start position of dark region within gene-body element
# region_end : end position of dark region within gene-body element
# gene_body_id : ID of gene body element that contains this dark region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	11246	11635	AL627309.3_exon_1	exon	lncRNA	chr1	11136	11635
chr1	11638	12457	AL627309.3_exon_2	exon	lncRNA	chr1	11638	12457
chr1	11630	11831	AP006222.2_exon_1	exon	lncRNA	chr1	11630	11831
chr1	11831	12625	AP006222.2_intron_1	intron	lncRNA	chr1	11831	12899
chr1	14353	14459	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	19059	19308	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	16182	17327	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	52976	53386	AL731661.1_exon_1	exon	lncRNA	chr1	52976	53422
chr1	54104	54521	AL731661.1_intron_2	intron	lncRNA	chr1	53826	54521
chr1	54521	54613	AL731661.1_exon_3	exon	lncRNA	chr1	54521	54613
chr1	112495	112615	OR4F21_exon_1	CDS	protein_coding	chr1	111903	112896
chr1	112810	112885	OR4F21_exon_1	CDS	protein_coding	chr1	111903	112896
chr1	132243	133260	AC092192.1_exon_1	exon	lncRNA	chr1	132243	133260
chr1	143139	143331	CICP18_intron_1	intron	transcribed_processed_pseudogene	chr1	138478	146546
chr1	144231	144493	CICP18_intron_1	intron	transcribed_processed_pseudogene	chr1	138478	146546
chr1	146193	146546	CICP18_intron_1	intron	transcribed_processed_pseudogene	chr1	138478	146546
chr1	146546	146715	CICP18_exon_2	exon	transcribed_processed_pseudogene	chr1	146546	146715
chr1	146715	147070	CICP18_intron_2	intron	transcribed_processed_pseudogene	chr1	146715	148603
chr1	147370	148216	CICP18_intron_2	intron	transcribed_processed_pseudogene	chr1	146715	148603
chr1	161136	161377	AL669831.1_intron_2	intron	transcribed_unprocessed_pseudogene	chr1	159874	161932
chr1	167785	168226	AL669831.1_intron_3	intron	transcribed_unprocessed_pseudogene	chr1	162123	169689
chr1	168779	169504	AL669831.1_intron_3	intron	transcribed_unprocessed_pseudogene	chr1	162123	169689
chr1	171912	172489	AL669831.1_intron_6	intron	transcribed_unprocessed_pseudogene	chr1	171335	173226
chr1	173514	173805	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	174296	176708	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	177430	177599	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	178216	178508	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	180440	180857	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	186247	186614	AL669831.1_intron_9	intron	transcribed_unprocessed_pseudogene	chr1	185656	191259
chr1	194486	194780	AL669831.1_intron_11	intron	transcribed_unprocessed_pseudogene	chr1	192924	195084
chr1	304831	306278	FAM41C_intron_4	intron	lncRNA	chr1	304130	306663
chr1	338512	338845	AL645608.6_intron_1	intron	lncRNA	chr1	334946	345393
chr1	405427	407964	PERM1_intron_2	intron	protein_coding	chr1	405350	408720
chr1	463766	463894	AGRN_intron_2	intron	protein_coding	chr1	452593	464241
chr1	471072	471168	AGRN_intron_5	intron	protein_coding	chr1	471017	471298
chr1	479148	479243	AGRN_intron_24	intron	protein_coding	chr1	479123	479298
chr1	494938	495297	AL390719.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	494633	495366
chr1	516755	516996	C1orf159_intron_4	intron	protein_coding	chr1	516250	518966
chr1	544132	544281	C1orf159_intron_8	intron	protein_coding	chr1	543690	544674
chr1	567932	567990	LINC01342_intron_1	intron	lncRNA	chr1	565726	569439
chr1	568004	568235	LINC01342_intron_1	intron	lncRNA	chr1	565726	569439
chr1	568442	568660	LINC01342_intron_1	intron	lncRNA	chr1	565726	569439
chr1	569726	570201	LINC01342_intron_2	intron	lncRNA	chr1	569647	571353
chr1	673263	674230	C1QTNF12_intron_4	intron	protein_coding	chr1	673224	675446
chr1	713048	713097	SCNN1D_exon_4	CDS	protein_coding	chr1	712984	713097
chr1	713097	713577	SCNN1D_intron_4	intron	protein_coding	chr1	713097	714773
chr1	718389	718749	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	718764	719186	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	720691	720770	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	721092	721301	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	721323	721361	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	720777	721036	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	747255	747360	INTS11_intron_4	intron	protein_coding	chr1	747253	747670
chr1	754041	754265	INTS11_intron_7	intron	protein_coding	chr1	753497	754283
chr1	755401	755772	INTS11_intron_8	intron	protein_coding	chr1	754800	756165
chr1	859293	861394	TMEM88B_intron_1	intron	protein_coding	chr1	858314	861437
chr1	953134	953176	ATAD3A_intron_4	intron	protein_coding	chr1	952279	953424
chr1	974513	974653	TMEM240_intron_3	intron	protein_coding	chr1	974294	974793
chr1	1064356	1064405	MIB2_intron_10	intron	protein_coding	chr1	1064209	1064796
chr1	1064716	1064739	MIB2_intron_10	intron	protein_coding	chr1	1064209	1064796
chr1	1067322	1067417	MMP23B_exon_2	CDS	protein_coding	chr1	1067213	1067417
chr1	1067417	1067484	MMP23B_intron_2	intron	protein_coding	chr1	1067417	1067484
chr1	1067484	1068564	MMP23B_exon_3	CDS	protein_coding	chr1	1067484	1068832
chr1	1076729	1076832	CDK11B_intron_11	intron	protein_coding	chr1	1076487	1076832
chr1	1076832	1076994	CDK11B_exon_12	CDS	protein_coding	chr1	1076832	1076994
chr1	1076994	1077624	CDK11B_intron_12	intron	protein_coding	chr1	1076994	1079611
chr1	1078454	1078767	CDK11B_intron_12	intron	protein_coding	chr1	1076994	1079611
chr1	1101509	1101568	SLC35E2B_intron_2	intron	protein_coding	chr1	1100459	1102766
chr1	1134453	1134946	MMP23A_exon_1	exon	unprocessed_pseudogene	chr1	1134374	1134946
chr1	1134946	1135338	MMP23A_intron_1	intron	unprocessed_pseudogene	chr1	1134946	1135338
chr1	1135338	1135690	MMP23A_exon_2	exon	unprocessed_pseudogene	chr1	1135338	1135690
chr1	1135690	1135760	MMP23A_intron_2	intron	unprocessed_pseudogene	chr1	1135690	1135792
chr1	1143732	1143938	AL031282.2_intron_11	intron	lncRNA	chr1	1143554	1143938
chr1	1143938	1144061	AL031282.2_exon_12	exon	lncRNA	chr1	1143938	1144061
chr1	1144061	1144694	AL031282.2_intron_12	intron	lncRNA	chr1	1144061	1146683
chr1	1145514	1145913	AL031282.2_intron_12	intron	lncRNA	chr1	1144061	1146683
chr1	1358475	1358816	CFAP74_intron_5	intron	protein_coding	chr1	1358346	1358907
chr1	1363903	1364924	CFAP74_intron_11	intron	protein_coding	chr1	1363399	1365604
chr1	1404288	1404403	CFAP74_intron_27	intron	protein_coding	chr1	1403907	1405732
chr1	1424005	1424032	CFAP74_intron_36	intron	protein_coding	chr1	1423799	1424032
chr1	1604679	1604756	PRKCZ_intron_27	intron	protein_coding	chr1	1604569	1606521
chr1	1610364	1610431	PRKCZ_intron_33	intron	protein_coding	chr1	1610282	1616800
chr1	1639871	1640204	FAAP20_intron_8	intron	protein_coding	chr1	1638607	1641280
chr1	1716491	1716549	SKI_intron_4	intron	protein_coding	chr1	1683489	1738942
chr1	1716903	1716941	SKI_intron_4	intron	protein_coding	chr1	1683489	1738942
chr1	1717146	1717185	SKI_intron_4	intron	protein_coding	chr1	1683489	1738942
chr1	1718072	1718099	SKI_intron_4	intron	protein_coding	chr1	1683489	1738942
chr1	1725449	1725543	SKI_intron_4	intron	protein_coding	chr1	1683489	1738942
chr1	1745642	1745741	SKI_exon_10	CDS	protein_coding	chr1	1742541	1746139
chr1	1761128	1761197	MORN1_intron_2	intron	protein_coding	chr1	1760075	1771405
chr1	1761954	1762532	MORN1_intron_2	intron	protein_coding	chr1	1760075	1771405
chr1	1762626	1763012	MORN1_intron_2	intron	protein_coding	chr1	1760075	1771405
chr1	1763144	1763276	MORN1_intron_2	intron	protein_coding	chr1	1760075	1771405
chr1	1840554	1840981	RER1_intron_6	intron	protein_coding	chr1	1840246	1841539
chr1	1875627	1875670	PLCH2_intron_2	intron	protein_coding	chr1	1870228	1908570
chr1	1880786	1881469	PLCH2_intron_2	intron	protein_coding	chr1	1870228	1908570
chr1	1891721	1892072	PLCH2_intron_2	intron	protein_coding	chr1	1870228	1908570
chr1	1903241	1903478	PLCH2_intron_2	intron	protein_coding	chr1	1870228	1908570
chr1	1941869	1941987	PLCH2_exon_22	CDS	protein_coding	chr1	1940749	1946621
chr1	2033967	2034252	MMEL1_intron_3	intron	protein_coding	chr1	2033672	2034298
chr1	2082307	2082458	TTC34_exon_1	CDS	protein_coding	chr1	2077220	2083139
chr1	2193821	2194169	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2196342	2196541	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2196846	2197630	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2198601	2199678	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2200048	2200419	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2201133	2201213	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2202314	2204375	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2206829	2206999	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2207088	2207228	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2210711	2211351	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2211516	2211577	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
