# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
WASH7P	pseudogene	-1.000000	-1.000000	0.000000	0.390851	0.356060
OR4F5	protein coding	0.000000	0.000000	0.000000	3.268526	1.881284
ENSG00000241860	lincRNA	-1.000000	-1.000000	0.000000	0.229561	0.175991
ENSG00000228463	pseudogene	-1.000000	-1.000000	0.000000	0.131419	0.120805
CICP7	pseudogene	-1.000000	-1.000000	1.777060	0.000000	1.568627
CICP3	pseudogene	-1.000000	-1.000000	1.303993	0.000000	1.138385
LINC01128	lincRNA	-1.000000	-1.000000	0.304983	0.000000	0.154483
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	0.641212	0.498188
ENSG00000272438	lincRNA	-1.000000	-1.000000	0.000000	2.613047	2.530964
SAMD11	protein coding	0.000000	0.000000	0.000000	2.422166	1.985280
KLHL17	protein coding	0.000000	0.000000	0.000000	3.620086	1.811100
PERM1	protein coding	0.000000	0.000000	0.000000	16.706161	8.151467
ENSG00000217801	pseudogene	-1.000000	-1.000000	0.000000	1.355014	0.982623
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	8.505535	6.549226
B3GALT6	protein coding	16.868687	0.385888	6.205421	-1.000000	6.205421
C1QTNF12	protein coding	0.000000	0.000000	0.000000	9.647495	7.296539
SCNN1D	protein coding	0.562475	0.000000	0.347913	3.184040	2.199603
INTS11	protein coding	0.000000	0.000000	0.000000	1.592554	1.175393
DVL1	protein coding	0.000000	24.096386	8.971292	0.000000	2.121341
ANKRD65	protein coding	7.166667	0.000000	3.253878	0.000000	2.567931
ANKRD65-AS1	lincRNA	-1.000000	-1.000000	6.642066	0.000000	1.471791
TMEM88B	protein coding	0.000000	3.230543	2.736318	0.000000	2.007299
FNDC10	protein coding	12.922173	8.321775	9.797456	-1.000000	9.797456
SLC35E2B	protein coding	0.000000	0.000000	0.000000	0.472381	0.372753
CDK11A	protein coding	0.000000	0.000000	0.000000	0.975424	0.814451
CFAP74	protein coding	0.000000	0.000000	0.000000	0.104845	0.097697
GABRD	protein coding	0.000000	2.807018	0.665004	0.000000	0.139995
PRKCZ	protein coding	0.000000	0.000000	0.000000	0.785835	0.754904
FAAP20	protein coding	0.000000	0.000000	0.000000	0.348666	0.898829
SKI	protein coding	0.000000	10.629012	6.806971	0.075186	0.575134
RER1	protein coding	0.000000	0.000000	0.000000	0.463983	0.292676
PLCH2	protein coding	0.000000	0.000000	0.000000	0.631461	0.582009
HES5	protein coding	41.117764	0.000000	15.570673	0.000000	13.570487
MMEL1	protein coding	0.000000	0.000000	0.000000	0.756981	0.705571
TTC34	protein coding	0.000000	4.119850	2.403908	0.569051	0.655710
ENSG00000285945	lincRNA	-1.000000	-1.000000	0.000000	0.000000	0.246365
PRDM16	protein coding	0.000000	0.000000	0.000000	0.031625	0.030856
ARHGEF16	protein coding	0.000000	0.000000	0.000000	0.759338	0.654114
ENSG00000284703	lincRNA	-1.000000	-1.000000	0.000000	1.919819	0.516168
ENSG00000289893	lincRNA	-1.000000	-1.000000	0.000000	0.316836	0.304502
KCNAB2	protein coding	0.000000	0.000000	0.000000	0.307244	0.277511
GPR153	protein coding	0.000000	3.971272	2.239695	0.000000	0.683885
CAMTA1	protein coding	0.000000	0.000000	0.000000	0.052207	0.051613
RERE	protein coding	0.000000	0.000000	0.000000	0.006809	0.006646
SLC2A5	protein coding	0.000000	0.000000	0.000000	0.319980	0.281046
GPR157	protein coding	0.000000	0.000000	0.000000	0.432185	0.354204
CTNNBIP1	protein coding	0.000000	4.042691	3.744757	0.000000	0.201418
CASZ1	protein coding	5.791855	0.000000	3.650468	0.272343	0.457369
ENSG00000272078	lincRNA	-1.000000	-1.000000	0.631154	0.000000	0.331301
PLOD1	protein coding	0.000000	0.000000	0.000000	0.377660	0.343551
PRAMEF6	protein coding	0.000000	0.000000	0.000000	0.341297	0.274484
PRAMEF27	protein coding	0.000000	8.840864	2.312436	0.000000	0.633892
PRAMEF5	protein coding	0.000000	3.073286	0.701187	0.000000	0.140738
LRRC38	protein coding	0.000000	0.000000	0.000000	0.097659	0.092237
KAZN	protein coding	4.806042	0.195389	1.463645	0.009056	0.021628
PLEKHM2	protein coding	0.000000	9.412861	2.443745	0.000000	0.200202
ENSG00000282143	lincRNA	-1.000000	-1.000000	0.000000	0.478177	0.441522
ARHGEF10L	protein coding	0.000000	17.396594	2.960050	0.016304	0.106211
VWA5B1	protein coding	0.000000	0.000000	0.000000	0.059108	0.050988
EIF4G3	protein coding	1.752922	0.000000	1.097064	0.009684	0.037737
ECE1	protein coding	0.000000	0.000000	0.000000	0.117987	0.112215
ALPL	protein coding	0.000000	0.000000	0.000000	0.039216	0.037674
RAP1GAP	protein coding	0.000000	1.839362	0.723415	0.126107	0.159976
HSPG2	protein coding	0.000000	4.170008	0.347524	0.000000	0.045191
WNT4	protein coding	6.058222	5.180580	5.420521	0.945154	1.725690
ENSG00000285873	lincRNA	-1.000000	-1.000000	6.666667	2.787279	3.003230
EPHA8	protein coding	2.945785	6.512043	4.417449	0.086523	0.673216
EPHB2	protein coding	1.878079	1.614360	1.685115	0.039284	0.133864
LUZP1	protein coding	0.000000	0.000000	0.000000	0.186620	0.167417
CLIC4	protein coding	0.000000	0.000000	0.000000	0.207140	0.198102
RUNX3	protein coding	0.000000	3.008389	2.183498	0.000000	0.158512
MAN1C1	protein coding	0.000000	0.464321	0.316614	0.000000	0.011215
SELENON	protein coding	6.768190	1.456693	3.640158	0.000000	0.870868
RPS6KA1	protein coding	0.000000	0.000000	0.000000	0.079407	0.072898
ZDHHC18	protein coding	11.497105	2.689549	4.772149	0.000000	0.789235
GMEB1	protein coding	0.000000	0.000000	0.000000	0.427776	0.373702
EPB41	protein coding	0.000000	0.000000	0.000000	0.019897	0.018888
PTPRU	protein coding	0.000000	0.000000	0.000000	0.080323	0.075307
SDC3	protein coding	7.725018	3.250803	4.192778	0.000000	0.715158
PUM1	protein coding	0.000000	0.000000	0.000000	0.161012	0.153921
ADGRB2	protein coding	0.000000	18.737131	4.287060	0.127356	0.828568
SPOCD1	protein coding	0.000000	0.000000	0.000000	0.117869	0.097656
LCK	protein coding	0.000000	0.000000	0.000000	0.355663	0.329315
YARS1	protein coding	0.000000	0.000000	0.000000	0.065529	0.060756
FNDC5	protein coding	0.000000	4.141041	3.224777	0.000000	0.988839
RNF19B	protein coding	4.322377	0.000000	3.512623	0.000000	0.338457
ENSG00000278966	other	-1.000000	-1.000000	3.406593	-1.000000	3.406593
ZNF362	protein coding	0.000000	8.424337	5.084746	0.363052	0.703190
A3GALT2	protein coding	0.000000	-1.000000	0.000000	3.583772	3.328217
