region_id	chrom	length
1 #chrom 0
2 chr1 15599
3 chr1 40067
4 chr1 83
5 chr1 3684
6 chr1 627
7 chr1 39632
8 chr1 14626
9 chr1 17829
10 chr1 75354
11 chr1 30324
12 chr1 73945
13 chr1 38544
14 chr1 10997
15 chr1 4236
16 chr1 5499
17 chr1 676
18 chr1 2232
19 chr1 197
20 chr1 19173
21 chr1 57470
22 chr1 3883
23 chr1 3206
24 chr1 52
25 chr1 3332
26 chr1 47724
27 chr1 83103
28 chr1 7149
29 chr1 16744
30 chr1 44067
31 chr1 28129
32 chr1 18635
33 chr1 11815
34 chr2 3891
35 chr2 8761
36 chr2 21776
37 chr2 7920
38 chr2 164
39 chr2 10748
40 chr2 12190
41 chr2 13477
42 chr2 5253
43 chr2 134170
44 chr2 42
45 chr2 117294
46 chr4 27648
47 chr4 12601
48 chr5 8703
49 chr5 12050
50 chr5 875
51 chr5 8855
52 chr5 9135
53 chr5 20644
54 chr5 47
55 chr5 9912
56 chr5 55
57 chr5 29137
58 chr7 8036
59 chr7 30
60 chr7 352
61 chr7 4703
62 chr7 7512
63 chr7 10055
64 chr7 21886
65 chr7 12876
66 chr7 2282
67 chr7 74
68 chr7 38
69 chr7 5757
70 chr7 30969
71 chr7 5066
72 chr8 60
73 chr8 17193
74 chr8 23
75 chr8 25395
76 chr8 18600
77 chr8 14999
78 chr9 23519
79 chr9 44347
80 chr9 2294
81 chr9 34833
82 chr9 5971
83 chr9 44386
84 chr9 5343
85 chr9 52536
86 chr9 4400
87 chr9 1613
88 chr9 20734
89 chr9 64740
90 chr9 59365
91 chr9 92
92 chr9 51
93 chr9 522
94 chr9 1066
95 chr9 43391
96 chr9 71
97 chr9 163
98 chr9 2260
99 chr9 7343
100 chr9 298
101 chr9 37
102 chr9 41613
103 chr9 51017
104 chr9 65
105 chr9 5708
106 chr9 19710
107 chr9 20732
108 chr9 26377
109 chr9 38
110 chr9 54
111 chr9 62760
112 chr9 29842
113 chr9 746
114 chr9 102
115 chr9 699
116 chr9 1184
117 chr9 21
118 chr9 395
119 chr9 539
120 chr9 1462
121 chr9 18855
122 chr9 109
123 chr9 10438
124 chr9 90
125 chr9 332
126 chr9 24158
127 chr9 683
128 chr9 500
129 chr9 8166
130 chr9 338
131 chr9 1009
132 chr9 72
133 chr9 96
134 chr9 1245
135 chr9 42
136 chr9 111
137 chr9 796
138 chr9 27
139 chr9 94
140 chr9 35312
141 chr9 9135
142 chr9 1103
143 chr9 21434
144 chr9 1488
145 chr9 32414
146 chr9 41968
147 chr10 578
148 chr10 25987
149 chr10 50089
150 chr10 23000
151 chr10 59556
152 chr10 61
153 chr10 169
154 chr10 249
155 chr10 38470
156 chr11 13644
157 chr12 122528
158 chr15 10939
159 chr15 12318
160 chr15 21
161 chr15 59175
162 chr15 7456
163 chr15 126
164 chr15 3443
165 chr15 65082
166 chr16 3976
167 chr16 341
168 chr16 25
169 chr16 5780
170 chr16 183
171 chr16 8649
172 chr16 22574
173 chr16 27230
174 chr16 19610
175 chr16 11463
176 chr16 19255
177 chr16 42856
178 chr16 30
179 chr16 19780
180 chr16 37142
181 chr17 3682
182 chr17 9553
183 chr19 17924
184 chr20 221
185 chr20 32160
186 chr20 24339
187 chr21 884
188 chr21 24341
189 chr22 3251
190 chrX 104229
191 chrX 106926
192 chrX 48757
193 chrX 21
194 chrX 73
195 chrX 4402
196 chrX 9487
197 chrX 25749
198 chrX 15784
199 chrX 25431
200 chrX 103
201 chrX 20136
202 chrX 16334
203 chrX 6706
204 chrX 53493
205 chrX 19580
206 chrX 8097
207 chrX 81
208 chrX 7487
209 chrY 45
210 chrY 64999
211 chrY 67689
212 chrY 70
213 chrY 25
214 chrY 62405
215 chrY 58036
216 chrY 381469
217 chrY 16685
218 chrY 21022
219 chrY 99
220 chrY 44728
221 chrY 5101
222 chrY 397938
223 chrY 160817
224 chrY 135195
225 chrY 8758
226 chrY 34064
227 chrY 16625
228 chrY 6903
229 chrY 59516
230 chrY 33116
231 chrY 97138
232 chrY 13335
233 chrY 26
234 chrY 19284
235 chrY 17993
236 chrY 14364
237 chrY 18745
238 chrY 27919
239 chrY 614
240 chrY 99257
241 chrY 48375
242 chrY 42293
243 chrY 17564
244 chrY 64694
245 chrY 11292
246 chrY 34246
247 chrY 59190
248 chrY 95933
249 chrY 23100
250 chrY 149260
251 chrY 120632
252 chrY 33433
253 chrY 41707
254 chrY 24
255 chrY 23930
256 chrY 66463
257 chrY 159123
258 chrY 142918
259 chrY 6028
260 chrY 19679
261 chrY 47
262 chrY 17468
263 chrY 352
264 chrY 38
265 chrY 161
266 chrY 311
267 chrY 739
268 chrY 28289
269 chrY 5038
270 chrY 82
271 chrY 49
272 chrY 106
273 chrY 99960
274 chrY 56133
275 chrY 37759
276 chrY 78
277 chrY 112248
278 chrY 157
279 chrY 1058
280 chrY 178
281 chrY 5624
282 chrY 201549
283 chrY 45751
284 chrY 30814
285 chrY 943
286 chrY 65
287 chrY 80901
288 chrY 46454
289 chrY 28709
290 chrY 40577
291 chrY 1958
