# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
AL627309.3	lincRNA	-1.000000	-1.000000	94.309560	100.000000	94.322483
AP006222.2	lincRNA	-1.000000	-1.000000	27.346939	67.696629	51.247920
AC114498.1	lincRNA	-1.000000	-1.000000	0.000000	19.735995	17.908268
AL731661.1	lincRNA	-1.000000	-1.000000	11.428571	3.485577	7.391570
OR4F21	protein coding	6.646526	-1.000000	6.646526	-1.000000	6.646526
AC092192.1	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CICP18	pseudogene	-1.000000	-1.000000	5.652174	19.857372	16.576549
AL669831.1	pseudogene	-1.000000	-1.000000	0.000000	12.599003	11.063523
MMP23B	protein coding	51.950998	-1.000000	51.950998	7.502800	39.134646
CDK11B	protein coding	4.377195	-1.000000	4.377195	5.068596	4.960836
MMP23A	pseudogene	-1.000000	-1.000000	66.884176	63.843648	65.869565
AL031282.2	lincRNA	-1.000000	-1.000000	2.392531	3.545623	3.375745
PRAMEF10	protein coding	0.000000	-1.000000	0.000000	1.740260	1.246744
PRAMEF7	protein coding	14.047466	-1.000000	14.047466	6.712963	10.718039
PRAMEF29P	pseudogene	-1.000000	-1.000000	39.894552	0.000000	21.712099
PRAMEF36P	pseudogene	-1.000000	-1.000000	99.655410	100.000000	99.821301
PRAMEF34P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF32P	pseudogene	-1.000000	-1.000000	42.549203	0.000000	21.743295
PRAMEF8	protein coding	15.368421	0.000000	11.311983	3.949160	7.393090
PRAMEF33	protein coding	0.000000	-1.000000	0.000000	1.739808	1.248137
AL355149.1	pseudogene	-1.000000	-1.000000	54.143019	39.685198	42.979054
BX284668.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF1	protein coding	33.030439	-1.000000	33.030439	36.269926	35.962460
BX284668.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
AL137798.3	pseudogene	-1.000000	-1.000000	42.424242	0.000000	20.467836
MST1P2	pseudogene	-1.000000	-1.000000	24.061135	26.209508	25.155346
CROCCP4	pseudogene	-1.000000	-1.000000	0.000000	5.830318	5.416005
LINC01783	lincRNA	-1.000000	-1.000000	4.263566	0.000000	3.854577
MST1L	pseudogene	-1.000000	-1.000000	4.576744	29.079582	20.486723
CROCC	protein coding	0.000000	-1.000000	0.000000	5.088552	4.946280
MST1L	pseudogene	-1.000000	-1.000000	4.663897	29.693888	21.044046
AL137798.2	lincRNA	-1.000000	-1.000000	0.000000	17.374126	16.047534
MST1P2	pseudogene	-1.000000	-1.000000	25.212121	25.136861	25.176773
BX284668.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RSRP1	protein coding	0.000000	-1.000000	0.000000	6.426859	5.976291
RHD	protein coding	6.700875	-1.000000	6.700875	10.070668	9.878435
RHCE	protein coding	8.922697	-1.000000	8.922697	8.220453	8.245573
BMP8A	protein coding	0.000000	-1.000000	0.000000	0.362976	0.310118
BMP8B	protein coding	0.000000	-1.000000	0.000000	0.446628	0.378633
CYP4Z2P	pseudogene	-1.000000	-1.000000	0.000000	0.389692	0.378306
CYP4Z1	protein coding	0.000000	-1.000000	0.000000	0.444281	0.424707
SKINT1L	pseudogene	-1.000000	-1.000000	0.000000	0.150645	0.147139
MSTRG.215	protein coding	0.000000	-1.000000	0.000000	0.608328	0.576840
AL033530.1	lincRNA	-1.000000	-1.000000	0.000000	0.205691	0.203507
NEGR1	protein coding	0.000000	-1.000000	0.000000	0.086212	0.084929
AL157944.1	lincRNA	-1.000000	-1.000000	0.000000	0.054329	0.053715
AC104454.2	lincRNA	-1.000000	-1.000000	0.000000	14.194736	13.959104
COL24A1	protein coding	0.000000	-1.000000	0.000000	0.354221	0.346292
CLCA4-AS1	lincRNA	-1.000000	-1.000000	0.000000	2.140803	2.093973
BCAR3	protein coding	0.000000	-1.000000	0.000000	0.043448	0.042393
AMY2A	protein coding	36.425936	-1.000000	36.425936	53.839554	50.123735
AMY1A	protein coding	82.953181	-1.000000	82.953181	71.601834	74.665227
AC105272.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AMY1B	protein coding	85.823268	87.500000	86.369481	84.319100	84.835402
AMYP1	pseudogene	-1.000000	-1.000000	62.818004	30.628170	35.979180
AMY1A	protein coding	100.000000	99.606299	99.949950	98.617850	98.974414
AC105272.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
