# This table shows the intersection of dark by depth regions by a gene annotation gff3, showing where dark by depth regions fall within gene body elements
# chrom : Chromosome of dark by depth region
# region_start : start position of dark by depth region within gene-body element
# region_end : end position of dark by depth region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by depth region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by depth reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	144551	144577	ENSG00000241860_intron_1	intron	lncRNA	chr1	143011	146385
chr1	148249	149707	ENSG00000241860_exon_2	exon	lncRNA	chr1	146385	149707
chr1	149707	155766	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	155766	155831	ENSG00000241860_exon_3	exon	lncRNA	chr1	155766	155831
chr1	155831	157473	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	347968	350185	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	1426772	1427553	TMEM88B_intron_1	intron	protein_coding	chr1	1426385	1427553
chr1	1427553	1427787	TMEM88B_exon_2	CDS	protein_coding	chr1	1427553	1427787
chr1	1427787	1428780	TMEM88B_UTR_2	three_prime_UTR	protein_coding	chr1	1427787	1430255
chr1	1667021	1667134	SLC35E2B_intron_2	intron	protein_coding	chr1	1666019	1668326
chr1	4420295	4420321	LINC01777_intron_5	intron	lncRNA	chr1	4418107	4422759
chr1	22803619	22803645	EPHB2_intron_4	intron	protein_coding	chr1	22785076	22863036
chr1	24799924	24800026	CLIC4_intron_2	intron	protein_coding	chr1	24797851	24814093
chr1	24832212	24832263	CLIC4_intron_4	intron	protein_coding	chr1	24827116	24839859
chr1	24834986	24835018	CLIC4_intron_4	intron	protein_coding	chr1	24827116	24839859
chr1	36283616	36283668	THRAP3_intron_5	intron	protein_coding	chr1	36282700	36286367
chr1	54836282	54836306	LEXM_intron_9	intron	protein_coding	chr1	54817122	54841615
chr1	55935609	55935930	ENSG00000234810_intron_14	intron	lncRNA	chr1	55880352	55961882
chr1	55935609	55935930	LINC01753_intron_2	intron	lncRNA	chr1	55921411	55944915
chr1	56776934	56777273	FYB2_intron_16	intron	protein_coding	chr1	56767938	56787174
chr1	61924914	61925263	PATJ_intron_26	intron	protein_coding	chr1	61914664	61927729
chr1	62189541	62189573	PIGPP2_intron_1	intron	processed_pseudogene	chr1	62189503	62189868
chr1	62686148	62686487	DOCK7_intron_52	intron	protein_coding	chr1	62663130	62688226
chr1	65798240	65798310	PDE4B_intron_2	intron	protein_coding	chr1	65793248	65913244
chr1	65798464	65798557	PDE4B_intron_2	intron	protein_coding	chr1	65793248	65913244
chr1	71275636	71275946	ZRANB2-DT_intron_19	intron	lncRNA	chr1	71268478	71280525
chr1	72556906	72556948	ENSG00000286863_intron_5	intron	lncRNA	chr1	72555398	72557860
chr1	74289484	74289605	FPGT-TNNI3K_intron_8	intron	protein_coding	chr1	74271708	74331449
chr1	75546191	75546510	SLC44A5_intron_24	intron	protein_coding	chr1	75541516	75611039
chr1	97724296	97724321	DPYD_intron_20	intron	protein_coding	chr1	97721671	97740391
chr1	103621118	103621197	AMY2A_intron_5	intron	protein_coding	chr1	103620684	103621576
chr1	109071975	109072085	TAF13_intron_3	intron	protein_coding	chr1	109066232	109074986
chr1	112292483	112295037	LINC02884_intron_6	intron	lncRNA	chr1	112271605	112360361
chr1	120320868	120321118	ENSG00000223804_intron_1	intron	transcribed_unprocessed_pseudogene	chr1	120267838	120336868
chr1	120826116	120826166	NBPF26_intron_21	intron	protein_coding	chr1	120824917	120829763
chr1	120827656	120829474	NBPF26_intron_21	intron	protein_coding	chr1	120824917	120829763
chr1	120835012	120836006	NBPF26_intron_29	intron	protein_coding	chr1	120834802	120836516
chr1	150718959	150719293	HORMAD1_intron_13	intron	protein_coding	chr1	150717282	150719472
chr1	156556912	156559143	IQGAP3_intron_27	intron	protein_coding	chr1	156556693	156560933
chr1	158841727	158841750	MNDA_intron_1	intron	protein_coding	chr1	158831557	158842133
