region_id	chrom	length
1 #chrom 0
2 chr1 22
3 chr1 669
4 chr1 84
5 chr1 8736
6 chr1 3667
7 chr1 475
8 chr1 651
9 chr1 595
10 chr1 1184
11 chr1 27
12 chr1 39916
13 chr1 1267
14 chr1 2280392
15 chr1 409
16 chr1 135
17 chr1 121
18 chr1 471896
19 chr1 693
20 chr1 1025
21 chr1 160
22 chr1 169
23 chr2 82835
24 chr2 430835
25 chr2 24545
26 chr2 139
27 chr2 60523
28 chr2 162
29 chr2 185
30 chr2 22249
31 chr2 5644
32 chr2 284
33 chr2 14787
34 chr2 8267
35 chr2 113
36 chr2 523
37 chr2 1258
38 chr2 16551
39 chr2 884
40 chr2 1396
41 chr2 822
42 chr2 13686
43 chr2 4280
44 chr2 562
45 chr2 948
46 chr2 69
47 chr2 3195
48 chr2 302
49 chr2 3229
50 chr2 2029
51 chr2 76
52 chr3 53
53 chr3 240
54 chr3 77471
55 chr3 113287
56 chr3 158
57 chr3 1145
58 chr3 153
59 chr3 497
60 chr3 708
61 chr3 177
62 chr3 1368
63 chr3 574
64 chr3 140455
65 chr3 963
66 chr3 1648
67 chr3 151
68 chr3 663
69 chr3 1099
70 chr3 399
71 chr3 6679
72 chr3 1557
73 chr3 39
74 chr3 3185
75 chr3 2561
76 chr3 55681
77 chr3 85
78 chr3 124
79 chr3 40
80 chr3 1483
81 chr3 77
82 chr3 349
83 chr3 448
84 chr3 197
85 chr3 82
86 chr3 381
87 chr3 32
88 chr3 91
89 chr3 3187
90 chr3 407108
91 chr3 59708
92 chr3 221
93 chr3 1520
94 chr3 2295
95 chr3 173
96 chr3 4983
97 chr3 25
98 chr3 577
99 chr3 1050
100 chr3 163
101 chr3 3743
102 chr3 605
103 chr3 7075
104 chr3 2698
105 chr3 54
106 chr3 179
107 chr3 278164
108 chr3 87
109 chr3 103751
110 chr3 176954
111 chr4 56859
112 chr4 12001
113 chr4 410
114 chr4 2503
115 chr4 5885
116 chr4 36163
117 chr4 739
118 chr4 1453
119 chr4 371
120 chr4 893
121 chr4 944
122 chr4 307
123 chr4 195
124 chr4 289
125 chr4 34341
126 chr4 38486
127 chr4 110
128 chr4 1291
129 chr4 149
130 chr4 24449
131 chr4 116
132 chr4 104
133 chr4 962
134 chr4 517
135 chr4 1033
136 chr4 89180
137 chr4 3208
138 chr4 775
139 chr4 530
140 chr4 516
141 chr4 1780
142 chr4 918
143 chr4 84
144 chr4 306
145 chr4 220
146 chr4 278
147 chr4 141
148 chr4 94807
149 chr4 395
150 chr4 279
151 chr4 94
152 chr4 59287
153 chr4 762
154 chr4 285
155 chr4 17658
156 chr4 249
157 chr4 716
158 chr4 56
159 chr4 270085
160 chr4 52
161 chr4 1598
162 chr4 173
163 chr4 8793
164 chr4 1439
165 chr4 11030
166 chr4 93
167 chr4 4929
168 chr4 695
169 chr4 1196
