# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	24.509804	47.766749	31.889764
WASH7P	pseudogene	-1.000000	-1.000000	14.148148	46.887666	43.973361
MIR1302-2HG	lincRNA	-1.000000	-1.000000	34.803922	42.429907	37.427653
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR4F5	protein coding	0.000000	9.168704	5.731754	0.000000	2.432695
ENSG00000238009	lincRNA	-1.000000	-1.000000	0.000000	7.141980	6.543171
CICP27	pseudogene	-1.000000	-1.000000	12.175282	-1.000000	12.175282
ENSG00000268903	pseudogene	-1.000000	-1.000000	2.387268	-1.000000	2.387268
ENSG00000239906	lincRNA	-1.000000	-1.000000	26.708075	0.000000	15.664845
ENSG00000241860	lincRNA	-1.000000	-1.000000	92.828791	70.128876	75.426084
ENSG00000241599	lincRNA	-1.000000	-1.000000	84.210526	100.000000	93.327155
WASH9P	pseudogene	-1.000000	-1.000000	17.406877	17.822232	17.765352
ENSG00000228463	pseudogene	-1.000000	-1.000000	19.980542	6.092271	7.213923
ENSG00000286448	lincRNA	-1.000000	-1.000000	13.061224	0.000000	5.333333
ENSG00000236601	lincRNA	-1.000000	-1.000000	32.175503	53.319128	50.104239
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	82.794830	100.000000	84.812834
ENSG00000235146	lincRNA	-1.000000	-1.000000	15.772871	2.444274	3.627959
OR4F16	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	3.300733	64.705882	11.099253
MMP23B	protein coding	37.318362	0.000000	35.356696	13.997760	22.258065
CDK11B	protein coding	0.000000	0.000000	0.000000	2.044536	1.744650
MMP23A	pseudogene	-1.000000	-1.000000	36.712598	38.470874	37.500000
CDK11A	protein coding	0.000000	0.000000	0.000000	2.261457	1.888252
PLCH2	protein coding	0.000000	0.000000	0.000000	4.800742	4.424779
ENSG00000224387	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000229393	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
HES5	protein coding	10.778443	12.043796	11.564626	50.769231	16.600791
ENSG00000272449	lincRNA	-1.000000	-1.000000	2.465931	100.000000	91.365543
TNFRSF14-AS1	lincRNA	-1.000000	-1.000000	51.157106	28.717949	48.080439
TNFRSF14	protein coding	7.814270	43.404488	31.808118	17.403668	21.410243
PRXL2B	protein coding	0.000000	97.795879	71.664326	0.000000	41.020490
MMEL1	protein coding	4.273504	65.055762	15.635858	1.182308	2.163910
TTC34	protein coding	5.154321	0.000000	2.146806	9.689794	9.333544
ENSG00000285945	lincRNA	-1.000000	-1.000000	100.000000	100.000000	85.855065
PRAMEF7	protein coding	31.228070	8.488613	25.471698	19.570085	22.289302
PRAMEF29P	pseudogene	-1.000000	-1.000000	48.769772	34.732424	42.372071
PRAMEF6	protein coding	28.581412	1.420455	23.219293	48.873720	43.851559
PRAMEF27	protein coding	60.473208	25.736739	51.387461	20.337667	28.849134
HNRNPCL3	protein coding	25.736961	75.246548	52.215190	0.000000	46.941679
PRAMEF25	protein coding	98.260264	59.212880	87.324649	46.761892	55.555556
PRAMEF34P	pseudogene	-1.000000	-1.000000	99.930844	100.000000	99.964183
PRAMEF36P	pseudogene	-1.000000	-1.000000	99.586492	100.000000	99.785484
PRAMEF26	protein coding	74.114286	48.533724	66.940789	49.741850	54.282923
HNRNPCL4	protein coding	25.736961	91.377246	57.658707	-1.000000	57.658707
