# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
ENSG00000241860	lincRNA	-1.000000	-1.000000	20.150834	31.119613	28.559960
ENSG00000228463	pseudogene	-1.000000	-1.000000	0.000000	2.368742	2.177436
TMEM88B	protein coding	47.560976	36.453744	38.152985	66.866438	45.802920
SLC35E2B	protein coding	0.000000	0.000000	0.000000	0.430476	0.339686
LINC01777	lincRNA	-1.000000	-1.000000	0.000000	0.257706	0.205339
CAPZB	protein coding	0.000000	0.000000	0.000000	0.016310	0.014990
EPHB2	protein coding	0.000000	0.000000	0.000000	0.013095	0.012342
CLIC4	protein coding	0.000000	0.000000	0.000000	0.195515	0.186984
THRAP3	protein coding	0.000000	0.000000	0.000000	0.068129	0.064257
LEXM	protein coding	0.000000	0.000000	0.000000	0.069741	0.066318
ENSG00000234810	lincRNA	-1.000000	-1.000000	0.000000	0.046810	0.046275
LINC01753	lincRNA	-1.000000	-1.000000	0.000000	1.119598	1.092692
FYB2	protein coding	0.000000	0.000000	0.000000	0.347931	0.335953
PATJ	protein coding	0.000000	0.000000	0.000000	0.081869	0.080010
PIGPP2	pseudogene	-1.000000	-1.000000	0.000000	8.767123	3.892944
DOCK7	protein coding	0.000000	0.000000	0.000000	0.151682	0.144817
PDE4B	protein coding	0.000000	0.000000	0.000000	0.028330	0.028004
ENSG00000285407	lincRNA	-1.000000	-1.000000	0.000000	0.008032	0.007947
ZRANB2-DT	lincRNA	-1.000000	-1.000000	0.000000	0.078725	0.075859
ENSG00000286863	lincRNA	-1.000000	-1.000000	0.000000	0.009048	0.008925
FPGT-TNNI3K	protein coding	0.000000	0.000000	0.000000	0.035967	0.034955
SLC44A5	protein coding	0.000000	0.000000	0.000000	0.079187	0.077998
EVI5	protein coding	0.000000	0.419687	0.280076	0.000000	0.007754
DPYD	protein coding	0.000000	0.000000	0.000000	0.002984	0.002726
AMY2A	protein coding	0.000000	0.000000	0.000000	1.166913	0.945768
TAF13	protein coding	0.000000	0.000000	0.000000	1.022970	0.813850
LINC02884	lincRNA	-1.000000	-1.000000	0.000000	1.443974	1.389637
LINC01649	lincRNA	-1.000000	-1.000000	0.000000	0.086299	0.078472
ENSG00000223804	pseudogene	-1.000000	-1.000000	0.000000	0.340456	0.335404
