# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	24.740484	47.766749	32.047244
WASH7P	pseudogene	-1.000000	-1.000000	14.148148	51.208743	47.909798
MIR1302-2HG	lincRNA	-1.000000	-1.000000	50.294118	42.429907	47.588424
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR4F5	protein coding	0.917431	22.616137	14.482232	4.282897	8.611742
ENSG00000238009	lincRNA	-1.000000	-1.000000	4.026846	8.670123	8.280814
CICP27	pseudogene	-1.000000	-1.000000	13.093676	-1.000000	13.093676
ENSG00000268903	pseudogene	-1.000000	-1.000000	5.437666	-1.000000	5.437666
ENSG00000239906	lincRNA	-1.000000	-1.000000	32.608696	0.000000	19.125683
ENSG00000241860	lincRNA	-1.000000	-1.000000	92.775867	71.747886	76.654934
ENSG00000241599	lincRNA	-1.000000	-1.000000	84.429825	100.000000	93.419833
WASH9P	pseudogene	-1.000000	-1.000000	17.406877	23.721300	22.856582
ENSG00000228463	pseudogene	-1.000000	-1.000000	28.043293	14.071415	15.199819
ENSG00000286448	lincRNA	-1.000000	-1.000000	12.244898	0.000000	5.000000
ENSG00000236601	lincRNA	-1.000000	-1.000000	100.000000	82.560236	85.211953
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	82.875606	100.000000	84.884135
ENSG00000235146	lincRNA	-1.000000	-1.000000	15.772871	3.089931	4.216277
MTND2P28	pseudogene	-1.000000	-1.000000	15.819751	-1.000000	15.819751
OR4F16	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	4.197229	71.708683	12.771256
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	3.357934	2.585595
SCNN1D	protein coding	0.000000	0.000000	0.000000	1.519355	0.991978
MMP23B	protein coding	38.110964	0.000000	36.107635	24.636058	25.709677
CDK11B	protein coding	0.000000	0.000000	0.000000	2.044536	1.744650
MMP23A	pseudogene	-1.000000	-1.000000	36.712598	38.470874	37.500000
CDK11A	protein coding	1.075269	0.000000	0.716846	3.302272	2.875603
TTC34	protein coding	0.000000	0.000000	0.000000	11.827717	11.269102
ENSG00000285945	lincRNA	-1.000000	-1.000000	0.000000	0.000000	6.645836
ARHGEF16	protein coding	0.000000	0.000000	0.000000	1.128034	0.971718
WRAP73	protein coding	0.000000	0.000000	0.000000	2.024820	1.832318
C1orf174	protein coding	0.000000	0.000000	0.000000	3.933333	3.169771
CAMTA1	protein coding	0.000000	0.000000	0.000000	0.048919	0.048362
CASZ1	protein coding	0.000000	0.000000	0.000000	0.044950	0.042488
PRAMEF10	protein coding	0.000000	0.000000	0.000000	1.714286	1.228135
PRAMEF7	protein coding	32.912281	21.946170	30.136268	24.003583	26.829268
PRAMEF29P	pseudogene	-1.000000	-1.000000	49.121265	41.657922	45.719751
PRAMEF6	protein coding	29.839273	6.250000	25.182277	51.945392	46.706192
PRAMEF27	protein coding	0.000000	0.000000	0.000000	18.591112	13.494858
HNRNPCL3	protein coding	12.585034	66.272189	41.297468	0.000000	37.126600
PRAMEF25	protein coding	69.659012	62.254025	67.585170	47.316600	51.710655
PRAMEF34P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF36P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000233336	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF26	protein coding	65.428571	50.879765	61.348684	47.647146	51.264792
HNRNPCL4	protein coding	31.746032	80.359281	55.387303	-1.000000	55.387303
PRAMEF9	protein coding	0.000000	0.000000	0.000000	21.196814	14.334516
PRAMEF31P	pseudogene	-1.000000	-1.000000	37.080292	18.886540	27.823593
PRAMEF5	protein coding	23.969252	11.583924	21.143474	51.848842	45.685829
PRAMEF32P	pseudogene	-1.000000	-1.000000	53.608247	53.476983	53.544061
PRAMEF8	protein coding	23.649123	22.162162	23.478261	28.924876	26.637099
PRAMEF33	protein coding	0.000000	0.000000	0.000000	5.686835	4.079732
CROCCP3	pseudogene	-1.000000	-1.000000	0.000000	0.659080	0.540524
NBPF1	protein coding	11.929825	62.007168	33.131007	5.035701	8.280155
CROCCP2	pseudogene	-1.000000	-1.000000	0.000000	0.583205	0.495138
ENSG00000282143	lincRNA	-1.000000	-1.000000	88.357843	46.861329	50.042273
RNU1-3	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ESPNP	pseudogene	-1.000000	-1.000000	0.000000	6.293882	5.353769
ENSG00000279151	lincRNA	-1.000000	-1.000000	0.000000	8.427121	7.583992
ENSG00000282740	lincRNA	-1.000000	-1.000000	88.264059	39.499644	43.244766
CROCC	protein coding	0.000000	0.000000	0.000000	0.000000	2.571651
MST1L	pseudogene	-1.000000	-1.000000	0.000000	1.531540	1.043909
ENSG00000223643	lincRNA	-1.000000	-1.000000	46.770335	43.146718	44.764957
MFAP2	protein coding	0.000000	7.113821	3.352490	0.000000	0.570962
ENSG00000289694	protein coding	0.000000	0.000000	0.000000	0.045380	0.042772
CLIC4	protein coding	0.000000	0.000000	0.000000	1.432014	1.369531
