# This table shows the intersection of dark regions by a gene annotation gff3, showing where dark regions fall within gene body elements
# chrom : Chromosome of dark region
# region_start : start position of dark region within gene-body element
# region_end : end position of dark region within gene-body element
# gene_body_id : ID of gene body element that contains this dark region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	11869	12227	DDX11L1_exon_1	exon	pseudogene	chr1	11869	12227
chr1	12227	12594	DDX11L1_intron_1	intron	pseudogene	chr1	12227	12594
chr1	12594	12626	DDX11L1_exon_2	exon	pseudogene	chr1	12594	12721
chr1	17941	18061	WASH7P_exon_9	exon	pseudogene	chr1	17914	18061
chr1	18061	18207	WASH7P_intron_9	intron	pseudogene	chr1	18061	18267
chr1	18836	18862	WASH7P_intron_10	intron	pseudogene	chr1	18379	24733
chr1	20675	21432	WASH7P_intron_10	intron	pseudogene	chr1	18379	24733
chr1	21778	23039	WASH7P_intron_10	intron	pseudogene	chr1	18379	24733
chr1	23525	24558	WASH7P_intron_10	intron	pseudogene	chr1	18379	24733
chr1	24986	28418	WASH7P_intron_11	intron	pseudogene	chr1	24891	29320
chr1	29766	29806	WASH7P_exon_13	exon	pseudogene	chr1	29533	29806
chr1	29766	30039	MIR1302-10_exon_1	exon	lincRNA	chr1	29554	30039
chr1	30039	30266	MIR1302-10_intron_1	intron	lincRNA	chr1	30039	30266
chr1	30266	30507	MIR1302-10_exon_2	exon	lincRNA	chr1	30266	30667
chr1	34554	35174	FAM138A_exon_1	exon	lincRNA	chr1	34554	35174
chr1	35174	35244	FAM138A_intron_1	intron	lincRNA	chr1	35174	35244
chr1	35244	35481	FAM138A_exon_2	exon	lincRNA	chr1	35244	35481
chr1	35481	35720	FAM138A_intron_2	intron	lincRNA	chr1	35481	35720
chr1	35720	36081	FAM138A_exon_3	exon	lincRNA	chr1	35720	36081
chr1	92093	92240	RP11-34P13.7_exon_2	exon	lincRNA	chr1	92090	92240
chr1	92240	92273	RP11-34P13.7_intron_2	intron	lincRNA	chr1	92240	110952
chr1	96934	97187	RP11-34P13.7_intron_2	intron	lincRNA	chr1	92240	110952
chr1	100131	100264	RP11-34P13.7_intron_2	intron	lincRNA	chr1	92240	110952
chr1	109895	110418	RP11-34P13.7_intron_2	intron	lincRNA	chr1	92240	110952
chr1	116644	118159	RP11-34P13.7_intron_4	intron	lincRNA	chr1	112804	120720
chr1	129955	129991	RP11-34P13.7_intron_6	intron	lincRNA	chr1	129223	133373
chr1	130451	131009	RP11-34P13.7_intron_6	intron	lincRNA	chr1	129223	133373
chr1	132143	132656	RP11-34P13.7_intron_6	intron	lincRNA	chr1	129223	133373
chr1	132143	132656	CICP27_exon_1	exon	pseudogene	chr1	131025	134836
chr1	135652	135802	AL627309.1_UTR_1	three_prime_UTR	protein_coding	chr1	134901	135802
chr1	135802	135846	AL627309.1_intron_1	intron	protein_coding	chr1	135802	137620
chr1	141474	143011	RP11-34P13.13_exon_1	exon	processed_transcript	chr1	141474	143011
chr1	143011	144145	RP11-34P13.13_intron_1	intron	processed_transcript	chr1	143011	146385
