region_id	chrom	length
1 #chrom 0
2 chr1 3566
3 chr1 41269
4 chr1 8814
5 chr1 125
6 chr1 2069
7 chr1 195
8 chr1 438
9 chr1 10809
10 chr1 4188
11 chr1 3635
12 chr1 115
13 chr1 177
14 chr1 2812
15 chr1 44
16 chr1 2125
17 chr1 77
18 chr1 150
19 chr1 3040
20 chr1 34
21 chr1 24546
22 chr1 36
23 chr1 218
24 chr1 1501035
25 chr1 572376
26 chr1 165077
27 chr1 157836
28 chr1 434
29 chr1 50854
30 chr1 51133
31 chr1 60
32 chr1 29
33 chr1 504
34 chr1 148916
35 chr1 14269
36 chr1 47188
37 chr1 25047
38 chr1 9737
39 chr1 24203
40 chr1 30
41 chr1 14361
42 chr2 5768
43 chr2 65
44 chr2 138
45 chr2 25
46 chr2 3961
47 chr2 11418
48 chr2 815
49 chr2 42
50 chr2 81677
51 chr2 13615
52 chr2 130508
53 chr2 43
54 chr2 48776
55 chr2 274
56 chr2 21684
57 chr2 9725
58 chr2 45
59 chr2 113
60 chr2 83
61 chr2 31
62 chr2 22332
63 chr2 23821
64 chr2 48694
65 chr2 25947
66 chr2 1368
67 chr2 23325
68 chr2 15348
69 chr2 11526
70 chr2 10089
71 chr2 6178
72 chr2 12600
73 chr2 123
74 chr2 13289
75 chr2 5205
76 chr2 134364
77 chr2 116805
78 chr3 16671
79 chr3 3134
80 chr3 269
81 chr3 2489
82 chr3 268
83 chr3 3618
84 chr3 548
85 chr3 207
86 chr3 355
87 chr3 28
88 chr3 8924
89 chr3 3297
90 chr3 420
91 chr3 18652
92 chr3 23525
93 chr3 257
94 chr3 145
95 chr3 16469
96 chr3 86740
97 chr3 27454
98 chr3 43
99 chr3 78977
100 chr3 23191
101 chr3 117374
102 chr3 20582
103 chr3 11659
104 chr3 1047
105 chr3 23620
106 chr3 58685
107 chr3 24655
108 chr3 63045
109 chr3 66825
110 chr3 70973
111 chr3 6499
112 chr3 157
113 chr3 48042
114 chr3 1132
115 chr3 949
116 chr3 27301
117 chr3 11281
118 chr3 56981
119 chr3 229
120 chr3 34795
121 chr3 18141
122 chr3 157
123 chr3 2387
124 chr3 627
125 chr3 159
126 chr3 14435
127 chr3 850
128 chr3 18031
129 chr3 20340
130 chr3 27202
131 chr3 39215
132 chr3 22103
133 chr4 27648
134 chr4 10589
135 chr4 181
136 chr4 10454
137 chr4 32957
138 chr4 111
139 chr4 1793
140 chr4 176
141 chr4 2730
142 chr4 296
143 chr4 439
144 chr4 42406
145 chr4 45
146 chr4 948
147 chr4 44
148 chr4 13502
149 chr4 8615
150 chr4 128
151 chr4 31417
152 chr4 349
153 chr4 6034
154 chr4 2970
155 chr4 223
156 chr4 33
157 chr4 491
158 chr4 198
159 chr4 16674
160 chr4 137
161 chr4 1144
162 chr4 21427
163 chr4 4314
164 chr4 34719
165 chr4 22616
166 chr4 40372
167 chr4 180
168 chr4 28
169 chr4 16460
170 chr4 38
171 chr4 2363
172 chr4 130
173 chr4 175
174 chr4 13405
175 chr4 5325
176 chr4 1083
177 chr4 339
178 chr4 241
179 chr4 18255
180 chr4 1199
181 chr4 1053
182 chr4 1740
183 chr4 7866
184 chr4 9720
185 chr4 2529
186 chr4 951
187 chr4 19151
188 chr5 7950
189 chr5 131
190 chr5 117
191 chr5 1008
192 chr5 9404
193 chr5 106
194 chr5 115
195 chr5 3271
196 chr5 214
197 chr5 3157
198 chr5 39
199 chr5 446
200 chr5 32
201 chr5 131
202 chr5 610
203 chr5 2236
204 chr5 7297
205 chr5 830
206 chr5 166
207 chr5 1999
208 chr5 339
209 chr5 808
210 chr5 21
211 chr5 5831
212 chr5 942
213 chr5 4416
214 chr5 34
215 chr5 7702
