region_id	chrom	length
1 #chrom 0
2 chr1 614
3 chr1 133
4 chr1 258
5 chr1 718
6 chr1 67
7 chr1 326
8 chr1 230
9 chr1 1306
10 chr1 459
11 chr1 1135
12 chr1 249
13 chr1 27
14 chr1 451
15 chr1 78
16 chr1 693
17 chr1 1245
18 chr1 164
19 chr1 463
20 chr1 431
21 chr1 140
22 chr1 351
23 chr1 1024
24 chr1 690
25 chr1 1417
26 chr1 898
27 chr1 571
28 chr1 684
29 chr1 773
30 chr1 871
31 chr1 1015
32 chr1 349
33 chr1 580
34 chr1 343
35 chr1 478
36 chr1 636
37 chr1 1004
38 chr1 116
39 chr1 1830
40 chr1 226
41 chr1 597
42 chr1 22
43 chr1 69
44 chr1 39
45 chr1 25
46 chr1 204
47 chr1 181
48 chr1 176
49 chr1 372
50 chr1 337
51 chr1 255
52 chr1 122
53 chr1 666
54 chr1 626
55 chr1 480
56 chr1 369
57 chr1 748
58 chr1 154
59 chr1 411
60 chr1 75
61 chr1 2030
62 chr1 1051
63 chr1 266
64 chr1 1426
65 chr1 135
66 chr1 1227
67 chr1 69
68 chr1 192
69 chr1 262
70 chr1 877
71 chr1 849
72 chr1 450
73 chr1 241
74 chr1 441
75 chr1 726
76 chr1 577
77 chr1 291
78 chr1 2413
79 chr1 173
80 chr1 233
81 chr1 417
82 chr1 367
83 chr1 294
84 chr1 46
85 chr1 200
86 chr1 231
87 chr1 257
88 chr1 326
89 chr1 371
90 chr1 349
91 chr1 88
92 chr1 233
93 chr1 184
94 chr1 1242
95 chr1 895
96 chr1 313
97 chr1 1307
98 chr1 962
99 chr1 399
100 chr1 77
101 chr1 683
102 chr1 348
103 chr1 397
104 chr1 199
105 chr1 784
106 chr1 1079
107 chr1 371
108 chr1 82
109 chr1 2061
110 chr1 170
111 chr1 141
112 chr1 641
113 chr1 198
114 chr1 2884
115 chr1 417
116 chr1 1018
117 chr1 245
118 chr1 2138
119 chr1 876
120 chr1 174
121 chr1 292
122 chr1 2155
123 chr1 3126
124 chr1 912
125 chr1 161
126 chr1 518
127 chr1 490
128 chr1 648
129 chr1 478
130 chr1 86
131 chr1 63
132 chr1 31
133 chr1 46
134 chr1 360
135 chr1 61
136 chr1 70
137 chr1 259
138 chr1 364
139 chr1 117
140 chr1 453
141 chr1 58
142 chr1 49
143 chr1 60
144 chr1 54
145 chr1 665
146 chr1 36
147 chr1 70
148 chr1 134
149 chr1 387
150 chr1 112
151 chr1 1046
152 chr1 253
153 chr1 69
154 chr1 833
155 chr1 177
156 chr1 782
157 chr1 894
158 chr1 485
159 chr1 318
160 chr1 334
161 chr1 392
162 chr1 427
163 chr1 540
164 chr1 238
165 chr1 426
166 chr1 906
167 chr1 3192
168 chr1 9455
169 chr1 1948
170 chr1 1943
171 chr1 9159
172 chr1 1875
173 chr1 1199
174 chr1 1092
175 chr1 673
176 chr1 490
177 chr1 546
178 chr1 32
179 chr1 1295
180 chr1 80
181 chr1 68
182 chr1 46
183 chr1 311
184 chr1 400
185 chr1 1260
186 chr1 201
187 chr1 653
188 chr1 305
189 chr1 168
190 chr1 687
191 chr1 1707
192 chr1 289
193 chr1 2278
194 chr1 118
195 chr1 47
196 chr1 152
197 chr1 191
198 chr1 515
199 chr1 88
200 chr1 1279
201 chr1 385
202 chr1 962
203 chr1 148
204 chr1 868
205 chr1 1756
206 chr1 914
207 chr1 865
208 chr1 1436
209 chr1 504
210 chr1 3605
211 chr1 1058
212 chr1 1385
213 chr1 1650
214 chr1 172
215 chr1 318
216 chr1 360
217 chr1 4282
218 chr1 702
219 chr1 513
220 chr1 182
221 chr1 1413
222 chr1 71
223 chr1 52
224 chr1 1180
225 chr1 779
226 chr1 1993
227 chr1 756
228 chr1 318
229 chr1 205
230 chr1 159
231 chr1 200
232 chr1 28
233 chr1 582
234 chr1 768
235 chr1 165
236 chr1 661
237 chr1 275
238 chr1 655
239 chr1 144
240 chr1 1096
241 chr1 230
242 chr1 1696
243 chr1 3355
244 chr1 417
245 chr1 481
246 chr1 303
247 chr1 143
248 chr1 746
249 chr1 2863
250 chr1 1625
251 chr1 45
252 chr1 2491
253 chr1 15591
254 chr1 3309
255 chr1 5907
256 chr1 3347
257 chr1 2474
258 chr1 975
259 chr1 4525
260 chr1 524
261 chr1 849
262 chr1 22
263 chr1 1140
264 chr1 37
265 chr1 2152
266 chr1 696
267 chr1 1773
268 chr1 154
269 chr1 642
270 chr1 354
271 chr1 89
272 chr1 1483
273 chr1 718
274 chr1 469
275 chr1 962
276 chr1 1159
277 chr1 28
278 chr1 1804
279 chr1 474
280 chr1 749
281 chr1 836
282 chr1 1497
283 chr1 293
284 chr1 520
285 chr1 1254
286 chr1 385
287 chr1 189
288 chr1 575
289 chr1 406
290 chr1 47
291 chr1 392
292 chr1 544
293 chr1 40
294 chr1 1313
295 chr1 2009
296 chr1 1967
297 chr1 233
298 chr1 379
299 chr1 1029
300 chr1 622
301 chr1 652
302 chr1 561
303 chr1 636
304 chr1 1435
305 chr1 709
306 chr1 740
307 chr1 272
308 chr1 2417
309 chr1 3051
310 chr1 1237
311 chr1 921
312 chr1 403
313 chr1 449
314 chr1 86
315 chr1 679
316 chr1 717
317 chr1 2840
318 chr1 1994
319 chr1 934
320 chr1 297
321 chr1 429
322 chr1 1494
323 chr1 872
324 chr1 220
325 chr1 757
326 chr1 819
327 chr1 611
328 chr1 1170
329 chr1 134
330 chr1 1515
331 chr1 1753
332 chr1 1081
333 chr1 244
334 chr1 298
335 chr1 218
336 chr1 294
337 chr1 684
338 chr1 489
339 chr1 552
340 chr1 251
341 chr1 249
342 chr1 308
343 chr1 1029
344 chr1 1368
345 chr1 142
346 chr1 262
347 chr1 197
348 chr1 966
349 chr1 798
350 chr1 991
351 chr1 861
352 chr1 1697
353 chr1 34
354 chr1 116
355 chr1 1375
356 chr1 394
357 chr1 471
358 chr1 2737
359 chr1 101
360 chr1 378
361 chr1 276
362 chr1 218
363 chr1 354
364 chr1 237
365 chr1 387
366 chr1 617
367 chr1 110
368 chr1 946
369 chr1 2949
370 chr1 319
371 chr1 35
372 chr1 30
373 chr1 42
374 chr1 35
375 chr1 103
376 chr1 72
377 chr1 1887
378 chr1 499
379 chr1 515
380 chr1 2842
381 chr1 155
382 chr1 2747
383 chr1 509
384 chr1 1033
385 chr1 2258
386 chr1 29
387 chr1 45
388 chr1 33
389 chr1 222
390 chr1 54
391 chr1 88
392 chr1 106
393 chr1 238
394 chr1 202
395 chr1 367
396 chr1 95
397 chr1 264
398 chr1 30
399 chr1 30
400 chr1 41
401 chr1 633
402 chr1 84
403 chr1 303
404 chr1 216
405 chr1 166
406 chr1 246
407 chr1 50
408 chr1 774
409 chr1 307
410 chr1 731
411 chr1 673
412 chr1 382
413 chr1 126
414 chr1 32
415 chr1 40
416 chr1 538
417 chr1 49
418 chr1 93
419 chr1 49
420 chr1 176
421 chr1 382
422 chr1 68
423 chr1 279
424 chr1 281
425 chr1 38
426 chr1 128
427 chr1 211
428 chr1 186
429 chr1 21
430 chr1 939
431 chr1 296
432 chr1 153
433 chr1 356
434 chr1 142
435 chr1 69
436 chr1 2480
437 chr1 1001
438 chr1 165
439 chr1 54
440 chr1 193
441 chr1 967
442 chr1 259
443 chr1 37
444 chr1 636
445 chr1 589
446 chr1 660
447 chr1 712
448 chr1 631
449 chr1 318
450 chr1 102
451 chr1 147
452 chr1 27
453 chr1 36
454 chr1 8225
455 chr1 500
456 chr1 5455
457 chr1 6529
458 chr1 5312
459 chr1 528
460 chr1 3366
461 chr1 5512
462 chr1 7858
463 chr1 256
464 chr1 587
465 chr1 5065
466 chr1 733
467 chr1 81
468 chr1 390
469 chr1 2510
470 chr1 1197
471 chr1 8014
472 chr1 12918
473 chr1 876
474 chr1 5353
475 chr1 568
476 chr1 378
477 chr1 7812
478 chr1 5780
479 chr1 3664
480 chr1 8185
481 chr1 1698
482 chr1 321
483 chr1 6091
484 chr1 6072
485 chr1 1330
486 chr1 316
487 chr1 25809
488 chr1 10592
489 chr1 6796
490 chr1 375
491 chr1 1299
492 chr1 6357
493 chr1 5613
494 chr1 1549
495 chr1 11354
496 chr1 1396
497 chr1 10805
498 chr1 6346
499 chr1 1283
500 chr1 350
501 chr1 8384
502 chr1 14382
503 chr1 2739
504 chr1 7817
505 chr1 4580
506 chr1 2222
507 chr1 9195
508 chr1 5142
509 chr1 1553
510 chr1 11730
511 chr1 1844
512 chr1 4343
513 chr1 5586
514 chr1 2908
515 chr1 6901
516 chr1 10794
517 chr1 653
518 chr1 991
519 chr1 297
520 chr1 181
521 chr1 726
522 chr1 723
523 chr1 517
524 chr1 714
525 chr1 62
526 chr1 905
527 chr1 336
528 chr1 1572
529 chr1 3144
530 chr1 36
531 chr1 48
532 chr1 328
533 chr1 126
534 chr1 2101
535 chr1 468
536 chr1 1246
537 chr1 1980
538 chr1 5159
539 chr1 462
540 chr1 62
541 chr1 2927
542 chr1 1012
543 chr1 565
544 chr1 655
545 chr1 300
546 chr1 2104
547 chr1 2260
548 chr1 594
549 chr1 1832
550 chr1 849
551 chr1 1648
552 chr1 537
553 chr1 1094
554 chr1 1306
555 chr1 818
556 chr1 597
557 chr1 368
558 chr1 232
559 chr1 2101
560 chr1 1112
561 chr1 1867
562 chr1 1490
563 chr1 245
564 chr1 2103
565 chr1 572
566 chr1 961
567 chr1 915
568 chr1 342
569 chr1 2565
570 chr1 649
571 chr1 121
572 chr1 277
573 chr1 5391
574 chr1 1205
575 chr1 833
576 chr1 1193
577 chr1 1924
578 chr1 467
579 chr1 2746
580 chr1 2020
581 chr1 231
582 chr1 324
583 chr1 109
584 chr1 333
585 chr1 327
586 chr1 400
587 chr1 1455
588 chr1 946
589 chr1 747
590 chr1 22
591 chr1 135
592 chr1 952
593 chr1 618
594 chr1 768
595 chr1 368
596 chr1 318
597 chr1 448
598 chr1 817
599 chr1 159
600 chr1 403
601 chr1 682
602 chr1 55
603 chr1 346
604 chr1 319
605 chr1 558
606 chr1 1340
607 chr1 357
608 chr1 397
609 chr1 60
610 chr1 410
611 chr1 405
612 chr1 204
613 chr1 644
614 chr1 619
615 chr1 1077
616 chr1 452
617 chr1 304
618 chr1 65
619 chr1 402
620 chr1 1043
621 chr1 392
622 chr1 1695
623 chr1 163
624 chr1 1409
625 chr1 542
626 chr1 558
627 chr1 464
628 chr1 313
629 chr1 405
630 chr1 163
631 chr1 353
632 chr1 92
633 chr1 552
634 chr1 597
635 chr1 2123
636 chr1 781
637 chr1 758
638 chr1 1804
639 chr1 2323
640 chr1 829
641 chr1 368
642 chr1 393
643 chr1 1591
644 chr1 3281
645 chr1 4902
646 chr1 1502
647 chr1 4357
648 chr1 511
649 chr1 3610
650 chr1 3971
651 chr1 1065
652 chr1 4311
653 chr1 767
654 chr1 850
655 chr1 331
656 chr1 277
657 chr1 572
658 chr1 356
659 chr1 276
660 chr1 58
661 chr1 216
662 chr1 4279
663 chr1 939
664 chr1 5079
665 chr1 2685
666 chr1 982
667 chr1 440
668 chr1 370
669 chr1 838
670 chr1 1990
671 chr1 1690
672 chr1 1109
673 chr1 1003
674 chr1 2097
675 chr1 998
676 chr1 1181
677 chr1 101
678 chr1 159
679 chr1 176
680 chr1 442
681 chr1 215
682 chr1 512
683 chr1 528
684 chr1 348
685 chr1 791
686 chr1 73
687 chr1 1746
688 chr1 255
689 chr1 943
690 chr1 259
691 chr1 46
692 chr1 691
693 chr1 268
694 chr1 808
695 chr1 695
696 chr1 724
697 chr1 243
698 chr1 423
699 chr1 573
700 chr1 143
701 chr1 433
702 chr1 791
703 chr1 574
704 chr1 217
705 chr1 778
706 chr1 197
707 chr1 660
708 chr1 132
709 chr1 1106
710 chr1 547
711 chr1 507
712 chr1 1026
713 chr1 745
714 chr1 784
715 chr1 637
716 chr1 1027
717 chr1 663
718 chr1 336
719 chr1 160
720 chr1 443
721 chr1 3673
722 chr1 214
723 chr1 582
724 chr1 348
725 chr1 468
726 chr1 599
727 chr1 154
728 chr1 316
729 chr1 152
730 chr1 551
731 chr1 269
732 chr1 186
733 chr1 267
734 chr1 494
735 chr1 379
736 chr1 170
737 chr1 316
738 chr1 921
739 chr1 452
740 chr1 72
741 chr1 95
742 chr1 106
743 chr1 985
744 chr1 219
745 chr1 349
746 chr1 103
747 chr1 277
748 chr1 712
749 chr1 377
750 chr1 261
751 chr1 293
752 chr1 137
753 chr1 154
754 chr1 395
755 chr1 294
756 chr1 539
757 chr1 159
758 chr1 23
759 chr1 358
760 chr1 6808
761 chr1 961
762 chr1 1594
763 chr1 1019
764 chr1 1033
765 chr1 411
766 chr1 724
767 chr1 94
768 chr1 1101
769 chr1 1153
770 chr1 1252
771 chr1 473
772 chr1 50
773 chr1 313
774 chr1 562
775 chr1 716
776 chr1 369
777 chr1 255
778 chr1 103
779 chr1 973
780 chr1 21
781 chr1 36
782 chr1 120
783 chr1 2795
784 chr1 259
785 chr1 1016
786 chr1 195
787 chr1 2791
788 chr1 149
789 chr1 589
790 chr1 998
791 chr1 1596
792 chr1 1042
793 chr1 2545
794 chr1 496
795 chr1 2631
796 chr1 202
797 chr1 541
798 chr1 1644
799 chr1 534
800 chr1 1768
801 chr1 1031
802 chr1 864
803 chr1 3612
804 chr1 586
805 chr1 1790
806 chr1 722
807 chr1 562
808 chr1 2511
809 chr1 938
810 chr1 825
811 chr1 1158
812 chr1 952
813 chr1 187
814 chr1 2250
815 chr1 1516
816 chr1 775
817 chr1 26
818 chr1 2780
819 chr1 338
820 chr1 1275
821 chr1 1281
822 chr1 1268
823 chr1 745
824 chr1 49
825 chr1 234
826 chr1 273
827 chr1 53
828 chr1 80
829 chr1 319
830 chr1 370
831 chr1 436
832 chr1 989
833 chr1 83
834 chr1 748
835 chr1 920
836 chr1 1312
837 chr1 957
838 chr1 433
839 chr1 1219
840 chr1 1242
841 chr1 149
842 chr1 708
843 chr1 975
844 chr1 275
845 chr1 1090
846 chr1 303
847 chr1 988
848 chr1 31
849 chr1 571
850 chr1 474
851 chr1 173
852 chr1 182
853 chr1 334
854 chr1 1146
855 chr1 1710
856 chr1 652
857 chr1 677
858 chr1 32
859 chr1 864
860 chr1 664
861 chr1 1277
862 chr1 354
863 chr1 816
864 chr1 429
865 chr1 587
866 chr1 31
867 chr1 410
868 chr1 94
869 chr1 1488
870 chr1 200
871 chr1 279
872 chr1 1882
873 chr1 656
874 chr1 1133
875 chr1 528
876 chr1 1132
877 chr1 2027
878 chr1 1651
879 chr1 350
880 chr1 104
881 chr1 745
882 chr1 273
883 chr1 1204
884 chr1 2377
885 chr1 90
886 chr1 251
887 chr1 450
888 chr1 1459
889 chr1 1572
890 chr1 2840
891 chr1 1702
892 chr1 5727
893 chr1 390
894 chr1 591
895 chr1 272
896 chr1 704
897 chr1 1010
898 chr1 3276
899 chr1 1976
900 chr1 145
901 chr1 21
902 chr1 200
903 chr1 349
904 chr1 256
905 chr1 234
906 chr1 1101
907 chr1 452
908 chr1 960
909 chr1 620
910 chr1 6656
911 chr1 442
912 chr1 806
913 chr1 3570
914 chr1 258
915 chr1 3797
916 chr1 4165
917 chr1 460
918 chr1 90
919 chr1 73
920 chr1 31
921 chr1 282
922 chr1 3697
923 chr1 137
924 chr1 246
925 chr1 1166
926 chr1 267
927 chr1 877
928 chr1 1219
929 chr1 326
930 chr1 38
931 chr1 204
932 chr1 1647
933 chr1 1474
934 chr1 1105
935 chr1 1624
936 chr1 949
937 chr1 5346
938 chr1 3083
939 chr1 524
940 chr1 1435
941 chr1 1320
942 chr1 1946
943 chr1 3692
944 chr1 488
945 chr1 2204
946 chr1 134
947 chr1 58
948 chr1 426
949 chr1 1705
950 chr1 1869
951 chr1 204
952 chr1 2307
953 chr1 89
954 chr1 2021
955 chr1 186
956 chr1 6308
957 chr1 6806
958 chr1 556
959 chr1 335
960 chr1 5156
961 chr1 582
962 chr1 1672
963 chr1 1144
964 chr1 421
965 chr1 892
966 chr1 398
967 chr1 231
968 chr1 237
969 chr1 38
970 chr1 270
971 chr1 388
972 chr1 347
973 chr1 575
974 chr1 176
975 chr1 889
976 chr1 299
977 chr1 163
978 chr1 590
979 chr1 849
980 chr1 57
981 chr1 886
982 chr1 560
983 chr1 30
984 chr1 535
985 chr1 173
986 chr1 622
987 chr1 2132
988 chr1 248
989 chr1 1072
990 chr1 487
991 chr1 773
992 chr1 885
993 chr1 205
994 chr1 541
995 chr1 463
996 chr1 203
997 chr1 297
998 chr1 1148
999 chr1 173
1000 chr1 180
1001 chr1 3035
1002 chr1 1865
1003 chr1 894
1004 chr1 1837
1005 chr1 877
1006 chr1 1727
1007 chr1 25
1008 chr1 3150
1009 chr1 612
1010 chr1 1230
1011 chr1 3327
1012 chr1 2042
1013 chr1 380
1014 chr1 2606
1015 chr1 2026
1016 chr1 258
1017 chr1 2655
1018 chr1 4237
1019 chr1 1783
1020 chr1 1952
1021 chr1 1212
1022 chr1 1989
1023 chr1 151
1024 chr1 731
1025 chr1 3511
1026 chr1 292
1027 chr1 1677
1028 chr1 273
1029 chr1 2735
1030 chr1 4331
1031 chr1 1787
1032 chr1 1989
1033 chr1 3349
1034 chr1 401
1035 chr1 1188
1036 chr1 177
1037 chr1 320
1038 chr1 2281
1039 chr1 754
1040 chr1 9419
1041 chr1 1972
1042 chr1 2896
1043 chr1 5232
1044 chr1 9815
1045 chr1 6425
1046 chr1 8061
1047 chr1 1294
1048 chr1 2529
1049 chr1 2293
1050 chr1 1118
1051 chr1 1811
1052 chr1 1309
1053 chr1 5021
1054 chr1 1107
1055 chr1 1497
1056 chr1 10923
1057 chr1 6158
1058 chr1 8053
1059 chr1 1327
1060 chr1 2577
1061 chr1 2291
1062 chr1 1111
1063 chr1 1816
1064 chr1 1268
1065 chr1 5022
1066 chr1 1117
1067 chr1 2373
1068 chr1 5214
1069 chr1 1215
1070 chr1 1437
1071 chr1 272
1072 chr1 361
1073 chr1 842
1074 chr1 43
1075 chr1 550
1076 chr1 2630
1077 chr1 28
1078 chr1 1641
1079 chr1 1336
1080 chr1 3113
1081 chr1 339
1082 chr1 6996
1083 chr1 5108
1084 chr1 1514
1085 chr1 1107
1086 chr1 3299
1087 chr1 1283
1088 chr1 934
1089 chr1 3129
1090 chr1 465
1091 chr1 2904
1092 chr1 3114
1093 chr1 23
1094 chr1 245
1095 chr1 3834
1096 chr1 3124
1097 chr1 201
1098 chr1 3889
1099 chr1 1990
1100 chr1 496
1101 chr1 1706
1102 chr1 124
1103 chr1 32
1104 chr1 376
1105 chr1 1098
1106 chr1 3231
1107 chr1 2120
1108 chr1 2097
1109 chr1 1083
1110 chr1 2069
1111 chr1 316
1112 chr1 50
1113 chr1 511
1114 chr1 719
1115 chr1 975
1116 chr1 1147
1117 chr1 2590
1118 chr1 732
1119 chr1 3152
1120 chr1 3479
1121 chr1 443
1122 chr1 1408
1123 chr1 1747
1124 chr1 981
1125 chr1 645
1126 chr1 3878
1127 chr1 681
1128 chr1 94
1129 chr1 2300
1130 chr1 4274
1131 chr1 3849
1132 chr1 14140
1133 chr1 3338
1134 chr1 772
1135 chr1 2109
1136 chr1 375
1137 chr1 3051
1138 chr1 11141
1139 chr1 5464
1140 chr1 122
1141 chr1 1018
1142 chr1 6309
1143 chr1 514
1144 chr1 93
1145 chr1 325
1146 chr1 2880
1147 chr1 2449
1148 chr1 481
1149 chr1 2077
1150 chr1 3437
1151 chr1 2517
1152 chr1 393
1153 chr1 35
1154 chr1 832
1155 chr1 1969
1156 chr1 1346
1157 chr1 2468
1158 chr1 471
1159 chr1 3941
1160 chr1 1275
1161 chr1 2512
1162 chr1 487
1163 chr1 196
1164 chr1 6735
1165 chr1 52
1166 chr1 1812
1167 chr1 38
1168 chr1 511
1169 chr1 1289
1170 chr1 41
1171 chr1 2232
1172 chr1 392
1173 chr1 669
1174 chr1 1921
1175 chr1 3101
1176 chr1 366
1177 chr1 1434
1178 chr1 321
1179 chr1 516
1180 chr1 1029
1181 chr1 1105
1182 chr1 1910
1183 chr1 2025
1184 chr1 896
1185 chr1 2720
1186 chr1 29
1187 chr1 442
1188 chr1 2943
1189 chr1 2060
1190 chr1 2096
1191 chr1 3428
1192 chr1 3106
1193 chr1 1625
1194 chr1 1462
1195 chr1 4496
1196 chr1 50
1197 chr1 917
1198 chr1 640
1199 chr1 850
1200 chr1 10963
1201 chr1 57
1202 chr1 27
1203 chr1 83
1204 chr1 23
