# This table shows the intersection of dark by depth regions by a gene annotation gff3, showing where dark by depth regions fall within gene body elements
# chrom : Chromosome of dark by depth region
# region_start : start position of dark by depth region within gene-body element
# region_end : end position of dark by depth region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by depth region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by depth reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	148366	149707	ENSG00000241860_exon_2	exon	lncRNA	chr1	146385	149707
chr1	149707	155766	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	155766	155831	ENSG00000241860_exon_3	exon	lncRNA	chr1	155766	155831
chr1	155831	157473	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	347968	350185	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	1426741	1427553	TMEM88B_intron_1	intron	protein_coding	chr1	1426385	1427553
chr1	1427553	1427787	TMEM88B_exon_2	CDS	protein_coding	chr1	1427553	1427787
chr1	1427787	1428823	TMEM88B_UTR_2	three_prime_UTR	protein_coding	chr1	1427787	1430255
chr1	2650693	2651971	TTC34_intron_3	intron	protein_coding	chr1	2645563	2783608
chr1	187495696	187497339	LINC01036_intron_24	intron	lncRNA	chr1	187487248	187571132
chr1	243838356	243843124	AKT3_intron_16	intron	protein_coding	chr1	243695716	243843124
chr1	243843124	243843170	AKT3_exon_18	CDS	protein_coding	chr1	243843124	243843170
chr1	243843170	243843282	AKT3_UTR_8	five_prime_UTR	protein_coding	chr1	243843170	243843282
chr1	243843282	243843543	AKT3_intron_17	intron	protein_coding	chr1	243843282	243843543
chr1	243843543	243843584	AKT3_UTR_9	five_prime_UTR	protein_coding	chr1	243843543	243843584
chr1	243843584	243844164	AKT3_intron_18	intron	protein_coding	chr1	243843584	243844164
chr1	243844164	243844210	AKT3_UTR_10	five_prime_UTR	protein_coding	chr1	243844164	243844210
chr1	243844210	243848296	AKT3_intron_19	intron	protein_coding	chr1	243844210	243849594
chr1	246818076	246818180	ENSG00000235386_exon_1	exon	unprocessed_pseudogene	chr1	246818076	246818180
chr1	248404150	248404181	OR2T1_intron_1	intron	protein_coding	chr1	248403245	248406114
chr1	248404245	248404819	OR2T1_intron_1	intron	protein_coding	chr1	248403245	248406114
chr1	248407166	248408020	OR2T1_UTR_3	three_prime_UTR	protein_coding	chr1	248407104	248408020
