# This table shows the intersection of camo regions by a gene annotation gff3, showing where camo regions fall within gene body elements
# chrom : Chromosome of camo region
# region_start : start position of camo region within gene-body element
# region_end : end position of camo region within gene-body element
# gene_body_id : ID of gene body element that contains this camo region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this camo reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr14	2280623	2293977	RNA45S2_exon_1	exon	rRNA	chr14	2280623	2293977
chr14	2324895	2338249	RNA45S2_exon_1	exon	rRNA	chr14	2324895	2338249
chr14	2369167	2382521	RNA45S2_exon_1	exon	rRNA	chr14	2369167	2382521
chr14	2413439	2426793	RNA45S2_exon_1	exon	rRNA	chr14	2413439	2426793
chr14	2457711	2471065	RNA45S2_exon_1	exon	rRNA	chr14	2457711	2471065
chr14	2501983	2515337	RNA45S2_exon_1	exon	rRNA	chr14	2501983	2515337
chr14	2546255	2559609	RNA45S2_exon_1	exon	rRNA	chr14	2546255	2559609
chr14	2590527	2603881	RNA45S2_exon_1	exon	rRNA	chr14	2590527	2603881
chr14	2634799	2648153	RNA45S2_exon_1	exon	rRNA	chr14	2634799	2648153
chr14	2679071	2692425	RNA45S2_exon_1	exon	rRNA	chr14	2679071	2692425
chr14	2723343	2736697	RNA45S2_exon_1	exon	rRNA	chr14	2723343	2736697
chr15	3233150	3246478	RNA45S3_exon_1	exon	rRNA	chr15	3233150	3246478
chr15	3277099	3290427	RNA45S3_exon_1	exon	rRNA	chr15	3277099	3290427
chr15	3321048	3334376	RNA45S3_exon_1	exon	rRNA	chr15	3321048	3334376
chr15	3364997	3378325	RNA45S3_exon_1	exon	rRNA	chr15	3364997	3378325
chr15	3408946	3422274	RNA45S3_exon_1	exon	rRNA	chr15	3408946	3422274
chr15	3452895	3466223	RNA45S3_exon_1	exon	rRNA	chr15	3452895	3466223
chr15	3496844	3510172	RNA45S3_exon_1	exon	rRNA	chr15	3496844	3510172
chr15	3540793	3554121	RNA45S3_exon_1	exon	rRNA	chr15	3540793	3554121
chr15	3584742	3598070	RNA45S3_exon_1	exon	rRNA	chr15	3584742	3598070
chr15	3628691	3642019	RNA45S3_exon_1	exon	rRNA	chr15	3628691	3642019
chr15	3672640	3685968	RNA45S3_exon_1	exon	rRNA	chr15	3672640	3685968
chr15	3716589	3729917	RNA45S3_exon_1	exon	rRNA	chr15	3716589	3729917
chr15	3760538	3773866	RNA45S3_exon_1	exon	rRNA	chr15	3760538	3773866
chr15	3804487	3817815	RNA45S3_exon_1	exon	rRNA	chr15	3804487	3817815
chr15	3848436	3861764	RNA45S3_exon_1	exon	rRNA	chr15	3848436	3861764
chr15	3892385	3905713	RNA45S3_exon_1	exon	rRNA	chr15	3892385	3905713
chr15	3944077	3949676	RNA45S3_exon_1	exon	rRNA	chr15	3936334	3949676
chr15	3989006	3994605	RNA45S3_exon_1	exon	rRNA	chr15	3981266	3994605
