region_id	chrom	length
1 #chrom 0
2 chr1 1574
3 chr1 266
4 chr1 757
5 chr1 1261
6 chr1 1033
7 chr1 1994
8 chr1 1352
9 chr1 741
10 chr1 1796
11 chr1 4754
12 chr1 309
13 chr1 148
14 chr1 280
15 chr1 1214
16 chr1 4268
17 chr1 375
18 chr1 330
19 chr1 339
20 chr1 364
21 chr1 351
22 chr1 180
23 chr1 253
24 chr1 133
25 chr1 523
26 chr1 1515
27 chr1 36
28 chr1 558
29 chr1 513
30 chr1 194
31 chr1 3892
32 chr1 2224
33 chr1 1302
34 chr1 1712
35 chr1 460
36 chr1 3151
37 chr1 261
38 chr1 871
39 chr1 338
40 chr1 587
41 chr1 294
42 chr1 142
43 chr1 498
44 chr1 855
45 chr1 118
46 chr1 531
47 chr1 677
48 chr1 714
49 chr1 145
50 chr1 34
51 chr1 455
52 chr1 354
53 chr1 263
54 chr1 663
55 chr1 959
56 chr1 265
57 chr1 406
58 chr1 284
59 chr1 627
60 chr1 894
61 chr1 723
62 chr1 6628
63 chr1 1743
64 chr1 157
65 chr1 1694
66 chr1 881
67 chr1 173
68 chr1 620
69 chr1 4692
70 chr1 612
71 chr1 9265
72 chr1 1040
73 chr1 930
74 chr1 885
75 chr1 1696
76 chr1 48
77 chr1 456
78 chr1 403
79 chr1 2232
80 chr1 19456
81 chr1 263
82 chr1 1526
83 chr1 14299
84 chr1 2847
85 chr1 4863
86 chr1 3277
87 chr1 1585
88 chr1 5838
89 chr1 1289
90 chr1 2849
91 chr1 17640
92 chr1 3687
93 chr1 203
94 chr1 7093
95 chr1 889
96 chr1 2959
97 chr1 9087
98 chr1 359
99 chr1 55
100 chr1 560
101 chr1 127
102 chr1 368
103 chr1 592
104 chr1 410
105 chr1 497
106 chr1 837
107 chr1 581
108 chr1 340
109 chr1 209
110 chr1 166
111 chr1 183
112 chr1 803
113 chr1 417
114 chr1 832
115 chr1 701
116 chr1 476
117 chr1 703
118 chr1 1062
119 chr1 540
120 chr1 168
121 chr1 323
122 chr1 2692
123 chr1 437
124 chr1 839
125 chr1 838
126 chr1 3228
127 chr1 1671
128 chr1 2387
129 chr1 125
130 chr1 645
131 chr1 434
132 chr1 759
133 chr1 1271
134 chr1 3254
135 chr1 23
136 chr1 168
137 chr1 118
138 chr1 452
139 chr1 830
140 chr1 251
141 chr1 717
142 chr1 172
143 chr1 2493
144 chr1 813
145 chr1 631
146 chr1 1141
147 chr1 405
148 chr1 233
149 chr1 197
150 chr1 290
151 chr1 368
152 chr1 227
153 chr1 300
154 chr1 63
155 chr1 182
156 chr1 204
157 chr1 270
158 chr1 49
159 chr1 57
160 chr1 42
161 chr1 1214
162 chr1 516
163 chr1 415
164 chr1 156
165 chr1 1282
166 chr1 440
167 chr1 632
168 chr1 277
169 chr1 847
170 chr1 439
171 chr1 3021
172 chr1 651
173 chr1 4292
174 chr1 164
175 chr1 508
176 chr1 204
177 chr1 887
178 chr1 153
179 chr1 1974
180 chr1 391
181 chr1 177
182 chr1 321
183 chr1 23
184 chr1 122
185 chr1 196
186 chr1 40
187 chr1 257
188 chr1 403
189 chr1 354
190 chr1 134
191 chr1 258
192 chr1 476
193 chr1 68
194 chr1 174
195 chr1 1026
196 chr1 1092
197 chr1 24
198 chr1 267
199 chr1 995
200 chr1 472
201 chr1 340
202 chr1 590
203 chr1 750
204 chr1 533
205 chr1 927
206 chr1 506
207 chr1 604
208 chr1 433
209 chr1 811
210 chr1 636
211 chr1 1718
212 chr1 1710
213 chr1 446
214 chr1 1538
215 chr1 325
216 chr1 1135
217 chr1 4446
218 chr1 131
219 chr1 1857
220 chr1 378
221 chr1 305
222 chr1 1119
223 chr1 1954
224 chr1 3301
225 chr1 322
226 chr1 442
227 chr1 463
228 chr1 513
229 chr1 390
230 chr1 682
231 chr1 723
232 chr1 342
233 chr1 1227
234 chr1 1916
235 chr1 2124
236 chr1 1413
237 chr1 211
238 chr1 836
239 chr1 425
240 chr1 336
241 chr1 414
242 chr1 4294
243 chr1 459
244 chr1 412
245 chr1 1540
246 chr1 1259
247 chr1 21
248 chr1 1802
249 chr1 2940
250 chr1 1625
251 chr1 816
252 chr1 881
253 chr1 155
254 chr1 952
