# This table shows the intersection of camo regions by a gene annotation gff3, showing where camo regions fall within gene body elements
# chrom : Chromosome of camo region
# region_start : start position of camo region within gene-body element
# region_end : end position of camo region within gene-body element
# gene_body_id : ID of gene body element that contains this camo region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this camo reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	11873	12227	DDX11L1_exon_1	exon	transcribed_unprocessed_pseudogene	chr1	11869	12227
chr1	12227	12612	DDX11L1_intron_1	intron	transcribed_unprocessed_pseudogene	chr1	12227	12612
chr1	12612	12684	DDX11L1_exon_2	exon	transcribed_unprocessed_pseudogene	chr1	12612	12721
chr1	18010	18061	WASH7P_exon_8	exon	unprocessed_pseudogene	chr1	17914	18061
chr1	18061	18250	WASH7P_intron_8	intron	unprocessed_pseudogene	chr1	18061	18267
chr1	18267	18366	WASH7P_exon_9	exon	unprocessed_pseudogene	chr1	18267	18366
chr1	18366	18513	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	18743	18819	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	20663	21415	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	21786	23042	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	23524	24550	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	24986	26637	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	26851	26961	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	27056	28223	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	29912	29959	MIR1302-2HG_exon_1	exon	lncRNA	chr1	29554	30039
chr1	29973	30039	MIR1302-2HG_exon_1	exon	lncRNA	chr1	29554	30039
chr1	30039	30266	MIR1302-2HG_intron_1	intron	lncRNA	chr1	30039	30266
chr1	30266	30505	MIR1302-2HG_exon_2	exon	lncRNA	chr1	30266	30667
chr1	34554	35174	FAM138A_exon_1	exon	lncRNA	chr1	34554	35174
chr1	35174	35244	FAM138A_intron_1	intron	lncRNA	chr1	35174	35244
chr1	35244	35481	FAM138A_exon_2	exon	lncRNA	chr1	35244	35481
chr1	35481	35720	FAM138A_intron_2	intron	lncRNA	chr1	35481	35720
chr1	35720	36081	FAM138A_exon_3	exon	lncRNA	chr1	35720	36081
chr1	71282	71430	OR4F5_UTR_3	three_prime_UTR	protein_coding	chr1	70008	71585
chr1	96906	97218	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	100140	100273	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	116645	116701	ENSG00000238009_intron_4	intron	lncRNA	chr1	112804	120720
chr1	116737	118161	ENSG00000238009_intron_4	intron	lncRNA	chr1	112804	120720
chr1	130501	130981	ENSG00000238009_intron_6	intron	lncRNA	chr1	129223	133373
chr1	132157	132622	ENSG00000238009_intron_6	intron	lncRNA	chr1	129223	133373
chr1	132157	132622	CICP27_exon_1	exon	processed_pseudogene	chr1	131025	134836
chr1	140253	140339	ENSG00000239906_exon_2	exon	lncRNA	chr1	140074	140339
chr1	141474	143011	ENSG00000241860_exon_1	exon	lncRNA	chr1	141474	143011
chr1	143011	144093	ENSG00000241860_intron_1	intron	lncRNA	chr1	143011	146385
chr1	145307	146385	ENSG00000241860_intron_1	intron	lncRNA	chr1	143011	146385
chr1	146385	149707	ENSG00000241860_exon_2	exon	lncRNA	chr1	146385	149707
chr1	149892	150130	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	150980	152635	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	153226	153600	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	153740	155766	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	149707	149821	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	155766	155831	ENSG00000241860_exon_3	exon	lncRNA	chr1	155766	155831
chr1	155930	157193	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	157308	157547	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	158445	158861	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	159254	160176	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	160244	161439	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	161521	163690	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	163846	164262	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	164262	164791	ENSG00000241860_exon_4	exon	lncRNA	chr1	164262	164791
chr1	164791	165490	ENSG00000241860_intron_4	intron	lncRNA	chr1	164791	165490
chr1	165490	165942	ENSG00000241860_exon_5	exon	lncRNA	chr1	165490	165942
chr1	165942	166023	ENSG00000241860_intron_5	intron	lncRNA	chr1	165942	167128
chr1	166096	167128	ENSG00000241860_intron_5	intron	lncRNA	chr1	165942	167128
chr1	167128	167755	ENSG00000241860_exon_6	exon	lncRNA	chr1	167128	168165
chr1	168419	168609	ENSG00000241860_intron_6	intron	lncRNA	chr1	168165	168609
chr1	168609	168767	ENSG00000241860_exon_7	exon	lncRNA	chr1	168609	168767
chr1	168767	168904	ENSG00000241860_intron_7	intron	lncRNA	chr1	168767	169048
chr1	168998	169048	ENSG00000241860_intron_7	intron	lncRNA	chr1	168767	169048
chr1	169048	169264	ENSG00000241860_exon_8	exon	lncRNA	chr1	169048	169264
chr1	169264	169662	ENSG00000241860_intron_8	intron	lncRNA	chr1	169264	172556
chr1	170763	171459	ENSG00000241860_intron_8	intron	lncRNA	chr1	169264	172556
chr1	171913	172534	ENSG00000241860_intron_8	intron	lncRNA	chr1	169264	172556
chr1	173282	173563	ENSG00000241860_intron_9	intron	lncRNA	chr1	172688	173752
chr1	173768	173862	ENSG00000241860_exon_10	exon	lncRNA	chr1	173752	173862
chr1	160446	160690	ENSG00000241599_exon_1	exon	lncRNA	chr1	160446	160690
