# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	34.025375	69.975186	45.433071
WASH7P	pseudogene	-1.000000	-1.000000	29.629630	64.924725	61.782936
MIR1302-2HG	lincRNA	-1.000000	-1.000000	69.901961	54.579439	64.630225
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR4G4P	pseudogene	-1.000000	-1.000000	19.547080	-1.000000	19.547080
OR4G11P	pseudogene	-1.000000	-1.000000	0.000000	3.623898	2.838294
OR4F5	protein coding	15.494393	42.420538	32.327092	41.025641	37.333766
ENSG00000238009	lincRNA	-1.000000	-1.000000	9.288591	23.941724	22.713154
CICP27	pseudogene	-1.000000	-1.000000	24.586723	-1.000000	24.586723
ENSG00000239906	lincRNA	-1.000000	-1.000000	63.975155	0.000000	37.522769
ENSG00000241860	lincRNA	-1.000000	-1.000000	94.231278	82.931937	85.568729
ENSG00000241599	lincRNA	-1.000000	-1.000000	78.070175	95.666132	88.229842
WASH9P	pseudogene	-1.000000	-1.000000	21.060172	25.903614	25.240337
ENSG00000228463	pseudogene	-1.000000	-1.000000	40.605618	17.019253	18.924148
ENSG00000286448	lincRNA	-1.000000	-1.000000	23.673469	0.000000	9.666667
ENSG00000236601	lincRNA	-1.000000	-1.000000	100.000000	88.165874	89.965254
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	99.878837	100.000000	99.893048
ENSG00000235146	lincRNA	-1.000000	-1.000000	23.659306	7.947733	9.343045
MTCO1P12	pseudogene	-1.000000	-1.000000	8.300908	-1.000000	8.300908
WBP1LP6	pseudogene	-1.000000	-1.000000	13.947991	-1.000000	13.947991
OR4F16	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	30.521597	100.000000	39.345429
