# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
RP4-669L17.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP5-857K21.1	lincRNA	-1.000000	-1.000000	43.876338	6.038201	18.952922
TMEM88B	protein coding	47.657841	-1.000000	47.657841	69.520548	63.050030
PRAMEF6	protein coding	0.000000	0.000000	0.000000	3.286012	3.180564
PRAMEF25	pseudogene	-1.000000	-1.000000	0.000000	3.304459	2.266725
PRAMEF16	protein coding	60.771930	18.012422	56.431274	57.746479	57.052562
XX-FW84067D5.1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-4M23.7	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-435B5.1	pseudogene	-1.000000	-1.000000	20.595533	-1.000000	20.595533
RNVU1-1	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP6-206I17.1	lincRNA	-1.000000	-1.000000	0.000000	13.008958	12.668364
RP6-206I17.2	lincRNA	-1.000000	-1.000000	5.711551	40.464037	37.193730
NBPF8	protein coding	21.299514	100.000000	23.089983	18.045923	18.810912
LINC00623	lincRNA	-1.000000	-1.000000	13.567750	3.683957	4.529299
AL592284.1	protein coding	0.000000	0.000000	0.000000	19.560827	19.445180
RP6-137J22.3	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
GPR89C	protein coding	21.933472	0.000000	11.152220	31.978867	31.006049
PFN1P5	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ABHD17AP2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PFN1P6	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NBPF16	protein coding	8.693492	10.407489	9.506399	7.314316	7.759169
FAM72C	protein coding	56.818182	0.000000	10.056315	6.915084	3.384778
RNVU1-19	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CAPN8	protein coding	0.000000	0.000000	0.000000	11.608056	11.264929
KIF28P	pseudogene	-1.000000	-1.000000	0.000000	2.438222	2.291230
RP11-397A15.4	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM21B	protein coding	2.366392	0.000000	2.060185	3.928019	3.782339
ASAH2C	protein coding	1.921025	0.000000	1.752678	0.459493	0.509220
FAM35EP	pseudogene	-1.000000	-1.000000	6.625767	46.327684	37.234790
FAM21D	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
PARGP1	pseudogene	-1.000000	-1.000000	0.000000	0.772950	0.754065
SLC9A3P1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
