# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
RNA45S2	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S2	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S2	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S2	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S2	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S2	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S2	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S2	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S2	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S2	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S2	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	41.965223	-1.000000	41.965223
RNA45S3	rRNA	-1.000000	-1.000000	41.974661	-1.000000	41.974661
RNA45S3	rRNA	-1.000000	-1.000000	51.353175	-1.000000	51.353175
RNA45S3	rRNA	-1.000000	-1.000000	51.353175	-1.000000	51.353175
RNA45S3	rRNA	-1.000000	-1.000000	51.353175	-1.000000	51.353175
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA45S3	rRNA	-1.000000	-1.000000	64.794428	-1.000000	64.794428
LINC02564	lincRNA	-1.000000	-1.000000	51.649123	59.292267	57.213740
AP005530.1	lincRNA	-1.000000	-1.000000	92.939245	100.000000	98.409175
