region_id	chrom	length
1 #chrom 0
2 chr1 4069
3 chr1 41352
4 chr1 10106
5 chr1 34
6 chr1 145853
7 chr1 38
8 chr1 27
9 chr1 14499
10 chr1 602
11 chr1 14701
12 chr1 218
13 chr1 4248
14 chr1 24
15 chr1 323
16 chr1 61494
17 chr1 14763
18 chr1 11076
19 chr1 265
20 chr1 206
21 chr1 2269
22 chr1 601
23 chr1 748
24 chr1 3628
25 chr1 38
26 chr1 39
27 chr1 5712
28 chr1 7299
29 chr1 24427
30 chr1 1862
31 chr1 26
32 chr1 36068
33 chr1 2858
34 chr1 2282120
35 chr1 172
36 chr1 78
37 chr1 106
38 chr1 773
39 chr1 159843
40 chr1 43283
41 chr1 480
42 chr1 62284
43 chr1 222316
44 chr1 18088
45 chr1 48097
46 chr1 27914
47 chr1 8258
48 chr1 25753
49 chr1 127846
50 chr1 43369
51 chr1 101133
52 chr1 177992
53 chr1 14644
54 chr1 811034
55 chr1 18788
56 chr1 316189
57 chr1 19562
58 chr1 33
59 chr1 147
60 chr1 199
61 chr1 1192
62 chr1 35
63 chr1 13674
64 chr1 64
65 chr1 2347
66 chr1 81929
67 chr2 60876
68 chr2 20659
69 chr2 52
70 chr2 237
71 chr2 23093
72 chr2 33868
73 chr2 305
74 chr2 53127
75 chr2 33
76 chr2 129
77 chr2 20174
78 chr2 12711
79 chr2 21134
80 chr2 186
81 chr2 151
82 chr2 42
83 chr2 3785
84 chr2 167
85 chr2 10447
86 chr2 82835
87 chr2 160978
88 chr2 89260
89 chr2 102290
90 chr2 51166
91 chr2 22857
92 chr2 139
93 chr2 42395
94 chr2 34
95 chr2 26851
96 chr2 13453
97 chr2 15266
98 chr2 18359
99 chr2 10161
100 chr2 13101
101 chr2 13705
102 chr2 127
103 chr2 56
104 chr2 164
105 chr2 6093
106 chr2 132319
107 chr2 126487
108 chr2 71422
109 chr2 129
110 chr2 53
111 chr2 32
112 chr2 41
113 chr2 18009
114 chr2 28999
115 chr2 26263
116 chr2 37623
117 chr2 84648
118 chr2 8750
119 chr2 8567
120 chr2 59956
121 chr3 15156
122 chr3 74952
123 chr3 31063
124 chr3 30
125 chr3 36
126 chr3 2678
127 chr3 75
128 chr3 94
129 chr3 47
130 chr3 36
131 chr3 66
132 chr3 9957
133 chr3 151
134 chr3 161
135 chr3 561
136 chr3 953
137 chr3 1338
138 chr3 27
139 chr3 82
140 chr3 74
141 chr3 61
142 chr3 585
143 chr3 187
144 chr3 52
145 chr3 8298
146 chr3 25
147 chr3 182
148 chr3 143
149 chr3 157
150 chr3 1629
151 chr3 267
152 chr3 263
153 chr3 5322
154 chr3 30
155 chr3 1650
156 chr3 296
157 chr3 184
158 chr3 39
159 chr3 14677
160 chr3 969
161 chr3 41
162 chr3 20716
163 chr3 523
164 chr3 233
165 chr3 55121
166 chr3 130
167 chr3 5633
168 chr3 96
169 chr3 46
170 chr3 6745
171 chr3 161
172 chr3 3430
173 chr3 363
174 chr3 134
175 chr3 10580
176 chr3 71
177 chr3 14938
178 chr3 29123
179 chr3 4119
180 chr3 20646
181 chr3 15654
182 chr3 59907
183 chr3 29555
184 chr3 5434
185 chr3 12749
186 chr3 35732
187 chr3 12416
188 chr3 352
189 chr3 117
190 chr3 169
191 chr3 13048
