# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
ENSG00000228463	pseudogene	-1.000000	-1.000000	4.098261	1.240464	1.471267
ENSG00000236601	lincRNA	-1.000000	-1.000000	9.140768	18.013440	16.664350
NBPF5P	pseudogene	-1.000000	-1.000000	0.000000	11.483024	10.956084
SLC25A24P2	pseudogene	-1.000000	-1.000000	0.000000	10.342780	10.202615
ENSG00000274642	pseudogene	-1.000000	-1.000000	0.000000	0.237385	0.235736
ENSG00000223804	pseudogene	-1.000000	-1.000000	0.000000	0.393567	0.387727
ENSG00000275767	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
LINC02802	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNA5SP529	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
KMT2CP2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PPIAL4E	protein coding	100.000000	99.621212	99.868248	-1.000000	99.868248
PPIAL4F	protein coding	100.000000	99.621212	99.868248	-1.000000	99.868248
ENSG00000224363	lincRNA	-1.000000	-1.000000	0.000000	51.085389	50.626681
RNA5SP59	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000273825	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF20	protein coding	13.670976	0.000000	11.763511	10.671896	10.830269
RNU6-1071P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NUDT4P2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNU6-1171P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NUDT4B	protein coding	99.816850	0.000000	14.968415	-1.000000	14.968415
RNA5S5	rRNA	-1.000000	-1.000000	72.881356	-1.000000	72.881356
RNA5S6	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S7	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
