# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
ENSG00000228463	pseudogene	-1.000000	-1.000000	16.040375	10.832959	11.253523
ENSG00000235386	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR2G6	protein coding	0.000000	0.000000	0.000000	0.290787	0.197259
DUX4L29	pseudogene	-1.000000	-1.000000	0.147493	-1.000000	0.147493
NOS1	protein coding	0.000000	0.000000	0.000000	0.000000	0.059010
ENSG00000283371	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
GRK1	protein coding	0.000000	0.000000	0.000000	0.698499	0.656579
IGHJ1	other	-1.000000	-1.000000	29.411765	-1.000000	29.411765
IGHD7-27	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ1P	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000289536	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM30A	lincRNA	-1.000000	-1.000000	1.697381	2.089432	2.012684
IGHD1-26	other	-1.000000	-1.000000	10.526316	-1.000000	10.526316
IGHV3-64D	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHV5-10-1	other	-1.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000260409	lincRNA	-1.000000	-1.000000	84.134916	0.136904	5.223937
ENSG00000278552	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
NOMO2	protein coding	13.693947	0.000000	11.565897	7.952632	8.099471
ENSG00000284209	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000288300	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000286968	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
LINC02887	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000280136	lincRNA	-1.000000	-1.000000	43.221574	34.129179	34.545880
TRIM37	protein coding	0.000000	0.000000	0.000000	0.036047	0.034598
IGKV2-40	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000260861	protein coding	0.000000	0.000000	0.000000	4.770752	4.694171
ENSG00000271523	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000279493	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000277117	other	-1.000000	-1.000000	31.211372	82.033806	70.484551
ENSG00000275464	other	-1.000000	-1.000000	10.574208	33.383495	30.327490
ENSG00000280433	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
LINC01670	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000274333	lincRNA	-1.000000	-1.000000	2.295831	35.949169	31.138253
ENSG00000274559	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000274276	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000276076	other	-1.000000	-1.000000	70.235717	24.135514	25.902950
ENSG00000278927	other	-1.000000	-1.000000	13.606089	49.048724	37.429819
ENSG00000280145	lincRNA	-1.000000	-1.000000	85.556001	50.345224	56.855824
ENSG00000279788	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
