# This table shows the intersection of dark by depth regions by a gene annotation gff3, showing where dark by depth regions fall within gene body elements
# chrom : Chromosome of dark by depth region
# region_start : start position of dark by depth region within gene-body element
# region_end : end position of dark by depth region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by depth region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by depth reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	26990	27015	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	66245	66321	OR4F5_intron_2	intron	protein_coding	chr1	65573	69036
chr1	297923	297968	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	347968	348000	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	489013	489049	CICP7_exon_1	exon	processed_pseudogene	chr1	487101	489387
chr1	722239	722270	CICP3_exon_1	exon	processed_pseudogene	chr1	722092	724360
chr1	857691	857746	LINC01128_exon_9	exon	lncRNA	chr1	851926	859446
chr1	876137	876179	FAM41C_intron_4	intron	lncRNA	chr1	875155	876745
chr1	908549	908733	ENSG00000272438_intron_1	intron	lncRNA	chr1	904957	915749
chr1	909412	909482	ENSG00000272438_intron_1	intron	lncRNA	chr1	904957	915749
chr1	934044	934211	SAMD11_intron_6	intron	protein_coding	chr1	931089	935771
chr1	934358	934423	SAMD11_intron_6	intron	protein_coding	chr1	931089	935771
chr1	934523	934583	SAMD11_intron_6	intron	protein_coding	chr1	931089	935771
chr1	934677	934813	SAMD11_intron_6	intron	protein_coding	chr1	931089	935771
chr1	964678	964770	KLHL17_intron_11	intron	protein_coding	chr1	964530	964962
chr1	977346	977607	PERM1_intron_2	intron	protein_coding	chr1	976624	978880
chr1	977680	977870	PERM1_intron_2	intron	protein_coding	chr1	976624	978880
chr1	977949	978006	PERM1_intron_2	intron	protein_coding	chr1	976624	978880
chr1	1065022	1065115	ENSG00000217801_intron_6	intron	transcribed_unprocessed_pseudogene	chr1	1064589	1065351
chr1	1139874	1139907	LINC01342_intron_1	intron	lncRNA	chr1	1137110	1140824
chr1	1141141	1141551	LINC01342_intron_2	intron	lncRNA	chr1	1141032	1142738
chr1	1232278	1232445	B3GALT6_exon_1	CDS	protein_coding	chr1	1232278	1233268
chr1	1244906	1244964	C1QTNF12_intron_7	intron	protein_coding	chr1	1244497	1246513
chr1	1245033	1245266	C1QTNF12_intron_7	intron	protein_coding	chr1	1244497	1246513
chr1	1284090	1284253	SCNN1D_intron_4	intron	protein_coding	chr1	1284090	1285570
chr1	1284275	1284316	SCNN1D_intron_4	intron	protein_coding	chr1	1284090	1285570
chr1	1315732	1315766	INTS11_intron_13	intron	protein_coding	chr1	1315618	1318678
chr1	1323907	1323970	INTS11_intron_18	intron	protein_coding	chr1	1323287	1324580
chr1	1323994	1324041	INTS11_intron_18	intron	protein_coding	chr1	1323287	1324580
chr1	1349118	1349418	DVL1_UTR_3	five_prime_UTR	protein_coding	chr1	1349065	1349418
chr1	1420195	1420281	ANKRD65_exon_2	CDS	protein_coding	chr1	1420051	1420592
chr1	1420245	1420281	ANKRD65-AS1_exon_1	exon	lncRNA	chr1	1420245	1420564
chr1	1428057	1428090	TMEM88B_UTR_2	three_prime_UTR	protein_coding	chr1	1427787	1430255
chr1	1599927	1600015	FNDC10_exon_1	CDS	protein_coding	chr1	1599334	1600015
chr1	1600015	1600135	FNDC10_UTR_2	five_prime_UTR	protein_coding	chr1	1600015	1600135
chr1	1667010	1667134	SLC35E2B_intron_2	intron	protein_coding	chr1	1666019	1668326
