# This table shows the intersection of camo regions by a gene annotation gff3, showing where camo regions fall within gene body elements
# chrom : Chromosome of camo region
# region_start : start position of camo region within gene-body element
# region_end : end position of camo region within gene-body element
# gene_body_id : ID of gene body element that contains this camo region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this camo reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	329627	329949	CICP7_intron_1	intron	pseudogene	chr1	329620	329949
chr1	329949	332236	CICP7_exon_2	exon	pseudogene	chr1	329949	332236
chr1	13411551	13411837	RP11-219C24.6_exon_1	exon	pseudogene	chr1	13411551	13411837
chr1	13411837	13412233	RP11-219C24.6_intron_1	intron	pseudogene	chr1	13411837	13412233
chr1	13412233	13412812	RP11-219C24.6_exon_2	exon	pseudogene	chr1	13412233	13412812
chr1	13412812	13413923	RP11-219C24.6_intron_2	intron	pseudogene	chr1	13412812	13413923
chr1	13413923	13414482	RP11-219C24.6_exon_3	exon	pseudogene	chr1	13413923	13414482
chr1	13421176	13421253	PRAMEF9_UTR_1	five_prime_UTR	protein_coding	chr1	13421176	13421253
chr1	13421253	13423986	PRAMEF9_intron_1	intron	protein_coding	chr1	13421253	13423986
chr1	13424002	13424295	PRAMEF9_exon_1	CDS	protein_coding	chr1	13424002	13424295
chr1	13424295	13424966	PRAMEF9_intron_2	intron	protein_coding	chr1	13424295	13424966
chr1	13424966	13425548	PRAMEF9_exon_2	CDS	protein_coding	chr1	13424966	13425548
chr1	13425548	13427297	PRAMEF9_intron_3	intron	protein_coding	chr1	13425548	13427297
chr1	13427297	13427859	PRAMEF9_exon_3	CDS	protein_coding	chr1	13427297	13427859
chr1	13427859	13428191	PRAMEF9_UTR_3	three_prime_UTR	protein_coding	chr1	13427859	13428191
