# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
ENSG00000228463	pseudogene	-1.000000	-1.000000	0.000000	3.810073	3.502362
ENSG00000233336	lincRNA	-1.000000	-1.000000	79.373368	17.708333	67.014614
NBPF5P	pseudogene	-1.000000	-1.000000	0.000000	10.892691	10.392841
SLC25A24P2	pseudogene	-1.000000	-1.000000	0.000000	9.811066	9.678106
ENSG00000274642	pseudogene	-1.000000	-1.000000	0.000000	0.239850	0.238183
ENSG00000223804	pseudogene	-1.000000	-1.000000	0.000000	0.397652	0.391752
PDE4DIPP2	pseudogene	-1.000000	-1.000000	0.000000	1.392176	1.329997
ENSG00000275075	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000275767	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
LINC02802	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNA5SP529	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
KMT2CP2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PPIAL4E	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
PPIAL4F	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
LINC01632	lincRNA	-1.000000	-1.000000	37.420043	89.846932	86.607378
ENSG00000224363	lincRNA	-1.000000	-1.000000	0.000000	54.164040	53.677688
RNA5SP59	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000273825	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF20	protein coding	12.962635	0.000000	11.154002	10.406413	10.514874
