# This table shows the intersection of camo regions by a gene annotation gff3, showing where camo regions fall within gene body elements
# chrom : Chromosome of camo region
# region_start : start position of camo region within gene-body element
# region_end : end position of camo region within gene-body element
# gene_body_id : ID of gene body element that contains this camo region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this camo reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	11246	11635	AL627309.3_exon_1	exon	lncRNA	chr1	11136	11635
chr1	11638	12457	AL627309.3_exon_2	exon	lncRNA	chr1	11638	12457
chr1	11630	11831	AP006222.2_exon_1	exon	lncRNA	chr1	11630	11831
chr1	11831	12552	AP006222.2_intron_1	intron	lncRNA	chr1	11831	12899
chr1	19059	19308	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	16239	17216	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	54493	54521	AL731661.1_intron_2	intron	lncRNA	chr1	53826	54521
chr1	54521	54613	AL731661.1_exon_3	exon	lncRNA	chr1	54521	54613
chr1	112810	112876	OR4F21_exon_1	CDS	protein_coding	chr1	111903	112896
chr1	132243	133260	AC092192.1_exon_1	exon	lncRNA	chr1	132243	133260
chr1	143139	143331	CICP18_intron_1	intron	transcribed_processed_pseudogene	chr1	138478	146546
chr1	144231	144493	CICP18_intron_1	intron	transcribed_processed_pseudogene	chr1	138478	146546
chr1	146193	146546	CICP18_intron_1	intron	transcribed_processed_pseudogene	chr1	138478	146546
chr1	146546	146715	CICP18_exon_2	exon	transcribed_processed_pseudogene	chr1	146546	146715
chr1	146715	147070	CICP18_intron_2	intron	transcribed_processed_pseudogene	chr1	146715	148603
chr1	147370	148216	CICP18_intron_2	intron	transcribed_processed_pseudogene	chr1	146715	148603
chr1	161136	161377	AL669831.1_intron_2	intron	transcribed_unprocessed_pseudogene	chr1	159874	161932
chr1	167785	168226	AL669831.1_intron_3	intron	transcribed_unprocessed_pseudogene	chr1	162123	169689
chr1	168779	169504	AL669831.1_intron_3	intron	transcribed_unprocessed_pseudogene	chr1	162123	169689
chr1	171912	172489	AL669831.1_intron_6	intron	transcribed_unprocessed_pseudogene	chr1	171335	173226
chr1	173514	173805	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	174296	176708	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	178216	178449	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	180440	180857	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	186409	186614	AL669831.1_intron_9	intron	transcribed_unprocessed_pseudogene	chr1	185656	191259
chr1	194486	194780	AL669831.1_intron_11	intron	transcribed_unprocessed_pseudogene	chr1	192924	195084
chr1	1067366	1067417	MMP23B_exon_2	CDS	protein_coding	chr1	1067213	1067417
chr1	1067417	1067484	MMP23B_intron_2	intron	protein_coding	chr1	1067417	1067484
chr1	1067484	1068564	MMP23B_exon_3	CDS	protein_coding	chr1	1067484	1068832
chr1	1076729	1076832	CDK11B_intron_11	intron	protein_coding	chr1	1076487	1076832
chr1	1076832	1076994	CDK11B_exon_12	CDS	protein_coding	chr1	1076832	1076994
chr1	1076994	1077624	CDK11B_intron_12	intron	protein_coding	chr1	1076994	1079611
chr1	1078454	1078767	CDK11B_intron_12	intron	protein_coding	chr1	1076994	1079611
chr1	1134453	1134946	MMP23A_exon_1	exon	unprocessed_pseudogene	chr1	1134374	1134946
chr1	1134946	1135338	MMP23A_intron_1	intron	unprocessed_pseudogene	chr1	1134946	1135338
chr1	1135338	1135651	MMP23A_exon_2	exon	unprocessed_pseudogene	chr1	1135338	1135690
chr1	1143796	1143938	AL031282.2_intron_11	intron	lncRNA	chr1	1143554	1143938
chr1	1143938	1144061	AL031282.2_exon_12	exon	lncRNA	chr1	1143938	1144061
chr1	1144061	1144691	AL031282.2_intron_12	intron	lncRNA	chr1	1144061	1146683
chr1	1145526	1145839	AL031282.2_intron_12	intron	lncRNA	chr1	1144061	1146683
chr1	12440813	12440924	PRAMEF10_intron_3	intron	protein_coding	chr1	12439839	12442182
chr1	12462191	12462280	PRAMEF7_intron_1	intron	protein_coding	chr1	12461898	12462280
chr1	12462280	12462502	PRAMEF7_exon_2	CDS	protein_coding	chr1	12462280	12462856
chr1	12471723	12472176	PRAMEF29P_exon_2	exon	unprocessed_pseudogene	chr1	12471621	12472180
chr1	12614045	12614629	PRAMEF36P_exon_1	exon	transcribed_unprocessed_pseudogene	chr1	12614041	12614629
chr1	12614629	12615580	PRAMEF36P_intron_1	intron	transcribed_unprocessed_pseudogene	chr1	12614629	12615580
chr1	12615580	12616156	PRAMEF36P_exon_2	exon	transcribed_unprocessed_pseudogene	chr1	12615580	12616156
chr1	12616156	12616552	PRAMEF36P_intron_2	intron	transcribed_unprocessed_pseudogene	chr1	12616156	12616552
chr1	12616552	12616838	PRAMEF36P_exon_3	exon	transcribed_unprocessed_pseudogene	chr1	12616552	12616839
chr1	12647702	12647988	PRAMEF34P_exon_1	exon	unprocessed_pseudogene	chr1	12647702	12647988
chr1	12647988	12648384	PRAMEF34P_intron_1	intron	unprocessed_pseudogene	chr1	12647988	12648384
chr1	12648384	12648960	PRAMEF34P_exon_2	exon	unprocessed_pseudogene	chr1	12648384	12648960
chr1	12648960	12649911	PRAMEF34P_intron_2	intron	unprocessed_pseudogene	chr1	12648960	12649911
chr1	12649911	12650495	PRAMEF34P_exon_3	exon	unprocessed_pseudogene	chr1	12649911	12650495
chr1	12714773	12715226	PRAMEF32P_exon_1	exon	unprocessed_pseudogene	chr1	12714773	12715345
chr1	12724434	12724656	PRAMEF8_exon_2	CDS	protein_coding	chr1	12724080	12724656
chr1	12724656	12724745	PRAMEF8_intron_2	intron	protein_coding	chr1	12724656	12725038
chr1	12746081	12746192	PRAMEF33_intron_1	intron	protein_coding	chr1	12744823	12747166
chr1	15992507	15992909	AL355149.1_exon_2	exon	unprocessed_pseudogene	chr1	15992380	15992909
chr1	15992909	15994094	AL355149.1_intron_2	intron	unprocessed_pseudogene	chr1	15992909	15994094
chr1	15994094	15994190	AL355149.1_exon_3	exon	unprocessed_pseudogene	chr1	15994094	15994211
chr1	15996489	15996621	BX284668.1_exon_1	exon	lncRNA	chr1	15996489	15996621
chr1	15996621	15996818	BX284668.1_intron_1	intron	lncRNA	chr1	15996621	15996818
chr1	15996818	15996856	BX284668.1_exon_2	exon	lncRNA	chr1	15996818	15996856
chr1	15996856	15997248	BX284668.1_intron_2	intron	lncRNA	chr1	15996856	15997248
chr1	15997248	15997543	BX284668.1_exon_3	exon	lncRNA	chr1	15997248	15997543
chr1	15997543	15997894	BX284668.1_intron_3	intron	lncRNA	chr1	15997543	15997894
chr1	15997894	15998044	BX284668.1_exon_4	exon	lncRNA	chr1	15997894	15998044
chr1	15998044	15998140	BX284668.1_intron_4	intron	lncRNA	chr1	15998044	15998140
chr1	15998140	15998361	BX284668.1_exon_5	exon	lncRNA	chr1	15998140	15998361
chr1	16006467	16006526	NBPF1_exon_2	CDS	protein_coding	chr1	16006467	16006526
chr1	16006526	16006646	NBPF1_intron_2	intron	protein_coding	chr1	16006526	16007297
chr1	16007307	16007466	NBPF1_exon_3	CDS	protein_coding	chr1	16007297	16007466
chr1	16007466	16007822	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16008107	16008195	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16008263	16009542	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16009563	16009948	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16011185	16012147	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16012743	16012891	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16012973	16013839	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16014374	16016130	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16016464	16017378	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16017715	16018580	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16019005	16020441	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16021199	16021454	NBPF1_intron_4	intron	protein_coding	chr1	16020740	16021454
chr1	16021454	16021627	NBPF1_exon_5	CDS	protein_coding	chr1	16021454	16021627
chr1	16021627	16021703	NBPF1_intron_5	intron	protein_coding	chr1	16021627	16022248
chr1	16022014	16022248	NBPF1_intron_5	intron	protein_coding	chr1	16021627	16022248
chr1	16022248	16022300	NBPF1_exon_6	CDS	protein_coding	chr1	16022248	16022300
chr1	16022300	16023009	NBPF1_intron_6	intron	protein_coding	chr1	16022300	16023009
chr1	16023009	16023182	NBPF1_exon_7	CDS	protein_coding	chr1	16023009	16023182
chr1	16023182	16023784	NBPF1_intron_7	intron	protein_coding	chr1	16023182	16023784
chr1	16023784	16023836	NBPF1_exon_8	CDS	protein_coding	chr1	16023784	16023836
chr1	16023836	16024555	NBPF1_intron_8	intron	protein_coding	chr1	16023836	16024555
chr1	16024555	16024728	NBPF1_exon_9	CDS	protein_coding	chr1	16024555	16024728
chr1	16024728	16025334	NBPF1_intron_9	intron	protein_coding	chr1	16024728	16025334
chr1	16025334	16025446	NBPF1_exon_10	CDS	protein_coding	chr1	16025334	16025446
chr1	16025446	16025619	NBPF1_intron_10	intron	protein_coding	chr1	16025446	16026160
chr1	16026708	16026956	NBPF1_intron_11	intron	protein_coding	chr1	16026333	16026956
chr1	16026956	16027008	NBPF1_exon_12	CDS	protein_coding	chr1	16026956	16027008
chr1	16027008	16027717	NBPF1_intron_12	intron	protein_coding	chr1	16027008	16027717
chr1	16027717	16027766	NBPF1_exon_13	CDS	protein_coding	chr1	16027717	16027890
chr1	16028120	16028492	NBPF1_intron_13	intron	protein_coding	chr1	16027890	16028492
chr1	16028492	16028544	NBPF1_exon_14	CDS	protein_coding	chr1	16028492	16028544
chr1	16028544	16029263	NBPF1_intron_14	intron	protein_coding	chr1	16028544	16029263
