# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
ENSG00000228463	pseudogene	-1.000000	-1.000000	16.040375	10.832959	11.253523
ENSG00000235386	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR2G6	protein coding	0.000000	0.000000	0.000000	0.290787	0.197259
DUX4L29	pseudogene	-1.000000	-1.000000	0.147493	-1.000000	0.147493
ENSG00000283371	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
GRK1	protein coding	0.000000	0.000000	0.000000	0.698499	0.656579
IGHJ1	other	-1.000000	-1.000000	29.411765	-1.000000	29.411765
IGHD7-27	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ1P	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000289536	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM30A	lincRNA	-1.000000	-1.000000	1.697381	2.089432	2.012684
IGHD1-26	other	-1.000000	-1.000000	10.526316	-1.000000	10.526316
IGHV3-64D	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHV5-10-1	other	-1.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000260409	lincRNA	-1.000000	-1.000000	84.134916	0.136904	5.223937
ENSG00000278552	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
NOMO2	protein coding	13.693947	0.000000	11.565897	7.952632	8.099471
ENSG00000284209	protein coding	32.284382	86.725293	72.335182	15.987104	22.164061
ENSG00000286968	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
LINC02887	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000280136	lincRNA	-1.000000	-1.000000	43.221574	34.129179	34.545880
IGKV2-40	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000260861	protein coding	0.000000	0.000000	0.000000	4.770752	4.694171
ENSG00000271523	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000279493	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000277117	other	-1.000000	-1.000000	31.211372	82.033806	70.484551
ENSG00000275464	other	-1.000000	-1.000000	10.574208	33.383495	30.327490
ENSG00000280433	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
LINC01670	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000274333	lincRNA	-1.000000	-1.000000	2.295831	35.949169	31.138253
ENSG00000274559	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000274276	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000276076	other	-1.000000	-1.000000	70.235717	24.135514	25.902950
ENSG00000278927	other	-1.000000	-1.000000	13.606089	49.048724	37.429819
ENSG00000280145	lincRNA	-1.000000	-1.000000	83.046322	5.814306	20.094784
ENSG00000279728	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000280164	lincRNA	-1.000000	-1.000000	56.159069	100.000000	86.694142
ENSG00000279998	lincRNA	-1.000000	-1.000000	28.367474	100.000000	94.917419
ENSG00000279647	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000276077	lincRNA	-1.000000	-1.000000	92.971057	60.045192	62.952436
Y_RNA	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000273590	other	-1.000000	-1.000000	20.253165	68.852459	65.765041
ACTR3BP7	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000288262	pseudogene	-1.000000	-1.000000	33.321074	0.000000	18.493570
ENSG00000288075	lincRNA	-1.000000	-1.000000	16.148207	6.299903	6.586590
DUX4	protein coding	0.000000	0.000000	0.000000	0.000000	20.964826
PRKAR1B	protein coding	0.000000	0.000000	0.000000	0.325226	0.318851
ENSG00000287988	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
DANT2	lincRNA	-1.000000	-1.000000	0.000000	2.290749	2.237228
CT47A12	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000270678	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CT47A11	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000270493	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CT47A10	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000271154	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
