# This table shows the intersection of dark by depth regions by a gene annotation gff3, showing where dark by depth regions fall within gene body elements
# chrom : Chromosome of dark by depth region
# region_start : start position of dark by depth region within gene-body element
# region_end : end position of dark by depth region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by depth region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by depth reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr13	5962183	5975563	RNA45S1_exon_1	exon	rRNA	chr13	5962183	5975563
chr13	6009153	6022533	RNA45S1_exon_1	exon	rRNA	chr13	6009153	6022533
chr13	6056123	6069503	RNA45S1_exon_1	exon	rRNA	chr13	6056123	6069503
chr13	6103093	6116473	RNA45S1_exon_1	exon	rRNA	chr13	6103093	6116473
chr13	6150063	6163443	RNA45S1_exon_1	exon	rRNA	chr13	6150063	6163443
chr13	6197033	6210413	RNA45S1_exon_1	exon	rRNA	chr13	6197033	6210413
chr13	6244003	6257383	RNA45S1_exon_1	exon	rRNA	chr13	6244003	6257383
chr13	6290973	6304353	RNA45S1_exon_1	exon	rRNA	chr13	6290973	6304353
chr13	6337943	6351323	RNA45S1_exon_1	exon	rRNA	chr13	6337943	6351323
chr13	6384913	6398293	RNA45S1_exon_1	exon	rRNA	chr13	6384913	6398293
chr13	6431883	6445263	RNA45S1_exon_1	exon	rRNA	chr13	6431883	6445263
chr13	6478853	6492233	RNA45S1_exon_1	exon	rRNA	chr13	6478853	6492233
chr13	6525823	6539203	RNA45S1_exon_1	exon	rRNA	chr13	6525823	6539203
chr13	6572793	6586173	RNA45S1_exon_1	exon	rRNA	chr13	6572793	6586173
chr13	6619763	6633143	RNA45S1_exon_1	exon	rRNA	chr13	6619763	6633143
chr13	6666733	6680113	RNA45S1_exon_1	exon	rRNA	chr13	6666733	6680113
chr13	6713703	6727083	RNA45S1_exon_1	exon	rRNA	chr13	6713703	6727083
chr13	6760673	6774053	RNA45S1_exon_1	exon	rRNA	chr13	6760673	6774053
chr13	6807643	6821023	RNA45S1_exon_1	exon	rRNA	chr13	6807643	6821023
chr13	6854613	6867993	RNA45S1_exon_1	exon	rRNA	chr13	6854613	6867993
chr13	6901583	6914963	RNA45S1_exon_1	exon	rRNA	chr13	6901583	6914963
chr13	6948553	6961933	RNA45S1_exon_1	exon	rRNA	chr13	6948553	6961933
chr13	6995523	7008903	RNA45S1_exon_1	exon	rRNA	chr13	6995523	7008903
chr13	7042493	7055873	RNA45S1_exon_1	exon	rRNA	chr13	7042493	7055873
chr13	7089463	7102843	RNA45S1_exon_1	exon	rRNA	chr13	7089463	7102843
chr13	7136433	7149813	RNA45S1_exon_1	exon	rRNA	chr13	7136433	7149813
chr13	7183403	7196783	RNA45S1_exon_1	exon	rRNA	chr13	7183403	7196783
chr13	7230373	7243753	RNA45S1_exon_1	exon	rRNA	chr13	7230373	7243753
chr13	7277343	7290723	RNA45S1_exon_1	exon	rRNA	chr13	7277343	7290723
chr13	7324313	7337693	RNA45S1_exon_1	exon	rRNA	chr13	7324313	7337693
chr13	7371283	7384663	RNA45S1_exon_1	exon	rRNA	chr13	7371283	7384663
chr13	7418253	7431633	RNA45S1_exon_1	exon	rRNA	chr13	7418253	7431633
