# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
CEP170	protein coding	3.851471	20.542636	10.502554	32.479205	31.066300
SDCCAG8	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
FCF1P7	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
AKT3	protein coding	84.601227	92.051432	91.158962	53.157580	54.582660
ENSG00000236031	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
CYB5AP3	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MOAP1	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000259066	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
GON7	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000240096	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
BTBD7	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000241499	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
UNC79	protein coding	100.000000	100.000000	100.000000	99.978879	99.979448
Y_RNA	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNU6-1258P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PRIMA1	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000279593	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM181A-AS1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
FAM181A	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ASB2	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000258987	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
CCDC197	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
OTUB2	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
DDX24	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
IFI27L1	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
IFI27	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
IFI27L2	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
PPP4R4	protein coding	0.000000	8.050089	3.627570	3.649607	3.648788
IGHG3	other	-1.000000	100.000000	100.000000	100.000000	100.000000
ATP6V1G1P1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHM	other	-1.000000	100.000000	100.000000	100.000000	100.000000
MIR4539	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR4538	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR4537	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ6	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ3P	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ5	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ4	other	-1.000000	-1.000000	88.888889	-1.000000	88.888889
FAM30A	lincRNA	-1.000000	-1.000000	96.120272	13.934271	30.023165
IGHD2-2	other	-1.000000	-1.000000	86.666667	-1.000000	86.666667
IGHD1-1	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV6-1	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHVII-1-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ADAM6	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000225200	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV1-2	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHVIII-2-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV1-3	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHV4-4	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHV7-4-1	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHV2-5	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHVIII-5-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHVIII-5-2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV3-6	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHV3-7	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHV3-11	other	-1.000000	100.000000	100.000000	100.000000	100.000000
