# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
TMEM88B	protein coding	47.657841	-1.000000	47.657841	87.608069	82.180410
SLC35E2B	protein coding	0.000000	-1.000000	0.000000	0.455627	0.336530
PLCH2	protein coding	0.000000	-1.000000	0.000000	0.059789	0.051825
MEGF6	protein coding	0.000000	-1.000000	0.000000	0.049301	0.045790
TP73	protein coding	0.000000	-1.000000	0.000000	0.052133	0.048002
LINC01777	lincRNA	-1.000000	-1.000000	0.000000	0.298775	0.237548
KCNAB2	protein coding	0.000000	-1.000000	0.000000	0.094839	0.079908
SLC2A5	protein coding	0.000000	-1.000000	0.000000	0.190941	0.167389
PRAMEF25	protein coding	0.000000	-1.000000	0.000000	8.519154	5.381004
FBXO42	protein coding	0.000000	-1.000000	0.000000	0.026855	0.024569
EIF4G3	protein coding	0.000000	-1.000000	0.000000	0.017169	0.016723
NT5C1A	protein coding	0.000000	-1.000000	0.000000	2.905702	2.674067
FAF1	protein coding	0.000000	-1.000000	0.000000	0.060276	0.059407
RAB3B	protein coding	0.000000	-1.000000	0.000000	0.467795	0.395861
PDE4B	protein coding	0.000000	-1.000000	0.000000	0.028442	0.028006
AL033530.1	lincRNA	-1.000000	-1.000000	0.000000	0.023704	0.023452
LRRC7	protein coding	0.000000	-1.000000	0.000000	0.059729	0.056667
MSH4	protein coding	0.000000	-1.000000	0.000000	0.139853	0.135968
LINC01725	lincRNA	-1.000000	-1.000000	0.000000	0.017960	0.017176
TGFBR3	protein coding	0.000000	-1.000000	0.000000	0.144663	0.138779
AMY1A	protein coding	100.000000	-1.000000	100.000000	100.000000	100.000000
AC105272.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AMY1B	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
AMY1A	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
AC105272.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AMY1B	protein coding	100.000000	-1.000000	100.000000	100.000000	100.000000
AMYP1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
AMY1A	protein coding	100.000000	100.000000	100.000000	99.911765	99.935219
AC105272.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AMY1A	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
AMYP1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
AC244669.1	pseudogene	-1.000000	-1.000000	0.000000	0.340442	0.335390
AC138907.9	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AC138907.8	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AC138907.9	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AC233263.6	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGKV1OR1-1	pseudogene	-1.000000	-1.000000	31.791908	0.000000	23.404255
SEC22B3P	pseudogene	-1.000000	-1.000000	47.652174	67.990162	67.012292
AC245389.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PDE4DIP	protein coding	1.726065	-1.000000	1.726065	0.382335	0.563168
PRPF3	protein coding	0.570482	-1.000000	0.570482	0.000000	0.097353
AL592295.3	lincRNA	-1.000000	-1.000000	0.000000	19.764721	19.676530
RGS5	protein coding	0.000000	-1.000000	0.000000	0.012719	0.012320
NUF2	protein coding	0.000000	-1.000000	0.000000	0.030175	0.029042
PBX1	protein coding	0.000000	-1.000000	0.000000	0.012406	0.011635
AL136372.2	lincRNA	-1.000000	-1.000000	0.000000	0.019268	0.019062
LGR6	protein coding	0.000000	-1.000000	0.000000	1.015616	0.979934
KCNH1	protein coding	0.000000	-1.000000	0.000000	0.316567	0.309850
LINC01641	lincRNA	-1.000000	-1.000000	0.000000	0.070807	0.065774
RNA5S1	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5SP199	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S2	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S1	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5SP199	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S16	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S17	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S2	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5SP199	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5SP199	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S1	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S2	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
