# This table shows the intersection of camo regions by a gene annotation gff3, showing where camo regions fall within gene body elements
# chrom : Chromosome of camo region
# region_start : start position of camo region within gene-body element
# region_end : end position of camo region within gene-body element
# gene_body_id : ID of gene body element that contains this camo region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this camo reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	243256240	243270104	SDCCAG8_intron_1	intron	protein_coding	chr1	243256240	243270104
chr1	243426558	243489013	SDCCAG8_intron_18	intron	protein_coding	chr1	243426558	243489013
chr1	243489013	243489140	SDCCAG8_exon_19	CDS	protein_coding	chr1	243489013	243489140
chr1	243489140	243499755	SDCCAG8_intron_19	intron	protein_coding	chr1	243489140	243499755
chr1	243499755	243499785	SDCCAG8_exon_20	CDS	protein_coding	chr1	243499755	243499785
chr1	243499785	243500091	SDCCAG8_UTR_3	three_prime_UTR	protein_coding	chr1	243499785	243500091
chr1	243267257	243267314	FCF1P7_exon_1	exon	processed_pseudogene	chr1	243267257	243267314
chr1	243267314	243267619	FCF1P7_intron_1	intron	processed_pseudogene	chr1	243267314	243267619
chr1	243267619	243268119	FCF1P7_exon_2	exon	processed_pseudogene	chr1	243267619	243268119
chr1	243488233	243488450	AKT3_UTR_1	three_prime_UTR	protein_coding	chr1	243488233	243488450
chr1	243488450	243499718	AKT3_intron_1	intron	protein_coding	chr1	243488450	243499718
chr1	243499718	243499742	AKT3_UTR_2	three_prime_UTR	protein_coding	chr1	243499718	243499742
chr1	243499742	243499786	AKT3_exon_1	CDS	protein_coding	chr1	243499742	243499786
chr1	243499786	243505248	AKT3_UTR_3	three_prime_UTR	protein_coding	chr1	243499786	243505248
chr1	243545509	243545597	AKT3_exon_4	CDS	protein_coding	chr1	243545509	243545597
chr1	243545597	243552728	AKT3_intron_4	intron	protein_coding	chr1	243545597	243552728
chr1	243545532	243545621	ENSG00000236031_exon_1	exon	lncRNA	chr1	243545532	243545621
chr1	243545621	243546618	ENSG00000236031_intron_1	intron	lncRNA	chr1	243545621	243546618
chr1	243546618	243546967	ENSG00000236031_exon_2	exon	lncRNA	chr1	243546618	243546967
chr1	243546967	243548017	ENSG00000236031_intron_2	intron	lncRNA	chr1	243546967	243548017
chr1	243548017	243548329	ENSG00000236031_exon_3	exon	lncRNA	chr1	243548017	243548329
chr14	93186482	93209823	ENSG00000259066_intron_2	intron	protein_coding	chr14	93186482	93209823
chr14	93202894	93203665	GON7_UTR_1	three_prime_UTR	protein_coding	chr14	93202894	93203665
chr14	93203665	93203782	GON7_exon_1	CDS	protein_coding	chr14	93203665	93203782
chr14	93203782	93206829	GON7_intron_1	intron	protein_coding	chr14	93203782	93206829
chr14	93206829	93207037	GON7_exon_2	CDS	protein_coding	chr14	93206829	93207037
chr14	93207037	93207065	GON7_UTR_2	five_prime_UTR	protein_coding	chr14	93207037	93207065
chr14	93243088	93245824	BTBD7_intron_1	intron	protein_coding	chr14	93243088	93245824
chr14	93244010	93244323	ENSG00000241499_exon_1	exon	processed_pseudogene	chr14	93244010	93244323
chr14	93333523	93430336	UNC79_intron_1	intron	protein_coding	chr14	93333523	93430336
chr14	93431051	93459969	UNC79_intron_2	intron	protein_coding	chr14	93431051	93467670
chr14	93397139	93397234	Y_RNA_exon_1	exon	misc_RNA	chr14	93397139	93397234
chr14	93437400	93437510	RNU6-1258P_exon_1	exon	snRNA	chr14	93437400	93437510
chr14	93918320	93922060	FAM181A-AS1_intron_7	intron	lncRNA	chr14	93918320	93922060
chr14	93922060	93922165	FAM181A-AS1_exon_8	exon	lncRNA	chr14	93922060	93922165
chr14	93922165	93922275	FAM181A-AS1_intron_8	intron	lncRNA	chr14	93922165	93922275
chr14	93922275	93922381	FAM181A-AS1_exon_9	exon	lncRNA	chr14	93922275	93922381
chr14	93922381	93922475	FAM181A-AS1_intron_9	intron	lncRNA	chr14	93922381	93922475
chr14	93922475	93924000	FAM181A-AS1_exon_10	exon	lncRNA	chr14	93922475	93924000
chr14	93924000	93925111	FAM181A-AS1_intron_10	intron	lncRNA	chr14	93924000	93925111
chr14	93925111	93925338	FAM181A-AS1_exon_11	exon	lncRNA	chr14	93925111	93925338
chr14	93925338	93926275	FAM181A-AS1_intron_11	intron	lncRNA	chr14	93925338	93926275
chr14	93926275	93926372	FAM181A-AS1_exon_12	exon	lncRNA	chr14	93926275	93926372
chr14	93926372	93926914	FAM181A-AS1_intron_12	intron	lncRNA	chr14	93926372	93926914
chr14	93926914	93927066	FAM181A-AS1_exon_13	exon	lncRNA	chr14	93926914	93927066
chr14	93918894	93918994	FAM181A_UTR_1	five_prime_UTR	protein_coding	chr14	93918894	93918994
chr14	93918994	93925047	FAM181A_intron_1	intron	protein_coding	chr14	93918994	93925047
chr14	93925047	93925271	FAM181A_UTR_2	five_prime_UTR	protein_coding	chr14	93925047	93925271
chr14	93925271	93925370	FAM181A_exon_1	CDS	protein_coding	chr14	93925271	93925370
chr14	93925370	93927341	FAM181A_intron_2	intron	protein_coding	chr14	93925370	93927341
chr14	93939107	93939672	ASB2_exon_3	CDS	protein_coding	chr14	93939107	93939672
chr14	93939672	93947348	ASB2_intron_3	intron	protein_coding	chr14	93939672	93947348
chr14	93939497	93939602	ENSG00000258987_exon_1	exon	lncRNA	chr14	93939497	93939602
chr14	93939602	93941201	ENSG00000258987_intron_1	intron	lncRNA	chr14	93939602	93941201
chr14	93941201	93941275	ENSG00000258987_exon_2	exon	lncRNA	chr14	93941201	93941275
chr14	93941275	93941562	ENSG00000258987_intron_2	intron	lncRNA	chr14	93941275	93941562
