# This table shows the intersection of dark by depth regions by a gene annotation gff3, showing where dark by depth regions fall within gene body elements
# chrom : Chromosome of dark by depth region
# region_start : start position of dark by depth region within gene-body element
# region_end : end position of dark by depth region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by depth region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by depth reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	26982	27057	WASH7P_intron_11	intron	pseudogene	chr1	24891	29320
chr1	153640	153711	RP11-34P13.13_intron_2	intron	processed_transcript	chr1	149707	155766
chr1	161464	161509	RP11-34P13.13_intron_3	intron	processed_transcript	chr1	155831	164262
chr1	166033	166082	RP11-34P13.13_intron_5	intron	processed_transcript	chr1	165942	168099
chr1	168362	168393	RP11-34P13.13_intron_6	intron	processed_transcript	chr1	168165	168609
chr1	168924	168985	RP11-34P13.13_intron_7	intron	processed_transcript	chr1	168767	169048
chr1	170501	170730	RP11-34P13.13_intron_8	intron	processed_transcript	chr1	169264	172556
chr1	171499	171557	RP11-34P13.13_intron_8	intron	processed_transcript	chr1	169264	172556
chr1	171780	171890	RP11-34P13.13_intron_8	intron	processed_transcript	chr1	169264	172556
chr1	161464	161509	RP11-34P13.9_exon_2	exon	lincRNA	chr1	161313	161525
chr1	330237	330428	CICP7_exon_2	exon	pseudogene	chr1	329949	332236
chr1	330615	330735	CICP7_exon_2	exon	pseudogene	chr1	329949	332236
chr1	521369	521396	RP5-857K21.1_exon_1	exon	lincRNA	chr1	521369	521738
chr1	663478	663527	RP11-206L10.1_exon_2	exon	pseudogene	chr1	663053	663527
chr1	682444	682544	RP11-206L10.3_exon_2	exon	lincRNA	chr1	682074	685396
chr1	811243	811596	FAM41C_intron_4	intron	lincRNA	chr1	810535	812125
chr1	811651	811696	FAM41C_intron_4	intron	lincRNA	chr1	810535	812125
chr1	840434	840500	RP11-54O7.16_intron_1	intron	lincRNA	chr1	840337	851129
chr1	843877	844177	RP11-54O7.16_intron_1	intron	lincRNA	chr1	840337	851129
chr1	844805	844864	RP11-54O7.16_intron_1	intron	lincRNA	chr1	840337	851129
chr1	869442	870256	SAMD11_intron_6	intron	protein_coding	chr1	866469	871151
chr1	900031	900160	KLHL17_intron_11	intron	protein_coding	chr1	899910	900342
chr1	912166	912258	C1orf170_intron_2	intron	protein_coding	chr1	912004	914260
chr1	912424	912603	C1orf170_intron_2	intron	protein_coding	chr1	912004	914260
chr1	912643	912668	C1orf170_intron_2	intron	protein_coding	chr1	912004	914260
chr1	912706	913500	C1orf170_intron_2	intron	protein_coding	chr1	912004	914260
chr1	969010	969138	AGRN_intron_2	intron	protein_coding	chr1	957842	970656
chr1	976319	976350	AGRN_intron_4	intron	protein_coding	chr1	976260	976552
chr1	976371	976422	AGRN_intron_4	intron	protein_coding	chr1	976260	976552
chr1	984464	984555	AGRN_intron_24	intron	protein_coding	chr1	984439	984615
chr1	1000274	1000664	RP11-465B22.3_intron_7	intron	pseudogene	chr1	999969	1000731
chr1	1023521	1023763	C1orf159_intron_7	intron	protein_coding	chr1	1022977	1025732
chr1	1050897	1050964	C1orf159_intron_15	intron	protein_coding	chr1	1050455	1051439
