# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	35.063437	69.851117	46.102362
WASH7P	pseudogene	-1.000000	-1.000000	29.777778	63.867979	60.833443
MIR1302-2HG	lincRNA	-1.000000	-1.000000	69.607843	52.710280	63.794212
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR4G4P	pseudogene	-1.000000	-1.000000	14.421931	-1.000000	14.421931
OR4G11P	pseudogene	-1.000000	-1.000000	0.000000	1.998041	1.564897
OR4F5	protein coding	4.077472	41.075795	27.206725	37.503522	33.133312
ENSG00000238009	lincRNA	-1.000000	-1.000000	6.711409	22.703486	21.362654
CICP27	pseudogene	-1.000000	-1.000000	23.432170	-1.000000	23.432170
ENSG00000239906	lincRNA	-1.000000	-1.000000	64.596273	0.000000	37.887067
ENSG00000241860	lincRNA	-1.000000	-1.000000	95.369145	85.594039	87.875139
ENSG00000241599	lincRNA	-1.000000	-1.000000	78.070175	100.000000	90.732159
WASH9P	pseudogene	-1.000000	-1.000000	20.845272	26.699250	25.897587
ENSG00000228463	pseudogene	-1.000000	-1.000000	41.383923	17.290638	19.236473
ENSG00000286448	lincRNA	-1.000000	-1.000000	23.401361	0.000000	9.555556
ENSG00000236601	lincRNA	-1.000000	-1.000000	100.000000	88.313391	90.090341
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	98.424879	100.000000	98.609626
ENSG00000235146	lincRNA	-1.000000	-1.000000	20.662461	6.425826	7.690153
MTCO1P12	pseudogene	-1.000000	-1.000000	9.143969	-1.000000	9.143969
OR4F16	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	30.603097	100.000000	39.416578
LINC01128	lincRNA	-1.000000	-1.000000	0.339510	0.000000	0.171972
PERM1	protein coding	0.000000	0.000000	0.000000	2.636256	1.286313
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	6.752768	5.199602
MMP23B	protein coding	50.726552	0.000000	48.060075	34.378499	34.677419
CDK11B	protein coding	4.069975	18.023256	6.821439	3.241699	3.766763
SLC35E2B	protein coding	0.000000	0.500950	0.413341	0.000000	0.087176
MMP23A	pseudogene	-1.000000	-1.000000	44.094488	49.514563	46.521739
CDK11A	protein coding	8.767577	1.985112	6.506755	7.225764	7.107107
CFAP74	protein coding	0.000000	0.000000	0.000000	0.110087	0.102582
SKI	protein coding	0.000000	0.000000	0.000000	0.519707	0.481110
TTC34	protein coding	0.000000	0.000000	0.000000	16.258412	15.490538
ENSG00000285945	lincRNA	-1.000000	-1.000000	0.000000	0.000000	14.337219
PRDM16	protein coding	0.000000	0.000000	0.000000	0.057424	0.056029
ARHGEF16	protein coding	0.000000	0.000000	0.000000	1.531844	1.319570
MEGF6	protein coding	0.000000	0.000000	0.000000	0.120955	0.113308
WRAP73	protein coding	0.000000	0.000000	0.000000	3.079938	2.787124
TP73	protein coding	0.000000	0.000000	0.000000	0.334071	0.311884
C1orf174	protein coding	0.000000	0.000000	0.000000	4.344444	3.501074
NPHP4	protein coding	0.000000	0.000000	0.000000	0.077892	0.074810
CAMTA1	protein coding	0.000000	0.000000	0.000000	0.066184	0.065430
SLC45A1	protein coding	0.000000	0.000000	0.000000	0.365087	0.330096
PEX14	protein coding	0.000000	0.000000	0.000000	0.031225	0.030290
CASZ1	protein coding	0.000000	0.000000	0.000000	0.156663	0.148082
PRAMEF10	protein coding	0.000000	0.000000	0.000000	7.662338	5.489393
PRAMEF7	protein coding	45.824561	43.685300	45.283019	41.961487	43.491910
PRAMEF29P	pseudogene	-1.000000	-1.000000	49.121265	45.540399	47.489240
PRAMEF6	protein coding	33.333333	24.147727	31.519910	53.747440	49.396135
PRAMEF27	protein coding	0.139179	0.000000	0.102775	23.403842	17.016481
HNRNPCL3	protein coding	18.140590	87.475345	55.221519	29.577465	52.631579
PRAMEF25	protein coding	94.572025	62.254025	85.521042	52.031618	59.291843
PRAMEF34P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF36P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000233336	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF26	protein coding	65.942857	50.879765	61.718750	54.506564	56.410813
HNRNPCL4	protein coding	85.147392	100.000000	92.370414	-1.000000	92.370414
PRAMEF9	protein coding	10.229645	0.000000	5.965909	26.462017	19.826567
PRAMEF13	protein coding	6.362468	14.237288	9.217534	2.805755	5.803486
PRAMEF18	protein coding	4.166667	0.000000	2.824859	2.247191	2.601908
PRAMEF31P	pseudogene	-1.000000	-1.000000	37.080292	21.494010	29.150233
PRAMEF5	protein coding	37.037037	5.200946	29.773463	56.169579	50.871495
PRAMEF32P	pseudogene	-1.000000	-1.000000	60.168697	55.142018	57.710728
PRAMEF8	protein coding	30.456140	22.162162	29.503106	41.340531	36.368380
PRAMEF33	protein coding	0.000000	0.000000	0.000000	8.543236	6.128912
CROCCP3	pseudogene	-1.000000	-1.000000	0.000000	0.919646	0.754219
NBPF1	protein coding	12.339181	70.370370	36.907773	9.348542	12.524638
CROCCP2	pseudogene	-1.000000	-1.000000	3.958546	2.595715	2.801509
ENSG00000282143	lincRNA	-1.000000	-1.000000	100.000000	65.377963	68.031940
RNU1-3	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ESPNP	pseudogene	-1.000000	-1.000000	0.000000	10.305918	8.766531
ENSG00000279151	lincRNA	-1.000000	-1.000000	12.098765	10.540763	10.696640
ENSG00000282740	lincRNA	-1.000000	-1.000000	98.533007	52.283128	55.835133
CROCC	protein coding	0.000000	0.000000	0.000000	0.096915	4.011328
MST1L	pseudogene	-1.000000	-1.000000	0.000000	9.543410	6.504861
ENSG00000223643	lincRNA	-1.000000	-1.000000	64.952153	56.853282	60.470085
MFAP2	protein coding	0.000000	21.544715	10.153257	0.000000	1.729201
EIF4G3	protein coding	0.000000	0.000000	0.000000	0.052847	0.051483
NBPF3	protein coding	0.000000	0.000000	0.000000	0.381549	0.347617
ENSG00000289694	protein coding	0.000000	0.000000	0.000000	0.086065	0.081120
CLIC4	protein coding	0.000000	0.000000	0.000000	1.555664	1.487785
RSRP1	protein coding	0.000000	0.000000	0.000000	5.517464	5.349923
RHD	protein coding	0.000000	0.000000	0.000000	7.486397	7.086750
RHCE	protein coding	0.000000	0.000000	0.000000	5.788962	5.613529
GMEB1	protein coding	0.000000	0.000000	0.000000	0.047531	0.041522
AK2	protein coding	0.000000	0.000000	0.000000	0.000000	0.084920
CSMD2	protein coding	0.000000	0.000000	0.000000	0.125241	0.122575
MACF1	protein coding	0.249236	0.000000	0.204699	0.000000	0.017494
BMP8A	protein coding	4.135649	0.000000	0.887311	1.398859	1.323464
BMP8B	protein coding	12.324235	0.000000	3.088083	4.225929	4.052647
SMAP2	protein coding	0.000000	0.000000	0.000000	2.576674	2.464448
CCDC30	protein coding	0.000000	0.000000	0.000000	0.083783	0.076816
CYP4Z2P	pseudogene	-1.000000	-1.000000	2.817783	4.160014	4.122633
TUBAP8	pseudogene	-1.000000	-1.000000	9.319899	-1.000000	9.319899
CYP4Z1	protein coding	2.964427	0.000000	2.082369	3.460328	3.402040
SKINT1L	pseudogene	-1.000000	-1.000000	0.000000	1.470466	1.436249
SPATA6	protein coding	0.000000	0.000000	0.000000	0.082678	0.080301
AGBL4	protein coding	0.000000	0.000000	0.000000	0.029381	0.029240
FAF1	protein coding	0.000000	0.000000	0.000000	0.009488	0.009365
LRP8	protein coding	0.000000	0.000000	0.000000	0.518771	0.461065
GLIS1	protein coding	0.000000	0.000000	0.000000	0.030032	0.029623
ENSG00000234810	lincRNA	-1.000000	-1.000000	0.000000	0.007779	0.007690
DAB1	protein coding	0.000000	0.000000	0.000000	0.000000	0.087567
ENSG00000283445	lincRNA	-1.000000	-1.000000	0.000000	0.143283	0.131092
FGGY	protein coding	0.000000	0.000000	0.000000	0.026536	0.023930
LINC01748	lincRNA	-1.000000	-1.000000	0.000000	0.075026	0.065710
PATJ	protein coding	0.000000	0.000000	0.000000	0.032138	0.031408
DOCK7	protein coding	0.000000	0.000000	0.000000	0.108280	0.103380
LINC00466	lincRNA	-1.000000	-1.000000	0.000000	0.653733	0.623929
LEPR	protein coding	0.000000	0.000000	0.000000	1.398012	1.328613
SGIP1	protein coding	0.000000	0.000000	0.000000	0.043696	0.040850
C1orf141	protein coding	0.000000	0.000000	0.000000	0.142423	0.137449
IL23R	protein coding	0.000000	0.000000	0.000000	0.164374	0.158583
ENSG00000285407	lincRNA	-1.000000	-1.000000	0.000000	0.806683	0.798108
LINC01707	lincRNA	-1.000000	-1.000000	0.000000	0.056676	0.054670
ENSG00000287453	lincRNA	-1.000000	-1.000000	0.000000	0.538917	0.514031
LRRC7	protein coding	0.000000	0.000000	0.000000	0.012617	0.011815
ZRANB2-DT	lincRNA	-1.000000	-1.000000	0.000000	0.027427	0.026428
NEGR1	protein coding	0.000000	0.000000	0.000000	0.752119	0.741262
FPGT-TNNI3K	protein coding	0.000000	0.000000	0.000000	0.098390	0.095621
LRRC53	protein coding	0.000000	0.000000	0.000000	0.126035	0.113334
TYW3	protein coding	0.000000	0.000000	0.000000	0.380843	0.337052
SLC44A5	protein coding	0.000000	0.000000	0.000000	0.297137	0.292676
MSH4	protein coding	0.000000	0.000000	0.000000	0.176849	0.171880
ST6GALNAC3	protein coding	0.000000	0.000000	0.000000	0.009584	0.009467
AK5	protein coding	0.000000	0.000000	0.000000	0.051568	0.050729
ENSG00000233290	lincRNA	-1.000000	-1.000000	0.000000	0.336169	0.332341
ENSG00000285201	lincRNA	-1.000000	-1.000000	0.000000	19.307804	18.987246
PRKACB	protein coding	0.000000	0.000000	0.000000	0.056450	0.054227
COL24A1	protein coding	0.000000	0.000000	0.000000	1.387971	1.365645
CLCA4-AS1	lincRNA	-1.000000	-1.000000	20.778761	2.164823	3.329396
GBP1P1	pseudogene	-1.000000	-1.000000	0.000000	1.147228	1.001939
HFM1	protein coding	0.000000	0.000000	0.000000	0.349733	0.337289
BCAR3	protein coding	0.000000	0.000000	0.000000	0.829076	0.817073
DPYD	protein coding	0.000000	0.000000	0.000000	0.088337	0.080675
DPYD-AS1	lincRNA	-1.000000	-1.000000	0.000000	0.328081	0.325945
AMY2A	protein coding	26.888021	72.340426	28.237524	26.706056	26.996289
AMY1A	protein coding	87.109375	100.000000	89.156627	77.310563	79.770298
AMY1B	protein coding	97.200521	100.000000	97.846770	95.768248	96.227459
AMYP1	pseudogene	-1.000000	-1.000000	43.542074	29.711276	32.010410
AMY1C	protein coding	80.403646	74.301676	78.822962	77.308032	77.542341
ENSG00000215869	pseudogene	-1.000000	-1.000000	0.000000	0.055795	0.054654
NBPF4	protein coding	58.832335	0.000000	34.055459	58.777196	54.817967
ENSG00000238122	lincRNA	-1.000000	-1.000000	100.000000	45.271148	56.135436
SLC25A24P1	pseudogene	-1.000000	-1.000000	26.049973	46.745149	46.145432
NBPF5P	pseudogene	-1.000000	-1.000000	59.376947	90.159120	88.746569
SLC25A24P2	pseudogene	-1.000000	-1.000000	68.958743	89.352227	89.075854
ENSG00000224698	lincRNA	-1.000000	-1.000000	100.000000	72.031952	77.583033
NBPF6	protein coding	48.153693	0.000000	27.547816	54.689826	50.295776
FAM102B	protein coding	0.000000	0.000000	0.000000	0.318939	0.297131
GSTM2	protein coding	0.000000	20.975752	17.095238	2.853163	4.293385
LINC01768	lincRNA	-1.000000	-1.000000	0.000000	0.133784	0.132309
TMIGD3	protein coding	0.000000	0.000000	0.000000	0.267820	0.260501
RAP1A	protein coding	0.000000	0.000000	0.000000	0.124218	0.120362
LINC02884	lincRNA	-1.000000	-1.000000	0.000000	0.136256	0.131129
LRIG2-DT	lincRNA	-1.000000	-1.000000	0.000000	0.571574	0.548628
MAGI3	protein coding	0.000000	0.000000	0.000000	1.521664	1.484726
NOTCH2	protein coding	0.000000	0.000000	0.000000	8.331493	7.776416
RNU6-465P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
SEC22B	protein coding	0.000000	0.000000	0.000000	4.829957	3.126220
ENSG00000274642	pseudogene	-1.000000	-1.000000	40.375587	45.161529	45.128268
7SK	other	-1.000000	-1.000000	54.618474	-1.000000	54.618474
ENSG00000223804	pseudogene	-1.000000	-1.000000	56.238698	61.787256	61.704925
NBPF8	protein coding	14.669495	14.911884	14.817367	23.798168	22.605736
PDE4DIPP2	pseudogene	-1.000000	-1.000000	5.040771	30.868476	29.714940
7SK	other	-1.000000	-1.000000	24.899598	-1.000000	24.899598
