# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
ENSG00000241860	lincRNA	-1.000000	-1.000000	18.602805	31.014901	28.118439
ENSG00000228463	pseudogene	-1.000000	-1.000000	0.000000	6.716242	6.173822
TMEM88B	protein coding	47.560976	38.032305	39.490050	69.520548	47.490876
PLCH2	protein coding	96.789923	69.801223	91.123596	43.846322	47.548773
ENSG00000224387	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000229393	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
PANK4	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
HES5	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000272449	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
TNFRSF14-AS1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
TNFRSF14	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000225931	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000228037	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000289610	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PRXL2B	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
MMEL1	protein coding	93.418803	65.055762	88.116748	51.606370	54.085943
TTC34	protein coding	0.000000	0.000000	0.000000	10.095075	9.618292
PRAMEF31P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF5	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
PRAMEF32P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNU6-771P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PRAMEF8	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
SLC25A24P1	pseudogene	-1.000000	-1.000000	0.000000	2.140285	2.078262
NBPF5P	pseudogene	-1.000000	-1.000000	0.000000	10.985586	10.481473
SLC25A24P2	pseudogene	-1.000000	-1.000000	0.000000	9.894737	9.760643
ENSG00000274642	pseudogene	-1.000000	-1.000000	0.000000	4.723886	4.691056
ENSG00000223804	pseudogene	-1.000000	-1.000000	0.000000	7.831842	7.715631
ENSG00000275075	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000275767	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
LINC02802	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNA5SP529	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
KMT2CP2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PPIAL4E	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
RNVU1-26	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000290121	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNVU1-2A	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNVU1-28	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PPIAL4F	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
LINC01632	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000224363	lincRNA	-1.000000	-1.000000	13.034786	55.945368	55.560063
RNA5SP59	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000273825	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF20	protein coding	16.705035	0.000000	14.374238	13.151748	13.329108
RNU6-1071P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NUDT4P2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNU6-1171P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NUDT4B	protein coding	100.000000	80.323102	83.273826	-1.000000	83.273826
ENSG00000271546	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
SEC22B2P	pseudogene	-1.000000	-1.000000	47.202797	51.225943	51.033386
Y_RNA	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
INTS3	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000243613	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
Y_RNA	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
GATAD2B	protein coding	100.000000	89.963448	92.498577	40.408618	43.815231
ENSG00000231827	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
FAM189B	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
SCAMP3	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
CLK2	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
HCN3	protein coding	97.720430	8.399471	62.522804	100.000000	88.389180
LINC01036	lincRNA	-1.000000	-1.000000	0.000000	0.272091	0.266300
ENSG00000287989	lincRNA	-1.000000	-1.000000	86.465232	57.990868	58.984843
ATP6V1G3	protein coding	56.823821	38.686131	49.483013	78.651883	77.537663
ENSG00000223881	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PTPRC	protein coding	20.996094	64.895636	41.798330	57.072478	56.073400
ENSG00000261573	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
PEBP1P3	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNA5S6	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S7	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S8	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S9	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S10	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S11	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000234116	lincRNA	-1.000000	-1.000000	12.010114	32.331731	22.427603
SEPTIN14P21	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
CICP21	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
LINC01347	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
CEP170	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000227230	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000232085	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
SDCCAG8	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
FCF1P7	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
AKT3	protein coding	100.000000	96.693663	97.089733	93.527355	93.660947
ENSG00000236031	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
KIF26B	protein coding	56.960630	59.831728	58.502806	60.608106	60.556013
ENSG00000238224	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000235386	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR2T6	protein coding	0.000000	43.907002	35.189548	2.307827	11.864301
OR2T1	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
OR2T2	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
OR2T3	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000229255	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR2T5	protein coding	-1.000000	97.622821	97.622821	-1.000000	97.622821
OR2G6	protein coding	0.000000	0.000000	0.000000	12.350781	8.378322
ENSG00000215409	pseudogene	-1.000000	-1.000000	74.101611	88.820423	87.620010
LINC02673	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
FAM210CP	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
TRIAP1P1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
KSR1P1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000274167	pseudogene	-1.000000	-1.000000	68.683274	77.931404	77.779080
