# This table shows the intersection of dark regions by a gene annotation gff3, showing where dark regions fall within gene body elements
# chrom : Chromosome of dark region
# region_start : start position of dark region within gene-body element
# region_end : end position of dark region within gene-body element
# gene_body_id : ID of gene body element that contains this dark region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	148366	149707	ENSG00000241860_exon_2	exon	lncRNA	chr1	146385	149707
chr1	149707	155766	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	155766	155831	ENSG00000241860_exon_3	exon	lncRNA	chr1	155766	155831
chr1	155831	157473	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	347968	354254	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	1426741	1427553	TMEM88B_intron_1	intron	protein_coding	chr1	1426385	1427553
chr1	1427553	1427787	TMEM88B_exon_2	CDS	protein_coding	chr1	1427553	1427787
chr1	1427787	1428823	TMEM88B_UTR_2	three_prime_UTR	protein_coding	chr1	1427787	1430255
chr1	2467706	2476288	PLCH2_intron_3	intron	protein_coding	chr1	2467662	2476288
chr1	2476288	2476588	PLCH2_UTR_4	five_prime_UTR	protein_coding	chr1	2476288	2476588
chr1	2476588	2476712	PLCH2_exon_3	CDS	protein_coding	chr1	2476588	2476712
chr1	2476712	2478475	PLCH2_intron_4	intron	protein_coding	chr1	2476712	2478475
chr1	2478475	2478622	PLCH2_exon_4	CDS	protein_coding	chr1	2478475	2478622
chr1	2478622	2479733	PLCH2_intron_5	intron	protein_coding	chr1	2478622	2479733
chr1	2479733	2479978	PLCH2_exon_5	CDS	protein_coding	chr1	2479733	2479978
chr1	2479978	2480182	PLCH2_intron_6	intron	protein_coding	chr1	2479978	2480182
chr1	2480182	2480312	PLCH2_exon_6	CDS	protein_coding	chr1	2480182	2480312
chr1	2480312	2484447	PLCH2_intron_7	intron	protein_coding	chr1	2480312	2484447
chr1	2484447	2484618	PLCH2_exon_7	CDS	protein_coding	chr1	2484447	2484618
chr1	2484618	2486906	PLCH2_intron_8	intron	protein_coding	chr1	2484618	2486906
chr1	2486906	2487000	PLCH2_exon_8	CDS	protein_coding	chr1	2486906	2487000
chr1	2487000	2487172	PLCH2_intron_9	intron	protein_coding	chr1	2487000	2487172
chr1	2487172	2487376	PLCH2_exon_9	CDS	protein_coding	chr1	2487172	2487376
