# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
CICP7	pseudogene	-1.000000	-1.000000	92.366721	97.872340	93.012478
RP4-669L17.2	lincRNA	-1.000000	-1.000000	15.930599	100.000000	92.215569
RP5-857K21.15	lincRNA	-1.000000	-1.000000	49.777778	71.534196	65.143603
RP11-219C24.6	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
XX-FW84067D5.2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-347K2.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-347K2.2	lincRNA	-1.000000	-1.000000	41.400000	75.773231	74.628754
RP11-153F1.2	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF6	protein coding	0.000000	0.000000	0.000000	5.999264	5.824396
SLC25A24P2	pseudogene	-1.000000	-1.000000	0.000000	14.966262	14.763439
RP6-206I17.1	lincRNA	-1.000000	-1.000000	0.000000	0.709942	0.691355
RP6-206I17.2	lincRNA	-1.000000	-1.000000	0.000000	2.240636	2.029786
NBPF8	protein coding	2.692842	0.000000	2.631579	2.183844	2.251748
GPR89C	protein coding	57.380457	45.376344	51.479915	36.754461	37.442291
PDZK1P1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNU1-137P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP11-94I2.4	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNVU1-7	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP4-565E6.1	other	-1.000000	-1.000000	27.197284	64.330411	61.341450
RNA5SP57	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
GPR89B	protein coding	40.350877	74.690265	50.387998	22.486219	23.529051
RP6-74O6.2	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
XXyac-YX155B6.7	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNU1-129P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP6-74O6.3	lincRNA	-1.000000	-1.000000	99.659284	100.000000	99.951004
RNVU1-9	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
XXyac-YX155B6.5	lincRNA	-1.000000	-1.000000	46.506905	84.386652	80.487499
XXyac-YX155B6.6	lincRNA	-1.000000	-1.000000	49.506454	61.621169	61.378923
RNA5SP58	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
LINC01138	lincRNA	-1.000000	-1.000000	0.000000	29.734933	29.039522
RNVU1-12	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP11-495P10.1	lincRNA	-1.000000	-1.000000	58.810450	86.374302	82.871875
NBPF20	protein coding	19.616328	0.000000	16.747737	19.740545	19.240774
DUSP5P1	pseudogene	-1.000000	-1.000000	0.000000	28.064113	26.467121
RNA5S6	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S7	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S8	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S9	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S10	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP11-175I17.2	pseudogene	-1.000000	-1.000000	31.120332	40.057168	39.883695
AGAP10	protein coding	94.819466	100.000000	97.788945	90.776166	91.650311
RNA5SP312	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AGAP9	protein coding	94.624538	99.664430	95.173675	91.435088	91.648572
RNA5SP313	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AGAP8	protein coding	0.000000	0.000000	0.000000	0.311811	0.305510
PARGP1	pseudogene	-1.000000	-1.000000	14.029181	22.845579	22.630179
ZNF26	protein coding	0.000000	0.000000	0.000000	72.697271	56.325612
RNU4ATAC12P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP11-386I8.6	lincRNA	-1.000000	-1.000000	0.000000	13.518887	10.946875
PTP4A1P2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
UBE2Q2P6	pseudogene	-1.000000	-1.000000	0.000000	49.700549	49.304477
GOLGA6L9	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
CSPG4P8	pseudogene	-1.000000	-1.000000	76.942391	86.840618	82.850717
RP11-152F13.3	pseudogene	-1.000000	-1.000000	29.425157	2.218761	3.657876
RPL9P8	pseudogene	-1.000000	-1.000000	0.000000	54.577734	54.142749
GOLGA6L20	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
CSPG4P10	pseudogene	-1.000000	-1.000000	82.393492	100.000000	92.847942
RP13-996F3.3	pseudogene	-1.000000	-1.000000	36.943034	6.098334	7.425382
NPIPA3	protein coding	8.339173	0.000000	8.084239	7.115940	7.197884
NPIPA2	protein coding	8.339173	-1.000000	8.339173	7.047739	7.153975
NOMO3	protein coding	11.646998	70.138889	19.177470	7.060613	7.930548
MIR3180-3	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
hsa-mir-3180-3	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NOMO2	protein coding	9.558824	68.508287	16.915652	7.251724	7.926096
NPIPB3	protein coding	3.234575	24.858757	5.961995	44.940476	43.246277
NPIPB5	protein coding	0.000000	56.047198	20.971302	34.492917	26.463415
TP53TG3C	protein coding	94.758065	100.000000	99.413357	31.450507	36.423371
RP11-1437A8.6	lincRNA	-1.000000	-1.000000	69.573284	30.702678	32.217482
RP11-1437A8.5	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
