# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	24.567474	47.766749	31.929134
WASH7P	pseudogene	-1.000000	-1.000000	11.111111	46.134916	43.017275
MIR1302-2HG	lincRNA	-1.000000	-1.000000	34.803922	42.429907	37.427653
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR4F5	protein coding	0.000000	9.046455	5.655331	0.000000	2.400259
ENSG00000238009	lincRNA	-1.000000	-1.000000	0.000000	7.051077	6.459890
CICP27	pseudogene	-1.000000	-1.000000	12.201522	-1.000000	12.201522
ENSG00000239906	lincRNA	-1.000000	-1.000000	26.708075	0.000000	15.664845
ENSG00000241860	lincRNA	-1.000000	-1.000000	92.617094	69.963754	75.250093
ENSG00000241599	lincRNA	-1.000000	-1.000000	82.017544	100.000000	92.400371
WASH9P	pseudogene	-1.000000	-1.000000	17.191977	18.185951	18.049833
ENSG00000228463	pseudogene	-1.000000	-1.000000	19.773805	6.109366	7.212941
ENSG00000286448	lincRNA	-1.000000	-1.000000	12.108844	0.000000	4.944444
ENSG00000236601	lincRNA	-1.000000	-1.000000	32.266910	53.351910	50.145935
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	83.804523	100.000000	85.704100
ENSG00000235146	lincRNA	-1.000000	-1.000000	15.772871	2.444274	3.627959
OR4F16	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	3.300733	64.145658	11.028104
MMP23B	protein coding	36.393659	0.000000	34.480601	13.997760	21.806452
CDK11B	protein coding	0.000000	0.000000	0.000000	2.098729	1.790894
MMP23A	pseudogene	-1.000000	-1.000000	35.334646	38.470874	36.739130
CDK11A	protein coding	0.000000	0.000000	0.000000	2.321399	1.938302
PLCH2	protein coding	0.000000	0.000000	0.000000	4.800742	4.424779
ENSG00000224387	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
