# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
WASH7P	pseudogene	-1.000000	-1.000000	0.000000	1.259409	1.147303
ENSG00000241860	lincRNA	-1.000000	-1.000000	1.309870	5.545711	4.557243
ENSG00000241599	lincRNA	-1.000000	-1.000000	15.789474	0.000000	6.672845
ENSG00000228463	pseudogene	-1.000000	-1.000000	0.000000	0.136761	0.125716
CICP7	pseudogene	-1.000000	-1.000000	17.043619	0.000000	15.044563
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	7.330224	5.695199
ENSG00000272438	lincRNA	-1.000000	-1.000000	0.000000	4.058562	3.931072
SAMD11	protein coding	0.000000	0.000000	0.000000	4.838424	3.965718
KLHL17	protein coding	0.000000	0.000000	0.000000	5.722071	2.862707
PERM1	protein coding	0.000000	0.000000	0.000000	35.574645	17.358000
AGRN	protein coding	0.000000	0.000000	0.000000	1.206970	0.938941
ENSG00000217801	pseudogene	-1.000000	-1.000000	0.000000	5.619740	4.075300
C1orf159	protein coding	0.000000	0.000000	0.000000	1.362745	1.207191
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	13.560886	10.441824
C1QTNF12	protein coding	0.000000	0.000000	0.000000	16.821274	12.722170
SCNN1D	protein coding	1.968662	0.000000	1.217694	7.055093	5.028897
INTS11	protein coding	0.000000	0.000000	0.000000	7.218201	5.327431
TMEM88B	protein coding	0.000000	3.671072	3.109453	1.797945	2.760036
ATAD3A	protein coding	0.000000	0.000000	0.000000	0.218718	0.190916
TMEM240	protein coding	0.000000	0.000000	0.000000	4.273059	2.805337
MIB2	protein coding	0.000000	0.000000	0.000000	1.455038	1.062636
SLC35E2B	protein coding	0.000000	0.000000	0.000000	0.240000	0.189383
CFAP74	protein coding	0.263692	0.000000	0.232850	0.570096	0.547102
PRKCZ	protein coding	0.000000	0.000000	0.000000	1.449052	1.392017
FAAP20	protein coding	0.000000	0.000000	0.000000	0.000000	1.206695
SKI	protein coding	0.000000	3.594352	2.301874	0.158286	0.317484
RER1	protein coding	0.000000	0.000000	0.000000	0.289990	0.182922
PLCH2	protein coding	0.000000	0.000000	0.000000	1.346117	1.240698
PANK4	protein coding	0.000000	0.000000	0.000000	1.381413	1.179402
MMEL1	protein coding	0.000000	0.000000	0.000000	0.853186	0.795243
MMEL1-AS1	lincRNA	-1.000000	-1.000000	0.000000	6.304348	5.725568
