# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
SLC35E2B	protein coding	0.000000	-1.000000	0.000000	0.673360	0.497349
MEGF6	protein coding	0.000000	-1.000000	0.000000	0.052701	0.048948
SLC2A5	protein coding	0.000000	-1.000000	0.000000	0.207913	0.182268
EIF4G3	protein coding	0.000000	-1.000000	0.000000	0.009969	0.009710
FAF1	protein coding	0.000000	-1.000000	0.000000	0.057950	0.057115
RAB3B	protein coding	0.000000	-1.000000	0.000000	0.457842	0.387438
AL033530.1	lincRNA	-1.000000	-1.000000	0.000000	0.038233	0.037826
LRRC7	protein coding	0.000000	-1.000000	0.000000	0.054332	0.051547
LINC01725	lincRNA	-1.000000	-1.000000	0.000000	0.017960	0.017176
PKN2-AS1	lincRNA	-1.000000	-1.000000	0.000000	0.009924	0.009769
TGFBR3	protein coding	0.000000	-1.000000	0.000000	0.144663	0.138779
AC244669.1	pseudogene	-1.000000	-1.000000	0.000000	0.415339	0.409176
AL136372.2	lincRNA	-1.000000	-1.000000	0.000000	0.019268	0.019062
LGR6	protein coding	0.000000	-1.000000	0.000000	1.010053	0.974566
KCNH1	protein coding	0.000000	-1.000000	0.000000	0.821214	0.803788
LINC01641	lincRNA	-1.000000	-1.000000	0.000000	0.345541	0.320977
SLC35F3	protein coding	0.000000	-1.000000	0.000000	0.017617	0.017474
ACTN2	protein coding	0.000000	-1.000000	0.000000	0.729369	0.689437
DIP2C	protein coding	0.000000	-1.000000	0.000000	0.009013	0.008827
ADARB2	protein coding	0.000000	-1.000000	0.000000	0.006361	0.006240
KIN	protein coding	2.653835	-1.000000	2.653835	0.000000	0.491387
STAM	protein coding	0.000000	-1.000000	0.000000	1.143558	1.079249
MALRD1	protein coding	0.000000	-1.000000	0.000000	0.003683	0.003645
GAD2	protein coding	0.000000	-1.000000	0.000000	0.171468	0.160004
SVIL2P	pseudogene	-1.000000	-1.000000	0.000000	0.561454	0.532189
SGMS1	protein coding	0.000000	-1.000000	0.000000	0.104795	0.103117
PCDH15	protein coding	0.000000	-1.000000	0.000000	0.001325	0.001314
