# This table shows the intersection of camo regions by a gene annotation gff3, showing where camo regions fall within gene body elements
# chrom : Chromosome of camo region
# region_start : start position of camo region within gene-body element
# region_end : end position of camo region within gene-body element
# gene_body_id : ID of gene body element that contains this camo region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this camo reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	11873	12227	DDX11L1_exon_1	exon	transcribed_unprocessed_pseudogene	chr1	11869	12227
chr1	12227	12612	DDX11L1_intron_1	intron	transcribed_unprocessed_pseudogene	chr1	12227	12612
chr1	12612	12721	DDX11L1_exon_2	exon	transcribed_unprocessed_pseudogene	chr1	12612	12721
chr1	12721	12750	DDX11L1_intron_2	intron	transcribed_unprocessed_pseudogene	chr1	12721	12974
chr1	12860	12973	DDX11L1_intron_2	intron	transcribed_unprocessed_pseudogene	chr1	12721	12974
chr1	13188	13220	DDX11L1_intron_3	intron	transcribed_unprocessed_pseudogene	chr1	13052	13220
chr1	14051	14113	DDX11L1_exon_4	exon	transcribed_unprocessed_pseudogene	chr1	13220	14409
chr1	14341	14366	DDX11L1_exon_4	exon	transcribed_unprocessed_pseudogene	chr1	13220	14409
chr1	15051	15088	WASH7P_intron_2	intron	unprocessed_pseudogene	chr1	15038	15795
chr1	17914	18061	WASH7P_exon_8	exon	unprocessed_pseudogene	chr1	17914	18061
chr1	18061	18267	WASH7P_intron_8	intron	unprocessed_pseudogene	chr1	18061	18267
chr1	18267	18366	WASH7P_exon_9	exon	unprocessed_pseudogene	chr1	18267	18366
chr1	18366	18791	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	19333	19386	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	19619	19692	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	19848	19966	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	20324	20377	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	20596	21249	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	21307	23123	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	23162	23335	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	23463	24737	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	24737	24891	WASH7P_exon_10	exon	unprocessed_pseudogene	chr1	24737	24891
chr1	24891	26680	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	26747	26973	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	27040	28294	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	28420	28498	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	28660	28759	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	29064	29228	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	29647	30039	MIR1302-2HG_exon_1	exon	lncRNA	chr1	29554	30039
chr1	30039	30266	MIR1302-2HG_intron_1	intron	lncRNA	chr1	30039	30266
chr1	30266	30591	MIR1302-2HG_exon_2	exon	lncRNA	chr1	30266	30667
chr1	30745	30803	MIR1302-2HG_intron_2	intron	lncRNA	chr1	30667	30975
chr1	34554	35174	FAM138A_exon_1	exon	lncRNA	chr1	34554	35174
chr1	35174	35244	FAM138A_intron_1	intron	lncRNA	chr1	35174	35244
chr1	35244	35481	FAM138A_exon_2	exon	lncRNA	chr1	35244	35481
chr1	35481	35720	FAM138A_intron_2	intron	lncRNA	chr1	35481	35720
chr1	35720	36080	FAM138A_exon_3	exon	lncRNA	chr1	35720	36081
chr1	52608	52645	OR4G4P_exon_1	exon	unprocessed_pseudogene	chr1	52473	53312
chr1	53089	53132	OR4G4P_exon_1	exon	unprocessed_pseudogene	chr1	52473	53312
chr1	53289	53312	OR4G4P_exon_1	exon	unprocessed_pseudogene	chr1	52473	53312
chr1	59783	59930	OR4G11P_intron_2	intron	transcribed_unprocessed_pseudogene	chr1	58856	62915
chr1	65520	65564	OR4F5_UTR_2	five_prime_UTR	protein_coding	chr1	65519	65564
chr1	65573	65604	OR4F5_intron_2	intron	protein_coding	chr1	65573	69036
chr1	67701	67753	OR4F5_intron_2	intron	protein_coding	chr1	65573	69036
chr1	70972	71522	OR4F5_UTR_3	three_prime_UTR	protein_coding	chr1	70008	71585
chr1	90684	90712	ENSG00000238009_exon_1	exon	lncRNA	chr1	89295	91629
chr1	91874	91938	ENSG00000238009_intron_1	intron	lncRNA	chr1	91629	92090
chr1	92090	92209	ENSG00000238009_exon_2	exon	lncRNA	chr1	92090	92240
chr1	93481	93513	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	95312	95702	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	95775	95897	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	96690	96759	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	96819	97311	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	97349	97461	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	97793	97826	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	100024	100583	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	100751	100812	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	100903	100944	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	104380	104808	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	107213	107243	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	107416	107459	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	110644	110745	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	112375	112537	ENSG00000238009_intron_3	intron	lncRNA	chr1	111357	112699
chr1	112948	112979	ENSG00000238009_intron_4	intron	lncRNA	chr1	112804	120720
