region_id	chrom	length
1 #chrom 0
2 chr1 1633
3 chr1 809
4 chr1 745
5 chr1 1256
6 chr1 1026
7 chr1 1981
8 chr1 1349
9 chr1 738
10 chr1 1792
11 chr1 4757
12 chr1 337
13 chr1 148
14 chr1 322
15 chr1 1224
16 chr1 4264
17 chr1 367
18 chr1 320
19 chr1 344
20 chr1 350
21 chr1 328
22 chr1 166
23 chr1 309
24 chr1 119
25 chr1 523
26 chr1 40
27 chr1 1409
28 chr1 527
29 chr1 492
30 chr1 3862
31 chr1 4538
32 chr1 231
33 chr1 1656
34 chr1 387
35 chr1 3470
36 chr1 231
37 chr1 421
38 chr1 938
39 chr1 1203
40 chr1 2162
41 chr1 2178
42 chr1 1667
43 chr1 474
44 chr1 661
45 chr1 719
46 chr1 620
47 chr1 337
48 chr1 275
49 chr1 753
50 chr1 1590
51 chr1 1782
52 chr1 224
53 chr1 1623
54 chr1 169
55 chr1 1461
56 chr1 702
57 chr1 923
58 chr1 187
59 chr1 1348
60 chr1 75
61 chr1 256
62 chr1 330
63 chr1 397
64 chr1 297
65 chr1 382
66 chr1 240
67 chr1 575
68 chr1 873
69 chr1 717
70 chr1 9076
71 chr1 2924
72 chr1 844
73 chr1 7057
74 chr1 220
75 chr1 3673
76 chr1 17598
77 chr1 2837
78 chr1 1289
79 chr1 5812
80 chr1 1584
81 chr1 3247
82 chr1 4856
83 chr1 2854
84 chr1 15940
85 chr1 258
86 chr1 19472
87 chr1 2232
88 chr1 405
89 chr1 370
90 chr1 122
91 chr1 1696
92 chr1 883
93 chr1 916
94 chr1 1042
95 chr1 9252
96 chr1 613
97 chr1 4683
98 chr1 606
99 chr1 208
100 chr1 848
101 chr1 1653
102 chr1 72
103 chr1 1718
104 chr1 6343
105 chr1 406
106 chr1 126
107 chr1 264
108 chr1 112
109 chr1 116
110 chr1 1179
111 chr1 1109
112 chr1 1047
113 chr1 271
114 chr1 844
115 chr1 3496
116 chr1 1991
117 chr1 1046
118 chr1 841
119 chr1 326
120 chr1 252
121 chr1 443
122 chr1 340
123 chr1 61
124 chr1 546
125 chr1 334
126 chr1 536
127 chr1 1010
128 chr1 1038
129 chr1 809
130 chr1 546
131 chr1 304
132 chr1 97
133 chr1 200
134 chr1 763
135 chr1 379
136 chr1 733
137 chr1 656
138 chr1 502
139 chr1 669
140 chr1 1009
141 chr1 544
142 chr1 316
143 chr1 2683
144 chr1 420
145 chr1 832
146 chr1 817
147 chr1 3233
148 chr1 1667
149 chr1 1759
150 chr1 144
151 chr1 643
152 chr1 760
153 chr1 1245
154 chr1 3253
155 chr1 163
156 chr1 38
157 chr1 424
158 chr1 822
159 chr1 328
160 chr1 772
161 chr1 241
162 chr1 176
163 chr1 217
164 chr1 2452
165 chr1 703
166 chr1 1449
167 chr1 993
168 chr1 394
169 chr1 222
170 chr1 127
171 chr1 197
172 chr1 267
173 chr1 348
174 chr1 230
175 chr1 301
176 chr1 59
177 chr1 182
178 chr1 222
179 chr1 271
180 chr1 30
181 chr1 61
182 chr1 813
183 chr1 426
184 chr1 81
185 chr1 676
186 chr1 617
187 chr1 277
188 chr1 844
189 chr1 432
190 chr1 3019
191 chr1 650
192 chr1 4291
193 chr1 168
194 chr1 504
195 chr1 193
196 chr1 900
197 chr1 142
198 chr1 1978
199 chr1 610
200 chr1 108
201 chr1 123
202 chr1 23
203 chr1 543
204 chr1 291
205 chr1 1354
206 chr1 280
207 chr1 64
208 chr1 753
209 chr1 112
210 chr1 505
211 chr1 285
212 chr1 179
213 chr1 258
214 chr1 395
215 chr1 364
216 chr1 134
217 chr1 256
218 chr1 473
219 chr1 69
220 chr1 82
221 chr1 147
222 chr1 777
223 chr1 512
224 chr1 663
225 chr1 377
226 chr1 1321
227 chr1 185
228 chr1 1074
229 chr1 503
230 chr1 1876
231 chr1 794
232 chr1 1267
233 chr1 1233
234 chr1 301
235 chr1 633
236 chr1 51
237 chr1 145
238 chr1 297
239 chr1 1460
240 chr1 48
241 chr1 597
242 chr1 570
243 chr1 38
244 chr1 968
245 chr1 1053
246 chr1 4808
247 chr1 4318
248 chr1 11551
249 chr1 3942
250 chr1 3711
251 chr1 2007
252 chr1 1909
253 chr1 1919
254 chr1 1973
255 chr1 3875
256 chr1 4579
257 chr1 12043
258 chr1 4117
259 chr1 5023
260 chr1 966
261 chr1 1087
262 chr1 233
263 chr1 546
264 chr1 571
265 chr1 221
266 chr1 1517
267 chr1 539
268 chr1 268
269 chr1 873
270 chr1 66
271 chr1 30
272 chr1 460
273 chr1 792
274 chr1 1194
275 chr1 1317
276 chr1 1419
277 chr1 536
278 chr1 926
279 chr1 242
280 chr1 1592
281 chr1 739
282 chr1 458
283 chr1 861
284 chr1 620
285 chr1 368
286 chr1 202
287 chr1 653
288 chr1 356
289 chr1 168
290 chr1 188
291 chr1 683
292 chr1 331
293 chr1 1758
294 chr1 1135
295 chr1 373
296 chr1 405
297 chr1 441
298 chr1 315
299 chr1 228
300 chr1 205
301 chr1 305
302 chr1 1044
303 chr1 1105
304 chr1 7238
305 chr1 1561
306 chr1 826
307 chr1 207
308 chr1 407
309 chr1 306
310 chr1 1269
311 chr1 7165
312 chr1 747
313 chr1 23
314 chr1 200
315 chr1 570
316 chr1 372
317 chr1 159
318 chr1 960
319 chr1 206
320 chr1 399
321 chr1 21
322 chr1 483
323 chr1 31
324 chr1 596
325 chr1 744
326 chr1 70
327 chr1 369
328 chr1 3448
329 chr1 139
330 chr1 3479
331 chr1 457
332 chr1 214
333 chr1 535
334 chr1 591
335 chr1 1139
336 chr1 263
337 chr1 859
338 chr1 703
339 chr1 95
340 chr1 28
341 chr1 322
342 chr1 1987
343 chr1 439
344 chr1 42
345 chr1 380
346 chr1 1290
347 chr1 762
348 chr1 45
349 chr1 57
350 chr1 31
351 chr1 96
352 chr1 187
353 chr1 422
354 chr1 62
355 chr1 227
356 chr1 163
357 chr1 173
358 chr1 23
359 chr1 198
360 chr1 1463
361 chr1 532
362 chr1 630
363 chr1 48
364 chr1 398
365 chr1 64
366 chr1 892
367 chr1 1350
368 chr1 182
369 chr1 1012
370 chr1 307
371 chr1 193
372 chr1 450
373 chr1 408
374 chr1 1414
375 chr1 2199
376 chr1 40
377 chr1 318
378 chr1 90
379 chr1 154
380 chr1 2494
381 chr1 1034
382 chr1 1260
383 chr1 648
384 chr1 679
385 chr1 347
386 chr1 1506
387 chr1 539
388 chr1 1504
389 chr1 1836
390 chr1 4767
391 chr1 11612
392 chr1 7787
393 chr1 4668
394 chr1 691
395 chr1 322
