# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
AL627309.3	lincRNA	-1.000000	-1.000000	91.654021	100.000000	91.672975
AP006222.2	lincRNA	-1.000000	-1.000000	27.346939	67.509363	51.136994
AC114498.1	lincRNA	-1.000000	-1.000000	0.000000	14.665164	13.307041
AL731661.1	lincRNA	-1.000000	-1.000000	11.428571	3.365385	7.330483
OR4F21	protein coding	6.646526	-1.000000	6.646526	-1.000000	6.646526
AC092192.1	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CICP18	pseudogene	-1.000000	-1.000000	5.618729	11.791884	10.366136
AL669831.1	pseudogene	-1.000000	-1.000000	0.000000	8.753264	7.686477
MMP23B	protein coding	51.315789	-1.000000	51.315789	7.502800	38.682596
CDK11B	protein coding	4.377195	-1.000000	4.377195	5.218259	5.087173
MMP23A	pseudogene	-1.000000	-1.000000	65.742251	63.843648	65.108696
AL031282.2	lincRNA	-1.000000	-1.000000	2.392531	3.646446	3.461715
PRAMEF10	protein coding	0.000000	-1.000000	0.000000	2.883117	2.065501
PRAMEF7	protein coding	14.239897	-1.000000	14.239897	6.867284	10.893170
PRAMEF29P	pseudogene	-1.000000	-1.000000	39.806678	0.000000	21.664275
PRAMEF36P	pseudogene	-1.000000	-1.000000	99.655410	100.000000	99.821301
PRAMEF34P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF32P	pseudogene	-1.000000	-1.000000	42.455483	0.000000	21.695402
PRAMEF8	protein coding	15.578947	0.000000	11.466942	4.039946	7.513892
PRAMEF33	protein coding	0.000000	-1.000000	0.000000	2.882368	2.067809
AL355149.1	pseudogene	-1.000000	-1.000000	56.526674	39.685198	43.522110
BX284668.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF1	protein coding	33.469114	-1.000000	33.469114	36.161963	35.906380
BX284668.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
AL137798.3	pseudogene	-1.000000	-1.000000	39.393939	0.000000	19.005848
MST1P2	pseudogene	-1.000000	-1.000000	24.454148	26.209508	25.348189
CROCCP4	pseudogene	-1.000000	-1.000000	0.000000	5.749899	5.341302
LINC01783	lincRNA	-1.000000	-1.000000	4.263566	0.000000	3.854577
MST1L	pseudogene	-1.000000	-1.000000	4.576744	29.200161	20.565016
CROCC	protein coding	0.000000	-1.000000	0.000000	4.818975	4.684240
MST1L	pseudogene	-1.000000	-1.000000	4.663897	29.833483	21.135400
AL137798.2	lincRNA	-1.000000	-1.000000	0.000000	16.067268	14.840460
MST1P2	pseudogene	-1.000000	-1.000000	25.535354	25.136861	25.348189
