region_id	chrom	length
1 #chrom 0
2 chr1 56
3 chr1 53
4 chr1 365
5 chr1 14842
6 chr1 31545
7 chr1 8939
8 chr1 771
9 chr1 148
10 chr1 32
11 chr1 21
12 chr1 23
13 chr1 85
14 chr1 218
15 chr1 716
16 chr1 15376
17 chr1 111
18 chr1 162
19 chr1 115
20 chr1 11976
21 chr1 436
22 chr1 1482
23 chr1 105
24 chr1 10603
25 chr1 1011
26 chr1 1138
27 chr1 3115
28 chr1 14652
29 chr1 154
30 chr1 129
31 chr1 4240730
32 chr1 26
33 chr1 117
34 chr1 69
35 chr1 45
36 chr1 26
37 chr1 26
38 chr1 338
39 chr1 49
40 chr1 108
41 chr1 387
42 chr1 30
43 chr1 49
44 chr1 241
45 chr1 49
46 chr1 1293
47 chr1 192
48 chr1 426
49 chr1 90
50 chr1 145
51 chr1 155
52 chr1 2775
53 chr1 581
54 chr1 242
55 chr1 23
56 chr1 34
57 chr1 132
58 chr1 268
59 chr1 54
60 chr1 198
61 chr1 47
62 chr1 23
63 chr1 21
64 chr1 24
65 chr1 52
66 chr1 136
67 chr1 177
68 chr1 23
69 chr1 22
70 chr1 210
71 chr1 396
72 chr1 147
73 chr1 28
74 chr1 54
75 chr1 100
76 chr1 69
77 chr1 21
78 chr1 366
79 chr1 273
80 chr1 401
81 chr1 1298
82 chr1 663
83 chr1 549
84 chr1 1315
85 chr1 1243
86 chr1 1315
87 chr1 657
88 chr1 636
89 chr1 1312
90 chr1 4987
91 chr1 75
92 chr1 41
93 chr1 41
94 chr1 48
95 chr1 646
96 chr1 14944
97 chr1 220
98 chr1 60
99 chr1 24
100 chr1 91
101 chr1 64
102 chr1 61
103 chr1 497
104 chr1 63
105 chr1 607
106 chr1 1310
107 chr1 1053
108 chr1 56
109 chr1 1995
110 chr1 252
111 chr1 49
112 chr1 23
113 chr1 57
114 chr1 43
115 chr1 92
116 chr1 37
117 chr1 636
118 chr1 12244
119 chr1 2063
120 chr1 675
121 chr1 1299
122 chr1 1381
123 chr1 3303
124 chr1 479
125 chr1 24
126 chr1 36
127 chr1 76
128 chr1 35
129 chr1 374
130 chr1 23
131 chr1 301
132 chr1 48
133 chr1 22
134 chr1 117
135 chr1 35
136 chr1 26
137 chr1 1771
138 chr1 29
139 chr1 156
140 chr1 118
141 chr1 75
142 chr1 46
