# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	22.222222	46.573604	29.767991
WASH7P	pseudogene	-1.000000	-1.000000	7.722008	48.934261	43.404779
MIR1302-10	lincRNA	-1.000000	-1.000000	50.392157	42.429907	47.652733
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-34P13.7	lincRNA	-1.000000	-1.000000	4.119955	8.756111	8.382463
CICP27	pseudogene	-1.000000	-1.000000	13.461034	-1.000000	13.461034
AL627309.1	protein coding	0.000000	7.978723	5.639098	2.420242	4.332291
RP11-34P13.13	other	-1.000000	-1.000000	75.524701	52.809804	57.153884
RP11-34P13.9	lincRNA	-1.000000	-1.000000	36.842105	30.176565	32.993513
AP006222.2	lincRNA	-1.000000	-1.000000	6.425500	8.252767	8.070538
CICP7	pseudogene	-1.000000	-1.000000	85.379645	100.000000	87.094474
OR4F29	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AL732372.1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP4-669L17.2	lincRNA	-1.000000	-1.000000	100.000000	84.339289	85.789397
RP5-857K21.15	lincRNA	-1.000000	-1.000000	88.148148	100.000000	96.518712
RP4-669L17.1	pseudogene	-1.000000	-1.000000	94.270833	-1.000000	94.270833
RP5-857K21.1	lincRNA	-1.000000	-1.000000	0.000000	22.119532	14.569805
RP5-857K21.2	lincRNA	-1.000000	-1.000000	15.772871	3.289777	4.398375
MTND2P28	pseudogene	-1.000000	-1.000000	15.915628	-1.000000	15.915628
OR4F16	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	4.156479	41.736695	8.929207
RP11-206L10.3	lincRNA	-1.000000	-1.000000	49.907388	37.589713	44.886017
