# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
AL669831.1	pseudogene	-1.000000	-1.000000	0.435391	0.196387	0.225515
LINC01409	lincRNA	-1.000000	-1.000000	0.000000	0.352127	0.264197
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	9.607994	7.671849
AL645608.6	lincRNA	-1.000000	-1.000000	0.000000	1.952714	1.889414
PERM1	protein coding	0.000000	-1.000000	0.000000	42.049162	24.102244
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	8.396383	6.464905
B3GALT6	protein coding	6.205421	-1.000000	6.205421	-1.000000	6.205421
C1QTNF12	protein coding	0.000000	-1.000000	0.000000	27.194787	16.840093
SCNN1D	protein coding	0.372763	-1.000000	0.372763	4.302141	3.181689
INTS11	protein coding	0.000000	-1.000000	0.000000	2.783421	1.042935
DVL1	protein coding	7.620015	-1.000000	7.620015	0.000000	2.115208
ANKRD65	protein coding	3.253878	-1.000000	3.253878	0.000000	2.567931
AL391244.1	lincRNA	-1.000000	-1.000000	6.642066	0.000000	1.471791
TMEM88B	protein coding	0.000000	-1.000000	0.000000	56.420109	48.754842
FNDC10	protein coding	9.797456	-1.000000	9.797456	-1.000000	9.797456
SLC35E2B	protein coding	0.000000	-1.000000	0.000000	0.475787	0.351421
CFAP74	protein coding	0.000000	-1.000000	0.000000	1.598805	1.396726
GABRD	protein coding	0.307804	-1.000000	0.307804	0.000000	0.148744
FAAP20	protein coding	0.000000	-1.000000	0.000000	1.387822	0.881748
SKI	protein coding	6.276531	-1.000000	6.276531	0.039570	0.538763
MORN1	protein coding	0.000000	-1.000000	0.000000	3.131855	2.650730
RER1	protein coding	0.000000	-1.000000	0.000000	5.012048	2.973978
PLCH2	protein coding	0.000000	-1.000000	0.000000	0.296098	0.256657
MMEL1	protein coding	0.000000	-1.000000	0.000000	0.615393	0.559252
TTC34	protein coding	0.567344	-1.000000	0.567344	0.044093	0.064655
PRDM16	protein coding	0.000000	-1.000000	0.000000	0.168300	0.165305
ARHGEF16	protein coding	0.000000	-1.000000	0.000000	9.003807	7.333473
MEGF6	protein coding	0.000000	-1.000000	0.000000	0.052701	0.048948
TP73	protein coding	0.000000	-1.000000	0.000000	0.362388	0.333673
AL805961.1	lincRNA	-1.000000	-1.000000	0.000000	12.442631	3.600945
BX005132.1	lincRNA	-1.000000	-1.000000	0.000000	0.527379	0.501333
NPHP4	protein coding	0.000000	-1.000000	0.000000	1.108458	0.997273
