# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
AMY1A	protein coding	100.000000	-1.000000	100.000000	100.000000	100.000000
AC105272.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AMY1B	protein coding	100.000000	99.868421	99.957137	100.000000	99.989207
AMY1A	protein coding	100.000000	99.606299	99.949950	100.000000	99.989204
AC105272.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AMY1B	protein coding	78.832463	-1.000000	78.832463	98.715729	94.079894
AMYP1	pseudogene	-1.000000	-1.000000	55.675147	0.000000	9.255042
AMY1A	protein coding	0.000000	68.503937	8.708709	0.000000	6.888361
AC105272.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AMY1A	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
AMYP1	pseudogene	-1.000000	-1.000000	55.675147	0.000000	9.255042
DUX4L14	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
DUX4L15	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
DUX4L21	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
DUX4L2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
DUX4L25	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
DUX4L24	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
DUX4L12	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
DUX4L13	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
DUX4L24	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
DUX4L24	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AP005435.4	pseudogene	-1.000000	-1.000000	65.371025	0.049925	8.136483
AP005435.2	pseudogene	-1.000000	-1.000000	85.059423	88.899804	88.038095
AP005435.3	pseudogene	-1.000000	-1.000000	99.906162	100.000000	99.935484
AP004607.3	pseudogene	-1.000000	-1.000000	81.583653	100.000000	86.568554
AP004607.9	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AP004607.8	pseudogene	-1.000000	-1.000000	92.857143	100.000000	98.860822
AP004607.1	pseudogene	-1.000000	-1.000000	92.079208	-1.000000	92.079208
AP002784.1	lincRNA	-1.000000	-1.000000	0.000000	1.641466	1.594470
