# This table shows the intersection of camo regions by a gene annotation gff3, showing where camo regions fall within gene body elements
# chrom : Chromosome of camo region
# region_start : start position of camo region within gene-body element
# region_end : end position of camo region within gene-body element
# gene_body_id : ID of gene body element that contains this camo region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this camo reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	11143	11635	AL627309.3_exon_1	exon	lncRNA	chr1	11136	11635
chr1	11638	12457	AL627309.3_exon_2	exon	lncRNA	chr1	11638	12457
chr1	11630	11831	AP006222.2_exon_1	exon	lncRNA	chr1	11630	11831
chr1	11831	12551	AP006222.2_intron_1	intron	lncRNA	chr1	11831	12899
chr1	13174	13274	AP006222.2_exon_2	exon	lncRNA	chr1	12899	13433
chr1	14253	14277	AC114498.1_exon_1	exon	lncRNA	chr1	14253	14353
chr1	15550	15951	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	18213	18322	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	18386	18422	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	18796	18901	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	19013	19435	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	15977	17336	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	20965	21099	AC114498.1_exon_2	exon	lncRNA	chr1	20565	21099
chr1	53183	53422	AL731661.1_exon_1	exon	lncRNA	chr1	52976	53422
chr1	53559	53639	AL731661.1_exon_2	exon	lncRNA	chr1	53559	53826
chr1	54498	54521	AL731661.1_intron_2	intron	lncRNA	chr1	53826	54521
chr1	54521	54613	AL731661.1_exon_3	exon	lncRNA	chr1	54521	54613
chr1	101068	101460	WBP1LP6_exon_1	exon	processed_pseudogene	chr1	101068	101491
chr1	111903	112247	OR4F21_exon_1	CDS	protein_coding	chr1	111903	112896
chr1	112791	112867	OR4F21_exon_1	CDS	protein_coding	chr1	111903	112896
chr1	132243	133260	AC092192.1_exon_1	exon	lncRNA	chr1	132243	133260
