region_id	chrom	length
1 #chrom 0
2 chr1 4069
3 chr1 41352
4 chr1 9576
5 chr1 34
6 chr1 145853
7 chr1 15173
8 chr1 14479
9 chr1 189
10 chr1 4237
11 chr1 298
12 chr1 61494
13 chr1 14763
14 chr1 11076
15 chr1 205
16 chr1 127
17 chr1 2121
18 chr1 26
19 chr1 601
20 chr1 732
21 chr1 3628
22 chr1 38
23 chr1 39
24 chr1 5712
25 chr1 7299
26 chr1 27449
27 chr1 29
28 chr1 36055
29 chr1 2858
30 chr1 2280135
31 chr1 172
32 chr1 78
33 chr1 106
34 chr1 773
35 chr1 159843
36 chr1 42531
37 chr1 480
38 chr1 62284
39 chr1 222316
40 chr1 186
41 chr1 5011
42 chr1 18579
43 chr1 48041
44 chr1 27904
45 chr1 8258
46 chr1 25921
47 chr1 127846
48 chr1 43369
49 chr1 101133
50 chr1 177981
51 chr1 30
52 chr1 14637
53 chr1 811021
54 chr1 18788
55 chr1 316189
56 chr1 19554
57 chr1 33
58 chr1 95
59 chr1 199
60 chr1 1192
61 chr1 35
62 chr1 430
63 chr1 13127
64 chr1 64
65 chr1 2347
66 chr1 373
67 chr1 82573
68 chr2 60876
69 chr2 20659
70 chr2 52
71 chr2 237
72 chr2 23093
73 chr2 33868
74 chr2 305
75 chr2 53127
76 chr2 33
77 chr2 1630
78 chr2 22276
79 chr2 35375
80 chr2 171
81 chr2 145
82 chr2 42
83 chr2 3785
84 chr2 10892
85 chr2 82702
86 chr2 158078
87 chr2 87926
88 chr2 122201
89 chr2 233
90 chr2 31634
91 chr2 23054
92 chr2 40723
93 chr2 26004
94 chr2 6362
95 chr2 318
96 chr2 364
97 chr2 13881
98 chr2 16492
99 chr2 13101
100 chr2 13596
101 chr2 127
102 chr2 56
103 chr2 164
104 chr2 6090
105 chr2 132281
106 chr2 126484
107 chr2 71422
108 chr2 129
109 chr2 53
110 chr2 32
111 chr2 41
112 chr2 18009
113 chr2 28988
114 chr2 26263
115 chr2 37623
116 chr2 93785
117 chr2 8567
118 chr2 59956
119 chr3 15156
120 chr3 74952
121 chr3 31063
122 chr3 30
123 chr3 36
124 chr3 2673
125 chr3 114
126 chr3 95
127 chr3 65
128 chr3 39
129 chr3 83
130 chr3 506
131 chr3 205
132 chr3 49
133 chr3 57
134 chr3 36
135 chr3 529
136 chr3 285
137 chr3 225
138 chr3 138
139 chr3 99
140 chr3 10520
141 chr3 120
142 chr3 61
143 chr3 26
144 chr3 61
145 chr3 135
146 chr3 2222
147 chr3 31
148 chr3 89
149 chr3 391
150 chr3 66
151 chr3 186
152 chr3 1052
153 chr3 139
154 chr3 14088
155 chr3 969
156 chr3 41
157 chr3 20716
158 chr3 55121
159 chr3 130
160 chr3 5638
161 chr3 7052
162 chr3 348
163 chr3 3430
164 chr3 363
165 chr3 134
166 chr3 10580
167 chr3 71
168 chr3 14938
169 chr3 29123
170 chr3 4119
171 chr3 20646
172 chr3 15654
173 chr3 60013
174 chr3 29574
175 chr3 5434
176 chr3 12911
177 chr3 35732
178 chr3 12393
179 chr3 352
180 chr3 117
181 chr3 169
182 chr3 13048
183 chr3 10265
184 chr3 14408
185 chr3 42923
186 chr3 34761
187 chr3 7085
188 chr3 677
189 chr3 27675
190 chr3 65095
