region_id	chrom	length
1 #chrom 0
2 chr1 1632
3 chr1 809
4 chr1 752
5 chr1 1256
6 chr1 1026
7 chr1 1979
8 chr1 1351
9 chr1 739
10 chr1 1796
11 chr1 4757
12 chr1 343
13 chr1 153
14 chr1 317
15 chr1 1237
16 chr1 4264
17 chr1 370
18 chr1 321
19 chr1 343
20 chr1 354
21 chr1 347
22 chr1 173
23 chr1 312
24 chr1 133
25 chr1 536
26 chr1 56
27 chr1 1424
28 chr1 480
29 chr1 466
30 chr1 3840
31 chr1 4515
32 chr1 240
33 chr1 1655
34 chr1 374
35 chr1 3453
36 chr1 240
37 chr1 417
38 chr1 923
39 chr1 1195
40 chr1 2169
41 chr1 2177
42 chr1 1660
43 chr1 485
44 chr1 664
45 chr1 696
46 chr1 621
47 chr1 281
48 chr1 243
49 chr1 635
50 chr1 1574
51 chr1 1758
52 chr1 225
53 chr1 1570
54 chr1 79
55 chr1 11504
56 chr1 315
57 chr1 260
58 chr1 331
59 chr1 402
60 chr1 309
61 chr1 397
62 chr1 244
63 chr1 605
64 chr1 891
65 chr1 726
66 chr1 9076
67 chr1 2924
68 chr1 848
69 chr1 7057
70 chr1 220
71 chr1 3689
72 chr1 17604
73 chr1 2833
74 chr1 1290
75 chr1 5824
76 chr1 1538
77 chr1 3243
78 chr1 4862
79 chr1 2859
80 chr1 14363
81 chr1 1526
82 chr1 268
83 chr1 19481
84 chr1 2232
85 chr1 405
86 chr1 370
87 chr1 208
88 chr1 1696
89 chr1 885
90 chr1 930
91 chr1 1060
92 chr1 9253
93 chr1 611
94 chr1 4670
95 chr1 603
96 chr1 203
97 chr1 848
98 chr1 1656
99 chr1 76
100 chr1 1718
101 chr1 6337
102 chr1 409
103 chr1 134
104 chr1 240
105 chr1 125
106 chr1 66
107 chr1 253
108 chr1 881
109 chr1 1108
110 chr1 1032
111 chr1 261
112 chr1 831
113 chr1 3506
114 chr1 1990
115 chr1 1049
116 chr1 827
117 chr1 330
118 chr1 189
119 chr1 435
120 chr1 364
121 chr1 63
122 chr1 546
123 chr1 334
124 chr1 542
125 chr1 1027
126 chr1 1049
127 chr1 814
128 chr1 556
129 chr1 319
130 chr1 120
131 chr1 207
132 chr1 22
133 chr1 785
134 chr1 389
135 chr1 748
136 chr1 660
137 chr1 498
138 chr1 677
139 chr1 1033
140 chr1 23
141 chr1 553
142 chr1 93
143 chr1 326
144 chr1 2683
145 chr1 438
146 chr1 841
147 chr1 846
148 chr1 3255
149 chr1 1690
150 chr1 1764
151 chr1 146
152 chr1 658
153 chr1 760
154 chr1 1261
155 chr1 3262
156 chr1 29
157 chr1 85
158 chr1 22
159 chr1 420
160 chr1 814
161 chr1 310
162 chr1 780
163 chr1 227
164 chr1 178
165 chr1 211
166 chr1 2459
167 chr1 681
168 chr1 1444
169 chr1 967
170 chr1 401
171 chr1 222
172 chr1 67
173 chr1 27
174 chr1 197
175 chr1 327
176 chr1 38
177 chr1 230
178 chr1 304
179 chr1 59
180 chr1 182
181 chr1 215
182 chr1 273
183 chr1 56
184 chr1 813
185 chr1 426
186 chr1 81
187 chr1 676
188 chr1 617
189 chr1 1176
190 chr1 11274
191 chr1 38268
192 chr1 13539
193 chr1 4677
194 chr1 72852
195 chr1 33860
196 chr1 336
197 chr1 349
198 chr1 155
199 chr1 988
200 chr1 1854
201 chr1 1119
202 chr1 172
203 chr1 167
204 chr1 152
205 chr1 807
206 chr1 2424
207 chr1 1196
208 chr1 1020
209 chr1 1864
210 chr1 6330
211 chr1 10744
212 chr1 13182
213 chr1 10431
214 chr1 1039
215 chr1 360
216 chr1 19592
217 chr1 20342
218 chr1 258
219 chr1 395
220 chr1 364
221 chr1 134
222 chr1 256
223 chr1 473
224 chr1 49
225 chr1 70
226 chr1 40
227 chr1 709
228 chr1 414
229 chr1 618
230 chr1 263
231 chr1 1241
232 chr1 1001
233 chr1 428
234 chr1 1809
235 chr1 736
236 chr1 1185
237 chr1 1125
238 chr1 6950
239 chr1 3500
240 chr1 9329
241 chr1 11368
242 chr1 4285
243 chr1 1403
244 chr1 3483
245 chr1 432
246 chr1 228
247 chr1 6653
248 chr1 982
249 chr1 5619
250 chr1 293
251 chr1 4291
252 chr1 11937
253 chr1 3976
254 chr1 3623
255 chr1 1990
256 chr1 2026
257 chr1 410
258 chr1 271
259 chr1 1683
260 chr1 373
261 chr1 925
262 chr1 206
263 chr1 1951
264 chr1 6688
265 chr1 4517
266 chr1 12185
267 chr1 4254
268 chr1 152
269 chr1 5590
270 chr1 1938
271 chr1 994
272 chr1 222
273 chr1 557
274 chr1 525
275 chr1 1416
276 chr1 448
277 chr1 222
278 chr1 756
279 chr1 407
