# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
WASH7P	pseudogene	-1.000000	-1.000000	0.000000	0.180950	0.164842
OR4F5	protein coding	0.000000	0.000000	0.000000	2.141448	1.232566
ENSG00000241860	lincRNA	-1.000000	-1.000000	0.000000	0.088602	0.067926
ENSG00000228463	pseudogene	-1.000000	-1.000000	0.000000	0.105776	0.097233
CICP7	pseudogene	-1.000000	-1.000000	1.453958	0.000000	1.283422
CICP3	pseudogene	-1.000000	-1.000000	1.263244	0.000000	1.102810
LINC01128	lincRNA	-1.000000	-1.000000	0.316492	0.000000	0.160312
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	0.612066	0.475543
ENSG00000272438	lincRNA	-1.000000	-1.000000	0.000000	2.557450	2.477114
SAMD11	protein coding	0.000000	0.000000	0.000000	2.528505	2.072439
KLHL17	protein coding	0.000000	0.000000	0.000000	3.581160	1.791626
PERM1	protein coding	0.000000	0.000000	0.000000	15.047393	7.342101
ENSG00000217801	pseudogene	-1.000000	-1.000000	0.000000	1.326487	0.961936
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	8.173432	6.293508
B3GALT6	protein coding	16.868687	0.385888	6.205421	-1.000000	6.205421
C1QTNF12	protein coding	0.000000	0.000000	0.000000	8.998145	6.805426
SCNN1D	protein coding	0.562475	0.000000	0.347913	2.695204	1.880445
INTS11	protein coding	0.000000	0.000000	0.000000	1.489142	1.099069
DVL1	protein coding	0.000000	24.096386	8.971292	0.000000	2.121341
ANKRD65	protein coding	7.166667	0.000000	3.253878	0.000000	2.567931
ANKRD65-AS1	lincRNA	-1.000000	-1.000000	6.642066	0.000000	1.471791
TMEM88B	protein coding	0.000000	1.211454	1.026119	0.000000	0.752737
FNDC10	protein coding	12.922173	8.321775	9.797456	-1.000000	9.797456
SLC35E2B	protein coding	0.000000	0.000000	0.000000	0.472381	0.372753
CDK11A	protein coding	0.000000	0.000000	0.000000	0.926380	0.773501
CFAP74	protein coding	0.000000	0.000000	0.000000	0.104845	0.097697
GABRD	protein coding	0.000000	2.807018	0.665004	0.000000	0.139995
PRKCZ	protein coding	0.000000	0.000000	0.000000	0.637768	0.612665
FAAP20	protein coding	0.000000	0.000000	0.000000	0.348666	0.898829
SKI	protein coding	0.000000	10.629012	6.806971	0.073867	0.573913
