# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
AMY1A	protein coding	100.000000	-1.000000	100.000000	100.000000	100.000000
AC105272.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AMY1B	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
AMY1A	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
AC105272.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AMY1B	protein coding	78.832463	-1.000000	78.832463	98.715729	94.079894
AMYP1	pseudogene	-1.000000	-1.000000	77.495108	90.070230	87.979831
AMY1A	protein coding	0.000000	68.503937	8.708709	0.235294	7.061110
AC105272.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AMY1A	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
AMYP1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
AC138907.9	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AC138907.8	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AC138907.9	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AC233263.6	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
SEC22B3P	pseudogene	-1.000000	-1.000000	47.652174	66.734013	65.816540
AC245389.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PDE4DIP	protein coding	1.726065	-1.000000	1.726065	0.446541	0.618733
AL592295.3	lincRNA	-1.000000	-1.000000	0.000000	12.551715	12.495710
RNA5S1	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S1	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S1	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S5	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S1	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S1	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S1	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S1	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S3	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
