# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
WASH7P	pseudogene	-1.000000	-1.000000	0.000000	1.042270	0.949492
ENSG00000241860	lincRNA	-1.000000	-1.000000	1.177560	5.714861	4.656045
ENSG00000241599	lincRNA	-1.000000	-1.000000	17.982456	0.000000	7.599629
ENSG00000228463	pseudogene	-1.000000	-1.000000	0.000000	0.126076	0.115894
CICP7	pseudogene	-1.000000	-1.000000	16.074313	0.000000	14.188948
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	5.275430	4.098732
ENSG00000272438	lincRNA	-1.000000	-1.000000	0.000000	3.938102	3.814396
SAMD11	protein coding	0.000000	0.000000	0.000000	4.808885	3.941507
KLHL17	protein coding	0.000000	0.000000	0.000000	5.021409	2.512171
PERM1	protein coding	0.000000	0.000000	0.000000	32.257109	15.739269
AGRN	protein coding	0.000000	0.000000	0.000000	1.071276	0.833380
ENSG00000217801	pseudogene	-1.000000	-1.000000	0.000000	5.562687	4.033926
C1orf159	protein coding	0.000000	0.000000	0.000000	1.150327	1.019020
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	12.915129	9.944594
C1QTNF12	protein coding	0.000000	0.000000	0.000000	16.450216	12.441534
SCNN1D	protein coding	1.848132	0.000000	1.143141	6.354869	4.545847
INTS11	protein coding	0.000000	0.000000	0.000000	6.949328	5.128988
TMEM88B	protein coding	0.000000	3.230543	2.736318	0.000000	2.007299
ATAD3A	protein coding	0.000000	0.000000	0.000000	0.213632	0.186476
TMEM240	protein coding	0.000000	0.000000	0.000000	0.703491	0.461854
MIB2	protein coding	0.000000	0.000000	0.000000	0.641663	0.468616
SLC35E2B	protein coding	0.000000	0.000000	0.000000	0.240000	0.189383
CFAP74	protein coding	0.263692	0.000000	0.232850	0.470493	0.454290
PRKCZ	protein coding	0.000000	0.000000	0.000000	1.388900	1.334232
FAAP20	protein coding	0.000000	0.000000	0.000000	0.000000	1.171308
SKI	protein coding	0.000000	3.414634	2.186781	0.154329	0.305273
PLCH2	protein coding	0.000000	0.000000	0.000000	1.335206	1.230642
PANK4	protein coding	0.000000	0.000000	0.000000	1.751086	1.495017
MMEL1	protein coding	0.000000	0.000000	0.000000	0.812679	0.757486
MMEL1-AS1	lincRNA	-1.000000	-1.000000	0.000000	5.543478	5.034551
TTC34	protein coding	0.000000	5.155321	3.008099	0.653803	0.764995
ENSG00000285945	lincRNA	-1.000000	-1.000000	0.000000	0.000000	0.510756
PRDM16	protein coding	0.000000	0.000000	0.000000	0.069076	0.067397
ARHGEF16	protein coding	0.000000	0.000000	0.000000	0.877848	0.756201
MEGF6	protein coding	0.000000	0.000000	0.000000	0.374095	0.350446
ENSG00000284703	lincRNA	-1.000000	-1.000000	0.000000	7.622812	2.049491
NPHP4	protein coding	0.000000	0.000000	0.000000	0.027302	0.026222
KCNAB2	protein coding	0.000000	0.000000	0.000000	0.309252	0.279325
ACOT7	protein coding	0.000000	0.000000	0.000000	0.016576	0.016216
CAMTA1	protein coding	0.000000	0.000000	0.000000	0.013566	0.013411
CLSTN1	protein coding	0.000000	0.000000	0.000000	0.161719	0.153590
PLOD1	protein coding	0.000000	0.000000	0.000000	1.058511	0.962911
PRAMEF6	protein coding	0.000000	0.000000	0.000000	0.286689	0.230567
PRAMEF27	protein coding	0.000000	32.416503	8.478931	0.000000	2.324271
PRAMEF5	protein coding	0.000000	15.130024	3.451996	0.000000	0.692866
PRAMEF33	protein coding	4.210526	0.000000	3.955175	0.000000	1.117735
KAZN	protein coding	0.000000	0.000000	0.000000	0.008233	0.008162
CASP9	protein coding	0.000000	1.066667	0.782932	0.424934	0.476164
ENSG00000282143	lincRNA	-1.000000	-1.000000	0.000000	1.648184	1.521841
CROCC	protein coding	0.000000	0.000000	0.000000	0.000000	0.009455
ARHGEF10L	protein coding	0.000000	0.000000	0.000000	0.112169	0.108740
VWA5B1	protein coding	0.000000	0.000000	0.000000	0.542102	0.467637
EIF4G3	protein coding	0.000000	0.000000	0.000000	0.037906	0.036928
ECE1	protein coding	0.000000	0.000000	0.000000	0.139291	0.132476
NBPF2P	pseudogene	-1.000000	-1.000000	0.000000	0.932140	0.748055
ALPL	protein coding	0.000000	0.000000	0.000000	0.107089	0.102879
LDLRAD2	protein coding	0.000000	0.000000	0.000000	0.368921	0.254630
CLIC4	protein coding	0.000000	0.000000	0.000000	0.609795	0.583188
RSRP1	protein coding	0.000000	0.000000	0.000000	0.036539	0.035430
RHD	protein coding	2.078240	0.000000	1.113294	0.000000	0.058568
FAM110D	protein coding	0.000000	6.054490	4.288778	0.000000	2.457506
CNKSR1	protein coding	0.000000	0.000000	0.000000	1.716738	1.322581
EPB41	protein coding	0.000000	0.000000	0.000000	0.017184	0.016312
MATN1	protein coding	0.000000	0.000000	0.000000	0.483548	0.333117
MATN1-AS1	lincRNA	-1.000000	-1.000000	1.019140	0.000000	0.492611
SDC3	protein coding	0.000000	0.000000	0.000000	0.223995	0.185788
PUM1	protein coding	0.000000	0.000000	0.000000	0.142344	0.136075
SPOCD1	protein coding	0.000000	0.000000	0.000000	0.117869	0.097656
LCK	protein coding	0.000000	0.000000	0.000000	0.173192	0.160362
A3GALT2	protein coding	0.000000	-1.000000	0.000000	3.771600	3.502651
ENSG00000225313	lincRNA	-1.000000	-1.000000	0.000000	1.325133	1.198176
PHC2	protein coding	0.000000	0.000000	0.000000	0.264048	0.252159
THRAP3	protein coding	0.000000	0.000000	0.000000	0.116605	0.109978
ENSG00000223944	lincRNA	-1.000000	-1.000000	0.000000	0.024523	0.024070
ZC3H12A-DT	lincRNA	-1.000000	-1.000000	0.000000	0.161617	0.157088
FOXJ3	protein coding	0.000000	0.000000	0.000000	0.117421	0.112340
RAD54L	protein coding	0.000000	0.000000	0.000000	0.000000	0.312315
FAAH	protein coding	0.000000	0.000000	0.000000	1.578315	1.413138
CYP4Z2P	pseudogene	-1.000000	-1.000000	0.000000	0.109427	0.106379
TRABD2B	protein coding	0.000000	0.000000	0.000000	0.071511	0.069240
SPATA6	protein coding	0.000000	0.000000	0.000000	0.031441	0.030537
RAB3B	protein coding	0.000000	0.000000	0.000000	0.327307	0.276757
ENSG00000234810	lincRNA	-1.000000	-1.000000	0.000000	0.051587	0.050997
LINC01753	lincRNA	-1.000000	-1.000000	0.000000	1.081232	1.055247
DAB1	protein coding	0.000000	0.000000	0.000000	0.016053	0.070621
PATJ	protein coding	0.000000	0.000000	0.000000	0.021582	0.021091
DOCK7	protein coding	0.000000	0.000000	0.000000	0.125730	0.120040
CACHD1	protein coding	0.000000	0.000000	0.000000	0.073011	0.070875
JAK1	protein coding	0.000000	0.000000	0.000000	0.011412	0.011086
ZRANB2-DT	lincRNA	-1.000000	-1.000000	0.000000	0.024125	0.023247
FPGT-TNNI3K	protein coding	0.000000	0.000000	0.000000	0.035373	0.034377
SLC44A5	protein coding	0.000000	0.000000	0.000000	0.071492	0.070418
ENSG00000233290	lincRNA	-1.000000	-1.000000	0.000000	0.026092	0.025795
ENSG00000285201	lincRNA	-1.000000	-1.000000	0.000000	2.029775	1.996076
BCL10-AS1	lincRNA	-1.000000	-1.000000	0.000000	0.103014	0.100154
ZNF644	protein coding	0.000000	0.000000	0.000000	0.032677	0.030849
SLC44A3-AS1	pseudogene	-1.000000	-1.000000	0.000000	0.031518	0.030214
TLCD4-RWDD3	protein coding	0.000000	0.000000	0.000000	0.222236	0.218867
RWDD3-DT	lincRNA	-1.000000	-1.000000	0.000000	0.417984	0.391295
PTBP2	protein coding	0.000000	0.000000	0.000000	0.083571	0.073477
AGL	protein coding	0.000000	0.000000	0.000000	0.031758	0.028509
