region_id	chrom	length
1 #chrom 0
2 chr1 614
3 chr1 128
4 chr1 254
5 chr1 726
6 chr1 67
7 chr1 327
8 chr1 223
9 chr1 1343
10 chr1 476
11 chr1 1136
12 chr1 251
13 chr1 32
14 chr1 446
15 chr1 135
16 chr1 724
17 chr1 1273
18 chr1 190
19 chr1 486
20 chr1 24
21 chr1 441
22 chr1 242
23 chr1 336
24 chr1 1024
25 chr1 702
26 chr1 1439
27 chr1 895
28 chr1 574
29 chr1 663
30 chr1 772
31 chr1 873
32 chr1 1022
33 chr1 360
34 chr1 579
35 chr1 350
36 chr1 480
37 chr1 622
38 chr1 989
39 chr1 139
40 chr1 1829
41 chr1 257
42 chr1 643
43 chr1 22
44 chr1 103
45 chr1 29
46 chr1 223
47 chr1 179
48 chr1 147
49 chr1 44
50 chr1 367
51 chr1 207
52 chr1 239
53 chr1 126
54 chr1 661
55 chr1 624
56 chr1 467
57 chr1 356
58 chr1 742
59 chr1 154
60 chr1 398
61 chr1 72
62 chr1 2027
63 chr1 1049
64 chr1 251
65 chr1 1418
66 chr1 136
67 chr1 1257
68 chr1 35
69 chr1 158
70 chr1 268
71 chr1 861
72 chr1 859
73 chr1 447
74 chr1 254
75 chr1 441
76 chr1 724
77 chr1 592
78 chr1 295
79 chr1 2403
80 chr1 73
81 chr1 23
82 chr1 212
83 chr1 396
84 chr1 367
85 chr1 292
86 chr1 24
87 chr1 212
88 chr1 231
89 chr1 256
90 chr1 325
91 chr1 37
92 chr1 277
93 chr1 346
94 chr1 348
95 chr1 124
96 chr1 32
97 chr1 1224
98 chr1 875
99 chr1 303
100 chr1 1324
101 chr1 979
102 chr1 408
103 chr1 63
104 chr1 147
105 chr1 675
106 chr1 352
107 chr1 330
108 chr1 197
109 chr1 785
110 chr1 1061
111 chr1 375
112 chr1 75
113 chr1 2061
114 chr1 209
115 chr1 137
116 chr1 637
117 chr1 207
118 chr1 2887
119 chr1 409
120 chr1 1026
121 chr1 252
122 chr1 2134
123 chr1 868
124 chr1 168
125 chr1 290
126 chr1 2165
127 chr1 3135
128 chr1 905
129 chr1 152
130 chr1 505
131 chr1 507
132 chr1 645
133 chr1 478
134 chr1 74
135 chr1 39
136 chr1 363
137 chr1 54
138 chr1 65
139 chr1 260
140 chr1 354
141 chr1 110
142 chr1 455
143 chr1 55
144 chr1 660
145 chr1 70
146 chr1 143
147 chr1 384
148 chr1 67
149 chr1 1041
150 chr1 250
151 chr1 85
152 chr1 858
153 chr1 174
154 chr1 799
155 chr1 894
156 chr1 482
157 chr1 307
158 chr1 333
159 chr1 377
160 chr1 431
161 chr1 563
162 chr1 244
163 chr1 426
164 chr1 909
165 chr1 3211
166 chr1 9469
167 chr1 1951
168 chr1 1934
169 chr1 9153
170 chr1 1867
171 chr1 1205
172 chr1 1086
173 chr1 680
174 chr1 497
175 chr1 540
176 chr1 1298
177 chr1 105
178 chr1 75
179 chr1 40
180 chr1 306
181 chr1 402
182 chr1 1270
183 chr1 218
184 chr1 621
185 chr1 305
186 chr1 173
187 chr1 677
188 chr1 1662
189 chr1 23
190 chr1 301
191 chr1 2286
192 chr1 112
193 chr1 37
194 chr1 148
195 chr1 144
196 chr1 500
197 chr1 1847
198 chr1 962
199 chr1 115
200 chr1 855
201 chr1 1764
202 chr1 927
203 chr1 880
204 chr1 1025
205 chr1 379
206 chr1 506
207 chr1 3541
208 chr1 1084
209 chr1 1393
210 chr1 1633
211 chr1 205
212 chr1 294
213 chr1 244
214 chr1 4276
215 chr1 675
216 chr1 517
217 chr1 189
218 chr1 1412
219 chr1 42
220 chr1 1166
221 chr1 780
222 chr1 1983
223 chr1 759
224 chr1 312
225 chr1 194
226 chr1 163
227 chr1 200
228 chr1 74
229 chr1 586
230 chr1 766
231 chr1 154
232 chr1 659
233 chr1 260
234 chr1 647
235 chr1 59
236 chr1 1108
237 chr1 219
238 chr1 1703
239 chr1 3414
240 chr1 414
241 chr1 488
242 chr1 302
243 chr1 144
244 chr1 746
245 chr1 2864
246 chr1 1619
247 chr1 41
248 chr1 2547
249 chr1 15655
250 chr1 3352
251 chr1 5897
252 chr1 3324
253 chr1 2488
254 chr1 973
255 chr1 4514
256 chr1 539
257 chr1 863
258 chr1 1157
259 chr1 66
260 chr1 2159
261 chr1 700
262 chr1 1774
263 chr1 146
264 chr1 655
265 chr1 343
266 chr1 105
267 chr1 1474
268 chr1 720
269 chr1 476
270 chr1 941
271 chr1 1166
272 chr1 49
273 chr1 1766
274 chr1 472
275 chr1 754
276 chr1 824
277 chr1 1486
278 chr1 295
279 chr1 514
280 chr1 1266
281 chr1 384
282 chr1 198
283 chr1 26
284 chr1 566
285 chr1 406
286 chr1 59
287 chr1 391
288 chr1 529
289 chr1 1323
290 chr1 2018
291 chr1 1972
292 chr1 288
293 chr1 377
294 chr1 1041
295 chr1 603
296 chr1 644
297 chr1 555
298 chr1 632
299 chr1 1439
300 chr1 703
301 chr1 737
302 chr1 260
303 chr1 2416
304 chr1 3052
305 chr1 1238
306 chr1 921
307 chr1 409
308 chr1 22
309 chr1 440
310 chr1 84
311 chr1 667
312 chr1 717
313 chr1 2830
314 chr1 1997
315 chr1 935
316 chr1 301
317 chr1 416
318 chr1 1524
319 chr1 872
320 chr1 179
321 chr1 764
322 chr1 818
323 chr1 613
324 chr1 1189
325 chr1 109
326 chr1 1515
327 chr1 1752
328 chr1 33
329 chr1 1073
330 chr1 250
331 chr1 311
332 chr1 213
333 chr1 290
334 chr1 686
335 chr1 487
336 chr1 579
337 chr1 246
338 chr1 243
339 chr1 111
340 chr1 332
341 chr1 1029
342 chr1 1363
343 chr1 168
344 chr1 290
345 chr1 180
346 chr1 966
347 chr1 805
348 chr1 988
349 chr1 866
350 chr1 1711
351 chr1 112
352 chr1 1377
353 chr1 387
354 chr1 449
355 chr1 2741
356 chr1 395
357 chr1 264
358 chr1 217
359 chr1 349
360 chr1 261
361 chr1 406
362 chr1 599
363 chr1 117
364 chr1 906
365 chr1 2944
366 chr1 323
367 chr1 34
368 chr1 1888
369 chr1 489
370 chr1 515
371 chr1 2845
372 chr1 170
373 chr1 2750
374 chr1 505
375 chr1 1047
376 chr1 2258
377 chr1 44
378 chr1 54
379 chr1 79
380 chr1 74
381 chr1 237
382 chr1 206
383 chr1 367
384 chr1 86
385 chr1 267
386 chr1 41
387 chr1 629
388 chr1 298
389 chr1 217
390 chr1 127
391 chr1 246
392 chr1 775
393 chr1 308
394 chr1 730
395 chr1 675
396 chr1 389
397 chr1 126
398 chr1 538
399 chr1 51
400 chr1 92
401 chr1 175
402 chr1 371
403 chr1 84
404 chr1 299
405 chr1 283
406 chr1 34
407 chr1 128
408 chr1 210
409 chr1 180
410 chr1 943
411 chr1 284
412 chr1 29
413 chr1 234
414 chr1 343
415 chr1 117
416 chr1 45
417 chr1 2482
418 chr1 1005
419 chr1 170
420 chr1 55
421 chr1 193
422 chr1 972
423 chr1 260
424 chr1 639
425 chr1 601
426 chr1 665
427 chr1 715
428 chr1 628
429 chr1 163
430 chr1 127
431 chr1 96
432 chr1 121
433 chr1 8241
434 chr1 23
435 chr1 487
436 chr1 5439
437 chr1 6527
438 chr1 5279
439 chr1 495
440 chr1 3373
441 chr1 5528
442 chr1 7846
443 chr1 349
444 chr1 630
445 chr1 5083
446 chr1 52
447 chr1 740
448 chr1 65
449 chr1 387
450 chr1 2493
451 chr1 1194
452 chr1 8019
453 chr1 58
454 chr1 11173
455 chr1 1600
456 chr1 895
457 chr1 5326
458 chr1 577
459 chr1 289
460 chr1 7855
461 chr1 5783
462 chr1 3705
463 chr1 8173
464 chr1 1694
465 chr1 326
466 chr1 6118
467 chr1 6123
468 chr1 1311
469 chr1 339
470 chr1 25774
471 chr1 10596
472 chr1 6753
473 chr1 288
474 chr1 1310
475 chr1 6328
476 chr1 5645
477 chr1 1530
478 chr1 11336
479 chr1 1393
480 chr1 10748
481 chr1 6308
482 chr1 1273
483 chr1 268
484 chr1 8379
485 chr1 14387
486 chr1 2724
487 chr1 12430
488 chr1 2210
489 chr1 9202
490 chr1 5153
491 chr1 1554
492 chr1 11724
493 chr1 1851
494 chr1 4364
495 chr1 5579
496 chr1 2905
497 chr1 6892
498 chr1 10767
499 chr1 652
500 chr1 962
501 chr1 290
502 chr1 182
503 chr1 719
504 chr1 722
505 chr1 519
506 chr1 714
507 chr1 32
508 chr1 906
509 chr1 319
510 chr1 1565
511 chr1 3132
512 chr1 323
513 chr1 123
514 chr1 2118
515 chr1 461
516 chr1 1237
517 chr1 1985
518 chr1 5175
519 chr1 409
520 chr1 34
521 chr1 61
522 chr1 2924
523 chr1 1009
524 chr1 563
525 chr1 645
526 chr1 303
527 chr1 2096
528 chr1 2220
529 chr1 594
530 chr1 1834
531 chr1 839
532 chr1 1652
533 chr1 529
534 chr1 1091
535 chr1 1301
536 chr1 825
537 chr1 606
538 chr1 362
539 chr1 236
540 chr1 2104
541 chr1 1114
542 chr1 1864
543 chr1 1490
544 chr1 245
545 chr1 2100
546 chr1 580
547 chr1 977
548 chr1 902
549 chr1 342
550 chr1 2557
551 chr1 639
552 chr1 157
553 chr1 271
554 chr1 5386
555 chr1 1211
556 chr1 840
557 chr1 1208
558 chr1 1932
559 chr1 454
560 chr1 2749
561 chr1 2028
562 chr1 231
563 chr1 318
564 chr1 333
565 chr1 313
566 chr1 392
567 chr1 1432
568 chr1 943
569 chr1 748
570 chr1 46
571 chr1 135
572 chr1 958
573 chr1 616
574 chr1 755
575 chr1 369
576 chr1 327
577 chr1 439
578 chr1 817
579 chr1 143
580 chr1 409
581 chr1 699
582 chr1 69
583 chr1 374
584 chr1 320
585 chr1 561
586 chr1 1335
587 chr1 387
588 chr1 407
589 chr1 151
590 chr1 406
591 chr1 414
592 chr1 197
593 chr1 691
594 chr1 637
595 chr1 1114
596 chr1 516
597 chr1 468
598 chr1 430
599 chr1 1029
600 chr1 403
601 chr1 1707
602 chr1 191
603 chr1 1473
604 chr1 589
605 chr1 145
606 chr1 579
607 chr1 550
608 chr1 322
609 chr1 421
610 chr1 167
611 chr1 340
612 chr1 203
613 chr1 552
614 chr1 592
615 chr1 2129
616 chr1 778
617 chr1 746
618 chr1 1790
619 chr1 2312
620 chr1 852
621 chr1 373
622 chr1 389
623 chr1 1591
624 chr1 3286
625 chr1 4897
626 chr1 1512
627 chr1 4331
628 chr1 526
629 chr1 30
630 chr1 3607
631 chr1 3978
632 chr1 1041
633 chr1 4313
634 chr1 843
635 chr1 870
636 chr1 352
637 chr1 263
638 chr1 543
639 chr1 357
640 chr1 263
641 chr1 78
642 chr1 254
643 chr1 4294
644 chr1 945
645 chr1 5075
646 chr1 2676
647 chr1 989
648 chr1 427
649 chr1 379
650 chr1 844
651 chr1 2002
652 chr1 1691
653 chr1 1133
654 chr1 995
655 chr1 2088
656 chr1 1011
657 chr1 1196
658 chr1 141
659 chr1 166
660 chr1 187
661 chr1 456
662 chr1 200
663 chr1 535
664 chr1 544
665 chr1 372
666 chr1 805
667 chr1 154
668 chr1 1774
669 chr1 278
670 chr1 981
671 chr1 290
672 chr1 153
673 chr1 700
674 chr1 43
675 chr1 287
676 chr1 822
677 chr1 771
678 chr1 785
679 chr1 253
680 chr1 118
681 chr1 430
682 chr1 579
683 chr1 203
684 chr1 432
685 chr1 800
686 chr1 579
687 chr1 248
688 chr1 830
689 chr1 240
690 chr1 656
691 chr1 164
692 chr1 1106
693 chr1 552
694 chr1 579
695 chr1 1033
696 chr1 750
697 chr1 103
698 chr1 808
699 chr1 635
700 chr1 1025
701 chr1 661
702 chr1 341
703 chr1 152
704 chr1 427
705 chr1 3693
706 chr1 170
707 chr1 588
708 chr1 308
709 chr1 469
710 chr1 595
711 chr1 158
712 chr1 320
713 chr1 180
714 chr1 554
715 chr1 259
716 chr1 188
717 chr1 268
718 chr1 506
719 chr1 379
720 chr1 161
721 chr1 304
722 chr1 915
723 chr1 442
724 chr1 69
725 chr1 120
726 chr1 28
727 chr1 986
728 chr1 219
729 chr1 371
730 chr1 86
731 chr1 224
732 chr1 694
733 chr1 356
734 chr1 243
735 chr1 287
736 chr1 144
737 chr1 155
738 chr1 380
739 chr1 297
740 chr1 536
741 chr1 179
742 chr1 28
743 chr1 350
744 chr1 6843
745 chr1 955
746 chr1 1629
747 chr1 1036
748 chr1 1026
749 chr1 377
750 chr1 701
751 chr1 55
752 chr1 1121
753 chr1 1154
754 chr1 1244
755 chr1 478
756 chr1 74
757 chr1 367
758 chr1 564
759 chr1 726
760 chr1 361
761 chr1 243
762 chr1 958
763 chr1 227
764 chr1 2794
765 chr1 237
766 chr1 1016
767 chr1 188
768 chr1 2781
769 chr1 169
770 chr1 587
771 chr1 994
772 chr1 1573
773 chr1 1032
774 chr1 2502
775 chr1 502
776 chr1 2582
777 chr1 171
778 chr1 520
779 chr1 1666
780 chr1 514
781 chr1 1687
782 chr1 779
783 chr1 222
784 chr1 895
785 chr1 533
786 chr1 2955
787 chr1 637
788 chr1 1786
789 chr1 699
790 chr1 544
791 chr1 2513
792 chr1 938
793 chr1 753
794 chr1 1156
795 chr1 909
796 chr1 193
797 chr1 2228
798 chr1 1487
799 chr1 750
800 chr1 2831
801 chr1 336
802 chr1 1276
803 chr1 1221
804 chr1 1241
805 chr1 769
806 chr1 56
807 chr1 230
808 chr1 264
809 chr1 179
810 chr1 82
811 chr1 344
812 chr1 373
813 chr1 412
814 chr1 934
815 chr1 77
816 chr1 741
817 chr1 922
818 chr1 1322
819 chr1 955
820 chr1 437
821 chr1 1230
822 chr1 1244
823 chr1 108
824 chr1 706
825 chr1 971
826 chr1 215
827 chr1 1085
828 chr1 326
829 chr1 1029
830 chr1 561
831 chr1 472
832 chr1 383
833 chr1 332
834 chr1 1172
835 chr1 1504
836 chr1 196
837 chr1 666
838 chr1 651
839 chr1 34
840 chr1 847
841 chr1 703
842 chr1 1309
843 chr1 349
844 chr1 804
845 chr1 413
846 chr1 572
847 chr1 27
848 chr1 409
849 chr1 88
850 chr1 1495
851 chr1 204
852 chr1 279
853 chr1 1861
854 chr1 655
855 chr1 1121
856 chr1 543
857 chr1 1115
858 chr1 2029
859 chr1 1651
860 chr1 338
861 chr1 115
862 chr1 753
863 chr1 285
864 chr1 1205
865 chr1 2367
866 chr1 93
867 chr1 246
868 chr1 446
869 chr1 1445
870 chr1 1584
871 chr1 2846
872 chr1 1683
873 chr1 5716
874 chr1 400
875 chr1 601
876 chr1 281
877 chr1 717
878 chr1 1020
879 chr1 3275
880 chr1 1973
881 chr1 144
882 chr1 213
883 chr1 350
884 chr1 272
885 chr1 245
886 chr1 1101
887 chr1 445
888 chr1 940
889 chr1 603
890 chr1 6644
891 chr1 438
892 chr1 786
893 chr1 3536
894 chr1 265
895 chr1 3753
896 chr1 4193
897 chr1 471
898 chr1 109
899 chr1 278
900 chr1 3706
901 chr1 149
902 chr1 248
903 chr1 1161
904 chr1 265
905 chr1 853
906 chr1 1221
907 chr1 273
908 chr1 221
909 chr1 1623
910 chr1 1520
911 chr1 1080
912 chr1 1583
913 chr1 929
914 chr1 5275
915 chr1 849
916 chr1 2169
917 chr1 35
918 chr1 373
919 chr1 58
920 chr1 1241
921 chr1 1300
922 chr1 78
923 chr1 1917
924 chr1 3715
925 chr1 40
926 chr1 430
927 chr1 2174
928 chr1 151
929 chr1 411
930 chr1 1664
931 chr1 1891
932 chr1 165
933 chr1 2273
934 chr1 58
935 chr1 2141
936 chr1 198
937 chr1 6297
938 chr1 6792
939 chr1 552
940 chr1 329
941 chr1 5144
942 chr1 578
943 chr1 1654
944 chr1 1105
945 chr1 427
946 chr1 880
947 chr1 404
948 chr1 236
949 chr1 224
950 chr1 45
951 chr1 258
952 chr1 318
953 chr1 343
954 chr1 591
955 chr1 166
956 chr1 880
957 chr1 296
958 chr1 176
959 chr1 590
960 chr1 842
961 chr1 46
962 chr1 865
963 chr1 560
964 chr1 519
965 chr1 183
966 chr1 621
967 chr1 358
968 chr1 1687
969 chr1 160
970 chr1 1080
971 chr1 480
972 chr1 764
973 chr1 885
974 chr1 219
975 chr1 540
976 chr1 464
977 chr1 204
978 chr1 305
979 chr1 1148
980 chr1 206
981 chr1 136
982 chr1 3014
983 chr1 1866
984 chr1 867
985 chr1 1834
986 chr1 797
987 chr1 1683
988 chr1 93
989 chr1 3045
990 chr1 619
991 chr1 1224
992 chr1 3324
993 chr1 261
994 chr1 1697
995 chr1 392
996 chr1 2594
997 chr1 262
998 chr1 1702
999 chr1 243
1000 chr1 2672
1001 chr1 4198
1002 chr1 1778
1003 chr1 628
1004 chr1 1322
1005 chr1 1202
1006 chr1 1994
1007 chr1 146
1008 chr1 740
1009 chr1 850
1010 chr1 2623
1011 chr1 2032
1012 chr1 247
1013 chr1 2712
1014 chr1 4302
1015 chr1 1765
1016 chr1 1993
1017 chr1 1213
1018 chr1 2076
1019 chr1 395
1020 chr1 1096
1021 chr1 192
1022 chr1 318
1023 chr1 2275
1024 chr1 782
1025 chr1 9418
1026 chr1 1979
1027 chr1 2895
1028 chr1 5231
1029 chr1 9791
1030 chr1 6355
1031 chr1 1998
1032 chr1 6036
1033 chr1 1306
1034 chr1 2600
1035 chr1 2309
1036 chr1 1118
1037 chr1 1796
1038 chr1 1289
1039 chr1 5024
1040 chr1 1116
1041 chr1 1489
1042 chr1 10927
1043 chr1 6143
1044 chr1 8049
1045 chr1 1309
1046 chr1 2557
1047 chr1 2293
1048 chr1 1107
1049 chr1 1815
1050 chr1 1328
1051 chr1 5029
1052 chr1 1109
1053 chr1 2373
1054 chr1 902
1055 chr1 1345
1056 chr1 2896
1057 chr1 1205
1058 chr1 1343
1059 chr1 172
1060 chr1 322
1061 chr1 827
1062 chr1 83
1063 chr1 549
1064 chr1 2618
1065 chr1 1578
1066 chr1 1366
1067 chr1 1331
1068 chr1 1747
1069 chr1 326
1070 chr1 3958
1071 chr1 1139
1072 chr1 1802
1073 chr1 3922
1074 chr1 1106
1075 chr1 1513
1076 chr1 1141
1077 chr1 3290
1078 chr1 1292
1079 chr1 941
1080 chr1 3131
1081 chr1 484
1082 chr1 2903
1083 chr1 3111
1084 chr1 216
1085 chr1 3815
1086 chr1 3106
1087 chr1 193
1088 chr1 3897
1089 chr1 1969
1090 chr1 406
1091 chr1 27
1092 chr1 1687
1093 chr1 117
1094 chr1 72
1095 chr1 449
1096 chr1 1108
1097 chr1 3217
1098 chr1 777
1099 chr1 1280
1100 chr1 2103
1101 chr1 1097
1102 chr1 2073
1103 chr1 303
1104 chr1 484
1105 chr1 718
1106 chr1 909
1107 chr1 1147
1108 chr1 25
1109 chr1 2602
1110 chr1 735
1111 chr1 2010
1112 chr1 1087
1113 chr1 3466
1114 chr1 428
1115 chr1 1300
1116 chr1 1757
1117 chr1 976
1118 chr1 655
1119 chr1 2144
1120 chr1 1650
1121 chr1 664
1122 chr1 50
1123 chr1 2302
1124 chr1 1461
1125 chr1 6630
1126 chr1 7093
1127 chr1 7061
1128 chr1 3313
1129 chr1 760
1130 chr1 2143
1131 chr1 3427
1132 chr1 11171
1133 chr1 5467
1134 chr1 123
1135 chr1 32
1136 chr1 1008
1137 chr1 6329
1138 chr1 514
1139 chr1 48
1140 chr1 3398
1141 chr1 2496
1142 chr1 493
1143 chr1 2570
1144 chr1 2877
1145 chr1 2442
1146 chr1 412
1147 chr1 27
1148 chr1 825
1149 chr1 485
1150 chr1 1439
1151 chr1 1313
1152 chr1 2449
1153 chr1 433
1154 chr1 1989
1155 chr1 1865
1156 chr1 1273
1157 chr1 2489
1158 chr1 441
1159 chr1 5693
1160 chr1 418
1161 chr1 739
1162 chr1 1759
1163 chr1 1795
1164 chr1 83
1165 chr1 2302
1166 chr1 397
1167 chr1 666
1168 chr1 1926
1169 chr1 3100
1170 chr1 367
1171 chr1 1432
1172 chr1 196
1173 chr1 512
1174 chr1 1009
1175 chr1 1097
1176 chr1 1915
1177 chr1 2024
1178 chr1 898
1179 chr1 2756
1180 chr1 405
1181 chr1 2950
1182 chr1 2057
1183 chr1 2086
1184 chr1 3422
1185 chr1 3101
1186 chr1 1626
1187 chr1 1469
1188 chr1 3232
1189 chr1 1231
1190 chr1 35
1191 chr1 903
1192 chr1 640
1193 chr1 850
1194 chr1 10986
1195 chr1 59
1196 chr1 23
1197 chr1 75
1198 chr1 54
1199 chr1 5013
1200 chr1 2427
1201 chr1 259
1202 chr1 58
1203 chr1 263
