# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
CICP7	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP4-669L17.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP5-857K21.1	lincRNA	-1.000000	-1.000000	43.876338	6.038201	18.952922
TMEM88B	protein coding	47.657841	-1.000000	47.657841	69.520548	63.050030
PRAMEF6	protein coding	0.000000	0.000000	0.000000	3.286012	3.180564
PRAMEF25	pseudogene	-1.000000	-1.000000	0.000000	3.304459	2.266725
RP11-219C24.6	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF9	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
RP11-219C24.10	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF18	protein coding	39.819319	-1.000000	39.819319	55.093257	47.334981
PRAMEF16	protein coding	60.771930	18.012422	56.431274	57.746479	57.052562
PRAMEF21	protein coding	39.355742	41.666667	39.598997	9.298567	13.744599
XX-FW84067D5.1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
XX-FW84067D5.2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF15	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
PRAMEF14	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
SRSF10	protein coding	100.000000	77.911877	81.101459	100.000000	92.848725
RP11-4M23.7	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-347K2.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-347K2.2	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-153F1.2	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF6	protein coding	0.000000	0.000000	0.000000	5.949496	5.776078
SLC25A24P2	pseudogene	-1.000000	-1.000000	0.000000	14.842105	14.640965
RP11-435B5.1	pseudogene	-1.000000	-1.000000	20.595533	-1.000000	20.595533
RNVU1-1	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP6-206I17.1	lincRNA	-1.000000	-1.000000	0.000000	13.718901	13.359719
RP6-206I17.2	lincRNA	-1.000000	-1.000000	5.711551	42.704674	39.223517
NBPF8	protein coding	24.200834	100.000000	25.925297	21.225320	21.938125
LINC00623	lincRNA	-1.000000	-1.000000	13.567750	3.683957	4.529299
AL592284.1	protein coding	0.000000	0.000000	0.000000	19.560827	19.445180
RP6-137J22.3	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
GPR89C	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
PDZK1P1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNU1-137P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP11-94I2.4	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNVU1-7	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PFN1P5	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ABHD17AP2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP4-565E6.1	other	-1.000000	-1.000000	30.233874	71.671042	68.335636
RNA5SP57	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
GPR89B	protein coding	40.350877	74.690265	50.387998	36.232022	36.829280
RP6-74O6.2	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
XXyac-YX155B6.7	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNU1-129P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP6-74O6.3	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNVU1-9	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NBPF24	protein coding	4.849885	79.978118	24.402050	17.809555	32.511826
ABHD17AP1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
XXyac-YX155B6.5	lincRNA	-1.000000	-1.000000	46.506905	85.118382	81.143908
XXyac-YX155B6.6	lincRNA	-1.000000	-1.000000	49.506454	67.262108	66.907065
RNA5SP58	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
LINC01138	lincRNA	-1.000000	-1.000000	0.000000	29.752914	29.057083
RNVU1-12	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP11-495P10.1	lincRNA	-1.000000	-1.000000	58.810450	86.374302	82.871875
NBPF20	protein coding	20.077888	0.000000	17.141802	19.565271	19.160575
PFN1P6	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NBPF16	protein coding	8.693492	10.407489	9.506399	7.314316	7.759169
FAM72C	protein coding	56.818182	0.000000	10.056315	6.915084	3.384778
RNVU1-19	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CAPN8	protein coding	0.000000	0.000000	0.000000	11.608056	11.264929
DUSP5P1	pseudogene	-1.000000	-1.000000	0.000000	28.956204	27.308448
RNA5S6	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S7	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S8	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S9	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S10	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
KIF28P	pseudogene	-1.000000	-1.000000	0.000000	2.438222	2.291230
RP11-397A15.4	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
TMEM236	protein coding	0.000000	0.000000	0.000000	1.338800	1.188396
RP11-175I17.2	pseudogene	-1.000000	-1.000000	38.838174	41.440376	41.389864
AGAP10	protein coding	94.819466	100.000000	97.788945	90.659288	91.548002
RNA5SP312	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AL603965.1	protein coding	100.000000	88.536750	91.366176	10.314494	16.989418
FAM21B	protein coding	2.366392	0.000000	2.060185	3.928019	3.782339
ASAH2C	protein coding	1.921025	0.000000	1.752678	0.459493	0.509220
AGAP9	protein coding	94.624538	100.000000	95.210238	94.679037	94.709370
RNA5SP313	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM35EP	pseudogene	-1.000000	-1.000000	6.625767	46.327684	37.234790
FAM21D	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
AGAP8	protein coding	0.000000	0.000000	0.000000	0.333387	0.326650
PARGP1	pseudogene	-1.000000	-1.000000	19.566031	36.325819	35.916349
SLC9A3P1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ASAH2	protein coding	2.522068	0.000000	0.867679	4.930665	4.503889
LOH12CR1	protein coding	0.000000	0.000000	0.000000	1.349595	1.323900
KDM2B	protein coding	0.000000	0.000000	0.000000	0.159423	0.151296
NANOGNBP2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ZNF26	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
RNU4ATAC12P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP11-386I8.6	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
