# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
AP006222.2	lincRNA	-1.000000	-1.000000	0.000000	6.835206	4.048808
AC114498.1	lincRNA	-1.000000	-1.000000	0.788644	1.706375	1.621385
OR4F21	protein coding	12.084592	-1.000000	12.084592	-1.000000	12.084592
AL669831.1	pseudogene	-1.000000	-1.000000	0.000000	0.127328	0.111810
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	18.537023	14.801555
AL645608.6	lincRNA	-1.000000	-1.000000	0.000000	3.053508	2.954524
PERM1	protein coding	0.000000	-1.000000	0.000000	55.188166	31.633416
AGRN	protein coding	0.000000	-1.000000	0.000000	1.269450	0.887689
AL390719.1	pseudogene	-1.000000	-1.000000	0.000000	4.807821	3.712897
C1orf159	protein coding	0.000000	-1.000000	0.000000	1.371019	1.128962
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	13.858646	10.670645
C1QTNF12	protein coding	0.000000	-1.000000	0.000000	33.161866	20.535145
SCNN1D	protein coding	1.217694	-1.000000	1.217694	6.591990	5.059524
INTS11	protein coding	0.000000	-1.000000	0.000000	14.221861	5.328867
TMEM88B	protein coding	0.000000	-1.000000	0.000000	67.275056	58.135030
ATAD3A	protein coding	0.000000	-1.000000	0.000000	0.218978	0.186476
TMEM240	protein coding	0.000000	-1.000000	0.000000	3.595623	2.360588
MIB2	protein coding	0.000000	-1.000000	0.000000	1.157742	0.473840
SLC35E2B	protein coding	0.000000	-1.000000	0.000000	0.237894	0.175710
CFAP74	protein coding	0.124271	-1.000000	0.124271	2.080106	1.832900
PRKCZ	protein coding	0.000000	-1.000000	0.000000	0.113613	0.107111
